id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"schoen","Schön","MALE","false","15","318","3587",,"10","29","0.24494949494949497","0.8571428571428571","0.37569614988780525"
"schwarz","Schwarz","MALE","false","8","219","1689",,"4","13","0.003787878787878788","0.6","0.16427671435581678"
"goll","Goll","MALE","false","4","57","505",,"4","10","0.003787878787878788","0.6","0.18619016021127738"
"lulu","Lulu","FEMALE","false","23","457","4376",,"11","44","0.22979797979797983","0.9230769230769231","0.4072294877703209"
"alwa","Alwa","MALE","false","10","156","1433",,"9","22","0.10479797979797978","0.8","0.3622150602255984"
"henriette","Henriette","FEMALE","false","2","5","31",,"4","5","0.003787878787878788","0.6","0.18619016021127738"
"schigolch","Schigolch","MALE","false","3","70","846",,"4","7","0","0.5714285714285714","0.1973104685877968"
"escherich","Escherich","MALE","false","1","11","69",,"1","1","0","0.48","0.0534213952715074"
"escerny","Escerny","MALE","false","5","33","651",,"2","5","0","0.5217391304347826","0.10940958174471975"
"geschwitz","Gräfin Geschwitz","FEMALE","false","3","11","97",,"6","8","0","0.6666666666666666","0.3022362790787253"
"rodrigo","Rodrigo","MALE","false","3","35","280",,"7","12","0.015151515151515152","0.7058823529411765","0.3267995897289474"
"hugenberg","Hugenberg","MALE","false","3","17","126",,"7","12","0.015151515151515152","0.7058823529411765","0.32679958972894735"
"ferdinand","Ferdinand","MALE","false","3","5","22",,"7","12","0.015151515151515152","0.7058823529411765","0.3267995897289474"
