id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"cyrus","Cyrus","MALE","false","7","46","1036",,"7","22","0","0.591715976331361","0.3208975955557154"
"sigelvax","Sigelvax","MALE","false","5","19","643",,"8","20","0.01282051282051282","0.6410256410256411","0.34328279381822024"
"kulican","Kulican","MALE","false","12","112","2172",,"10","34","0.0982905982905983","0.7692307692307693","0.37139606414409326"
"mortong","Mortong","MALE","false","9","37","466",,"9","29","0.05769230769230769","0.6993006993006993","0.3546534699374131"
"pumphia","Pumphia","FEMALE","false","9","71","2385",,"9","28","0.040598290598290586","0.6993006993006993","0.36002538802490036"
"pinxi","Pinxi","MALE","false","2","2","108",,"8","10","0.021367521367521364","0.6410256410256411","0.3376401897623955"
"knab","Knab","MALE","false","1","4","132",,"3","3","0","0.4524886877828055","0.14241958524453685"
"das_volk","Das Volk","UNKNOWN","true","1","2","10",,"4","4","0","0.4807692307692308","0.1904179574572286"
"faustibus","Faustibus","MALE","false","8","34","987",,"7","23","0","0.591715976331361","0.3208975955557154"
"miketey","Miketey","MALE","false","2","5","49",,"7","13","0","0.591715976331361","0.3208975955557154"
"soffocles","Soffocles","MALE","false","1","4","141",,"2","2","0","0.4273504273504274","0.09672377274937244"
"arleckin","Arleckin","MALE","false","1","3","38",,"2","2","0","0.15384615384615385","0.0000011719446313099878"
"colombina","Colombina","FEMALE","false","1","4","199",,"2","2","0","0.15384615384615385","0.0000011719446313099878"
"chorus","Chorus","UNKNOWN","true","1","1","29",,"2","2","0","0.15384615384615385","0.0000011719446313099878"
