id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"antilochus","Antilochus","MALE","false","3","22","259","Q577552","9","14","0","0.386046511627907","0.03625047158315072"
"odysseus","Odysseus","MALE","false","7","40","1602","Q47231","18","32","0.06262121657361154","0.50920245398773","0.11372413585258696"
"diomedes","Diomedes","MALE","false","6","36","821","Q208256","17","28","0.06024586149475955","0.5060975609756098","0.11089143103732617"
"der_hauptmann_2_bis_4","Der Hauptmann (2–4)","MALE","false","3","24","809",,"14","17","0.11460476050543639","0.3952380952380952","0.03698978739558752"
"ein_myrmidonier","Ein Myrmidonier","MALE","false","1","20","377",,"5","5","0","0.2881944444444444","0.0027373185661806"
"die_griechen_3","Die Griechen","MALE","true","1","2","28",,"5","5","0","0.2881944444444444","0.0027373185661806"
"ein_aetolier_3","Ein Ätolier (3)","MALE","false","1","11","151",,"5","5","0","0.2881944444444444","0.0027373185661806"
"ein_doloper","Ein Doloper","MALE","false","1","16","274",,"5","5","0","0.2881944444444444","0.0027373185661806005"
"stimmen_3","Stimmen","MALE","true","1","2","15",,"5","5","0","0.2881944444444444","0.0027373185661806"
"achilles","Achilles","MALE","false","10","115","1812","Q41746","35","54","0.15229699284944653","0.5684931506849316","0.19202218624908904"
"ein_griechenfuerst","Ein Griechenfürst","MALE","false","1","3","23",,"9","9","0","0.386046511627907","0.036250471583150715"
"der_erste_grieche","Der erste Grieche","MALE","false","1","5","17",,"9","9","0","0.386046511627907","0.03625047158315072"
"der_zweite_grieche","Der zweite Grieche","MALE","false","1","3","15",,"9","9","0","0.386046511627907","0.036250471583150715"
"automedon","Automedon","MALE","false","1","2","7","Q772808","9","9","0","0.386046511627907","0.03625047158315072"
"ein_grieche_4","Ein Grieche (4)","MALE","false","1","2","20",,"9","9","0","0.386046511627907","0.036250471583150715"
"die_amazonen_5","Die Amazonen (5)","FEMALE","true","1","1","10",,"6","6","0","0.4322916666666667","0.07089474432916665"
"penthesilea","Penthesilea","FEMALE","false","10","222","6950","Q379828","42","65","0.14287939751501313","0.6434108527131783","0.28349055518934124"
"prothoe","Prothoe","FEMALE","false","12","184","2856",,"55","82","0.2490504230806904","0.7155172413793104","0.35168064268556876"
"asteria","Asteria","FEMALE","false","3","6","246",,"15","22","0.0036435611112366926","0.49404761904761907","0.13541777763265253"
"meroe","Meroe","FEMALE","false","10","48","850",,"48","73","0.18624309621224105","0.6747967479674797","0.32928601246494177"
"eine_andere_fuerstin_5","Eine andere Fürstin (5)","FEMALE","false","1","1","5",,"6","6","0","0.4322916666666667","0.07089474432916665"
"eine_amazone_5","Eine Amazone (5)","FEMALE","false","1","1","5",,"6","6","0","0.4322916666666667","0.07089474432916665"
"die_oberpriesterin","Die Oberpriesterin","FEMALE","false","9","90","1557",,"42","64","0.17851707015680002","0.5886524822695035","0.25642217648399507"
"das_erste_maedchen","Das erste Mädchen","FEMALE","false","3","14","332",,"19","25","0.038137729153009774","0.5060975609756098","0.13452204976860288"
"das_zweite_maedchen","Das zweite Mädchen","FEMALE","false","2","3","88",,"17","19","0.030142521304731128","0.5","0.1299619557896942"
"das_dritte_maedchen","Das dritte Mädchen","FEMALE","false","1","4","99",,"9","9","0","0.386046511627907","0.046769560404026585"
"das_vierte_maedchen","Das vierte Mädchen","FEMALE","false","1","2","48",,"9","9","0","0.386046511627907","0.046769560404026585"
