id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kneetschke","Kneetschke","MALE","false","5","48","591",,"9","22","0.1388888888888889","1","0.406171522930365"
"postbote","Postbote","MALE","false","2","11","88",,"7","9","0.055555555555555546","0.8181818181818182","0.33477135950516995"
"kathi","Kathi","FEMALE","false","5","23","298",,"9","22","0.1388888888888889","1","0.40617152293036496"
"die_beiden_domestiken","Die beiden Domestiken","FEMALE","true","1","2","2",,"5","5","0","0.6923076923076923","0.2807686360434621"
"papa","Papa","MALE","false","4","27","280",,"7","18","0.027777777777777776","0.8181818181818182","0.35216879946865703"
"wladimir","Wladimir","MALE","false","4","27","241",,"7","18","0.027777777777777776","0.8181818181818182","0.35216879946865703"
"mama","Mama","FEMALE","false","3","15","149",,"5","13","0","0.6923076923076923","0.2711150565642846"
"geist","Geist","MALE","false","1","1","8",,"5","5","0","0.6923076923076923","0.2711150565642846"
"onkel","Onkel","MALE","false","1","11","40",,"4","4","0","0.6428571428571429","0.20505367999637233"
"tante","Tante","FEMALE","false","1","11","36",,"4","4","0","0.6428571428571429","0.2050536799963724"
