id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"strephon","Strephon","MALE","false","18","111","3899",,"16","28","0.575","1","0.3502996660645698"
"arist","Arist","MALE","false","5","46","765",,"5","9","0","0.5925925925925926","0.06778804641725064"
"dorantino","Dorantino","MALE","false","2","9","393",,"5","5","0","0.5925925925925926","0.06778804641725064"
"strombolo","Strombolo","MALE","false","2","17","316",,"5","5","0","0.5925925925925926","0.06778804641725063"
"doria","Doria","MALE","false","2","18","432",,"5","5","0","0.5925925925925926","0.06778804641725064"
"mezzotinto","Mezzotinto","MALE","false","3","27","974",,"5","6","0","0.5925925925925926","0.06778804641725064"
"seraphine","Seraphine","FEMALE","false","6","44","1454",,"10","16","0.03333333333333333","0.7272727272727273","0.31320591125279945"
"alvarez","Alvarez","MALE","false","3","12","325",,"9","12","0","0.6956521739130435","0.30608781708662675"
"ninon","Ninon","MALE","false","1","13","364",,"9","9","0","0.6956521739130435","0.30608781708662675"
"maler","Maler","MALE","false","1","2","69",,"9","9","0","0.6956521739130435","0.3060878170866267"
"villiers","Villiers","MALE","false","1","12","397",,"9","9","0","0.6956521739130435","0.30608781708662675"
"riparo","Riparo","MALE","false","1","5","108",,"9","9","0","0.6956521739130435","0.30608781708662675"
"grammont","Grammont","MALE","false","1","5","173",,"9","9","0","0.6956521739130435","0.30608781708662675"
"la_fare","La Fare","MALE","false","1","1","26",,"9","9","0","0.6956521739130435","0.30608781708662675"
"die_marquisin_chateauneuf","Die Marquisin Chateauneuf","FEMALE","false","1","1","24",,"9","9","0","0.6956521739130435","0.30608781708662675"
"ein_bedienter","Ein Bedienter","MALE","false","1","2","46",,"1","1","0","0.5161290322580645","0.038210369636661815"
"don_prado","Don Prado","MALE","false","3","23","714",,"2","4","0","0.5333333333333333","0.07237443213868704"
