id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"clavigo","Clavigo","MALE","false","5","140","3570",,"9","28","0.04629629629629629","1","0.35244872575440406"
"carlos","Carlos","MALE","false","4","67","3227",,"9","23","0.04629629629629629","1","0.35244872575440406"
"buenco","Buenco","MALE","false","4","19","446",,"8","24","0.009259259259259259","0.9","0.33257407285799284"
"sophie","Sophie","FEMALE","false","4","61","961",,"8","24","0.009259259259259259","0.9","0.33257407285799284"
"marie","Marie","FEMALE","false","3","55","1138",,"6","17","0","0.75","0.2618451268496003"
"guilbert","Guilbert","MALE","false","4","18","337",,"8","24","0.009259259259259259","0.9","0.33257407285799284"
"beaumarchais","Beaumarchais","MALE","false","5","88","2901","Q70326","9","28","0.04629629629629629","1","0.352448725754404"
"bedienter","Bedienter","MALE","false","2","8","68",,"8","11","0.027777777777777776","0.9","0.3228564494884035"
"saint_george","Saint George","MALE","false","1","2","73",,"4","4","0","0.6428571428571429","0.17585795072437715"
"die_maenner","Die Männer","MALE","false","1","1","2",,"7","7","0","0.8181818181818182","0.30298179659199226"
