id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"gunther","Gunther","MALE","false","13","70","1283",,"17","55","0.06962425001898687","0.8695652173913043","0.30386262590451324"
"ruedeger","Rüdeger","MALE","false","20","83","1654",,"15","52","0.055898268398268405","0.8","0.2759514017948338"
"hagen","Hagen","MALE","false","37","197","4044",,"18","111","0.1696242500189869","0.9090909090909091","0.3057319651414712"
"ute","Ute","FEMALE","false","4","26","418",,"6","10","0","0.5882352941176471","0.13389635295411112"
"gerenot","Gerenot","MALE","false","6","13","218",,"12","28","0.009613807245386193","0.7142857142857143","0.24499603254068017"
"kriemhild","Kriemhild","FEMALE","false","35","221","5196",,"13","79","0.017347725374041167","0.7407407407407407","0.2542125011933557"
"giselher","Giselher","MALE","false","12","45","511",,"13","42","0.012754993544467226","0.7407407407407407","0.2619694531650604"
"werbel","Werbel","MALE","false","12","52","558",,"10","27","0.011812865497076023","0.6666666666666666","0.1938052504971194"
"rumolt","Rumolt","MALE","false","4","16","347",,"6","13","0","0.5555555555555556","0.11491296862206209"
"volker","Volker","MALE","false","18","72","1319",,"14","53","0.03485588972431078","0.7692307692307693","0.26429496136071984"
"dankwart","Dankwart","MALE","false","6","25","259",,"12","25","0.020651818941292623","0.7142857142857143","0.23063865940718856"
"kaplan","Kaplan","MALE","false","1","1","6",,"6","6","0","0.5555555555555556","0.11491296862206209"
"goetelinde","Götelinde","FEMALE","false","4","17","190",,"11","18","0.0171451355661882","0.6896551724137931","0.21522015012874884"
"dietrich","Dietrich","MALE","false","21","70","1385",,"16","77","0.06041372370319738","0.8333333333333334","0.2932634550049921"
"hildebrant","Hildebrant","MALE","false","10","34","586",,"14","37","0.043329156223893064","0.7692307692307693","0.25881568699477975"
"iring","Iring","MALE","false","1","5","98",,"6","6","0","0.5405405405405406","0.11138446616656461"
"thuering","Thüring","MALE","false","1","5","181",,"6","6","0","0.5405405405405406","0.11138446616656461"
"gudrun","Gudrun","FEMALE","false","3","10","136",,"11","15","0.0171451355661882","0.6896551724137931","0.21522015012874884"
"etzel","Etzel","MALE","false","15","70","2263",,"11","49","0.007151401230348599","0.6896551724137931","0.22572125358677106"
"pilgrim","Pilgrim","MALE","false","1","1","41",,"1","1","0","0.4878048780487805","0.024859390799325937"
"ein_heune","Ein Heune","MALE","false","1","3","0",,"6","6","0","0.5882352941176471","0.13348044298986067"
