id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"solisa","Solisa","FEMALE","false","3","18","1255",,"5","6","0.03333333333333333","0.625","0.2116652332795746"
"alvaro","Alvaro","MALE","false","4","14","949",,"9","13","0.20185185185185187","0.9090909090909091","0.3815767291543357"
"laura","Laura","FEMALE","false","1","4","186",,"2","2","0","0.5263157894736842","0.08638902701146822"
"ricardo","Ricardo","MALE","false","3","12","230",,"8","13","0.0574074074074074","0.8333333333333334","0.3705956219770329"
"octavio","Octavio","MALE","false","3","11","264",,"8","13","0.0574074074074074","0.8333333333333334","0.3705956219770329"
"der_koenig","Der König","MALE","false","2","17","631",,"5","7","0.005555555555555556","0.625","0.24437102847749584"
"alarcos","Alarcos","MALE","false","3","47","3319",,"7","10","0.022222222222222223","0.7692307692307693","0.34369044956696654"
"clara","Clara","FEMALE","false","2","26","1278",,"7","9","0.05185185185185185","0.7692307692307693","0.3310088983710899"
"dagobert","Dagobert","MALE","false","2","18","1321",,"7","9","0.05185185185185185","0.7692307692307693","0.3310088983710899"
"eine_waerterin","Eine Wärterin","FEMALE","false","1","1","16",,"3","3","0","0.5","0.14460545514705228"
"cornelia","Cornelia","FEMALE","false","2","4","687",,"7","9","0.05185185185185185","0.7692307692307693","0.3310088983710899"
