id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"resi","Resi","FEMALE","false","2","6","145",,"6","8","0.0010804321728691477","0.5327188940092166","0.04314746728215037"
"leopold","Leopold","MALE","false","14","141","2325",,"33","73","0.10755702280912363","0.9436734693877551","0.2097248901292506"
"loidl","Loidl","MALE","false","6","21","298",,"27","42","0.023715486194477803","0.805574912891986","0.20131676019763223"
"piccolo","Piccolo","MALE","false","6","16","103",,"28","46","0.03526010404161664","0.8257142857142857","0.2026377520337887"
"kracher","Kracher","MALE","false","1","6","40",,"4","4","0","0.5081318681318682","0.02697600258072078"
"josepha","Josepha","FEMALE","false","18","189","3089",,"30","71","0.053463385354141656","0.869172932330827","0.20603252837097918"
"franz","Franz","MALE","false","5","17","130",,"27","39","0.017745098039215684","0.805574912891986","0.20212565049537048"
"mirzl","Mirzl","FEMALE","false","4","10","76",,"25","36","0.009063625450180073","0.7681063122923587","0.19691776998181912"
"kapitaen","Kapitän","MALE","false","1","1","3",,"24","24","0","0.7506493506493507","0.19559677814566265"
"bootsmann","Bootsmann","MALE","false","1","3","22",,"24","24","0","0.7506493506493507","0.19559677814566265"
"erster_portier","Erster Portier","MALE","false","1","2","6",,"24","24","0","0.7506493506493507","0.19559677814566265"
"zweiter_portier","Zweiter Portier","MALE","false","1","2","6",,"24","24","0","0.7506493506493507","0.19559677814566265"
"dritter_portier","Dritter Portier","MALE","false","1","2","5",,"24","24","0","0.7506493506493507","0.19559677814566265"
"eine_dame","Eine Dame","FEMALE","false","1","1","5",,"24","24","0","0.7506493506493507","0.19559677814566265"
"baeuerin","Bäuerin","FEMALE","false","1","1","7",,"24","24","0","0.7506493506493507","0.19559677814566265"
"sepp","Sepp","MALE","false","2","9","82",,"24","26","0","0.7506493506493507","0.19559677814566265"
"bauernjunge","Bauernjunge","MALE","false","1","1","7",,"24","24","0","0.7506493506493507","0.19559677814566265"
"vierter_portier","Vierter Portier","MALE","false","1","1","3",,"24","24","0","0.7506493506493507","0.19559677814566265"
"reisender","Reisender","MALE","false","1","5","38",,"24","24","0","0.7506493506493507","0.19559677814566265"
"hochtourist","Hochtourist","MALE","false","2","10","162",,"24","26","0","0.7506493506493507","0.19559677814566265"
"bernbach","Bernbach","MALE","false","2","6","40",,"24","26","0","0.7506493506493507","0.19559677814566265"
"emmy","Emmy","FEMALE","false","2","5","27",,"24","26","0","0.7506493506493507","0.19559677814566265"
"melanie_schmidt","Melanie Schmidt","FEMALE","false","1","3","38",,"24","24","0","0.7506493506493507","0.19559677814566265"
"raetin_schmidt","Rätin Schmidt","FEMALE","false","1","2","15",,"24","24","0","0.7506493506493507","0.19559677814566265"
"giesecke","Giesecke","MALE","false","20","286","4336",,"32","82","0.11173869547819128","0.9174603174603174","0.2077976908387798"
"charlotte","Charlotte","FEMALE","false","6","21","160",,"27","46","0.020546218487394963","0.805574912891986","0.20159181556600653"
"ottilie","Ottilie","FEMALE","false","14","74","690",,"26","63","0.010126050420168066","0.7863945578231293","0.20042346669086086"
"siedler","Siedler","MALE","false","18","185","2988",,"14","45","0.022645058023209284","0.6116402116402117","0.07486723629285241"
"joseph","Joseph","MALE","false","1","0","2",,"6","6","0","0.5327188940092166","0.038547086091700274"
"martin","Martin","MALE","false","1","0","2",,"6","6","0","0.5327188940092166","0.038547086091700274"
"mali","Mali","FEMALE","false","1","4","30",,"4","4","0","0.5081318681318682","0.03348502320007606"
"kathi","Kathi","FEMALE","false","1","8","90",,"2","2","0","0.4857142857142857","0.011609221955978926"
"portier","Portier","MALE","false","1","1","6",,"0","0","0","0","4.3436549444774614E-14"
"suelzheimer","Sülzheimer","MALE","false","8","129","1800",,"8","25","0.0018487394957983196","0.5504761904761905","0.04747905590316035"
"hinzelmann","Hinzelmann","MALE","false","5","55","1263",,"6","13","0.00033613445378151267","0.5327188940092166","0.031598543248734956"
"klaerchen","Klärchen","FEMALE","false","3","55","447",,"5","9","0","0.5242630385487528","0.023470561119394842"
