id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"isaak","Isaak","MALE","false","4","49","1251",,"13","28","0.04478458049886621","0.8823529411764706","0.3072938078702402"
"rahel","Rahel","FEMALE","false","3","64","1967",,"12","22","0.031292517006802724","0.8333333333333334","0.2921448290534231"
"esther","Esther","FEMALE","false","4","50","1067",,"13","28","0.04478458049886621","0.8823529411764706","0.3072938078702402"
"koenig","König","MALE","false","5","164","6756",,"15","34","0.09811791383219957","1","0.3342554419851901"
"manrique","Manrique","MALE","false","4","44","1460",,"12","27","0.03383219954648526","0.8333333333333334","0.28670685437536597"
"koenigin","Königin","FEMALE","false","4","35","467",,"12","27","0.03383219954648526","0.8333333333333334","0.28670685437536597"
"garceran","Garceran","MALE","false","5","80","1239",,"15","34","0.09811791383219957","1","0.33425544198519014"
"eine_weiberstimme","Eine Weiberstimme","FEMALE","false","1","1","2",,"7","7","0","0.6521739130434783","0.2030569320232722"
"knappe","Knappe","MALE","false","2","9","102",,"10","14","0.01523809523809524","0.75","0.25402502607520155"
"diener_3","Diener (III)","MALE","false","1","5","14",,"8","8","0","0.6818181818181818","0.22706339196025174"
"bittsteller","Bittsteller","MALE","false","1","1","4",,"7","7","0","0.6521739130434783","0.18356168687029437"
"zweiter_bittsteller","Zweiter Bittsteller","MALE","false","1","3","27",,"7","7","0","0.6521739130434783","0.18356168687029437"
"dritter_bittsteller","Dritter Bittsteller","MALE","false","1","2","14",,"7","7","0","0.6521739130434783","0.18356168687029437"
"diener_4","Diener (IV)","MALE","false","1","3","9",,"6","6","0","0.625","0.1561282801455934"
"kammerfrau","Kammerfrau","FEMALE","false","1","2","11",,"6","6","0","0.625","0.1561282801455934"
"von_aussen","Stimmen von außen","UNKNOWN","true","1","1","8",,"6","6","0","0.625","0.175448039588211"
