id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"der_dichter","Der Dichter","MALE","false","1","30","1425",,"2","2","0","0.09090909090909091","1.8726345149954988E-11"
"die_muse","Die Muse","FEMALE","false","1","7","202",,"2","2","0","0.09090909090909091","1.8726345149954988E-11"
"die_aftermuse_musa","Die Aftermuse/Musa","FEMALE","false","1","22","1107",,"2","2","0","0.09090909090909091","1.8726345149954988E-11"
"barbara","Barbara","FEMALE","false","3","22","566",,"2","4","0","0.3072727272727273","0.068552746840809"
"jacob","Jacob","MALE","false","12","94","2923",,"12","41","0.04942279942279942","0.5487012987012988","0.33134375767859486"
"benjamin","Benjamin","MALE","false","12","93","3726",,"10","31","0.0183982683982684","0.4801136363636364","0.3068419494110543"
"koenigin","Die Königin","FEMALE","false","1","9","262",,"3","3","0","0.32007575757575757","0.06266474171867133"
"die_prinzessin","Die Prinzessin","FEMALE","false","3","20","781",,"5","9","0.003968253968253968","0.36580086580086585","0.1262996064670394"
"der_koenig","Der König","MALE","false","3","22","1018",,"5","9","0.003968253968253968","0.36580086580086585","0.1262996064670394"
"der_prinz","Der Prinz","MALE","false","6","39","1402",,"12","28","0.05555555555555556","0.5487012987012988","0.33077262866341894"
"block","Meister Block","MALE","false","8","38","1182",,"9","35","0","0.45187165775401067","0.30019241863791873"
"doktor_pfeffer","Doktor Pfeffer","MALE","false","8","85","2224",,"9","35","0","0.45187165775401067","0.30019241863791873"
"der_graf","Der Graf","MALE","false","6","26","389",,"11","28","0.020202020202020204","0.5121212121212122","0.3246942269054593"
"kilian","Kilian","MALE","false","9","57","1299",,"9","33","0","0.45187165775401067","0.30019241863791873"
"joerg","Jörg","MALE","false","3","10","191",,"9","12","0","0.45187165775401067","0.30019241863791873"
"schlueter","Schlüter","MALE","false","6","41","1305",,"9","18","0","0.45187165775401067","0.30019241863791873"
"der_jaeger","Der Jäger","MALE","false","2","8","120",,"9","16","0","0.45187165775401067","0.30019241863791873"
"erste_dame","Erste Dame","FEMALE","false","2","13","295",,"5","8","0.0010822510822510823","0.22727272727272727","0.0000038977739579648625"
"zweite_dame","Zweite Dame","FEMALE","false","2","6","228",,"5","8","0.0010822510822510823","0.22727272727272727","0.0000038977739579648625"
"dritte_dame","Dritte Dame","FEMALE","false","2","6","63",,"5","8","0.0010822510822510823","0.22727272727272727","0.0000038977739579648625"
"erster_kavalier","Erster Kavalier","MALE","false","2","2","78",,"5","8","0.0010822510822510823","0.22727272727272727","0.0000038977739579648625"
"zweiter_kavalier","Zweiter Kavalier","MALE","false","1","1","62",,"4","4","0","0.1893939393939394","0.000003316152257096197"
"die_hofmeisterin","Die Hofmeisterin","FEMALE","false","1","2","27",,"4","4","0","0.1893939393939394","0.000003316152257096197"
