id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"die_dame","Die Dame des Hauses","FEMALE","false","1","39","686",,"14","14","0","0.609375","0.044687747040755114"
"der_staatsanwalt","Der Staatsanwalt","MALE","false","2","32","908",,"20","21","0.05263157894736842","0.6724137931034483","0.06491734164135547"
"ein_anderer_herr","Ein anderer Herr","MALE","false","1","2","44",,"14","14","0","0.609375","0.044687747040755114"
"der_graf","Der Graf","MALE","false","1","27","330",,"14","14","0","0.609375","0.044687747040755114"
"der_millionaerssohn","Der Millionärssohn","MALE","false","1","3","21",,"14","14","0","0.609375","0.044687747040755114"
"der_dichter","Der Dichter","MALE","false","1","19","252",,"14","14","0","0.609375","0.044687747040755114"
"ein_bridgespieler","Ein Bridgespieler","MALE","false","1","1","5",,"14","14","0","0.609375","0.044687747040755114"
"der_partner","Der Partner des Staatsanwaltes","MALE","false","1","5","96",,"14","14","0","0.609375","0.044687747040755114"
"die_eine_dame","Die eine Dame","FEMALE","false","1","2","11",,"14","14","0","0.609375","0.044687747040755114"
"die_andere_dame","Die andere Dame","FEMALE","false","1","1","15",,"14","14","0","0.609375","0.044687747040755114"
"der_komponist","Der Komponist","MALE","false","1","7","34",,"14","14","0","0.609375","0.044687747040755114"
"der_prinz","Der Prinz","MALE","false","4","155","5915",,"39","42","0.4824561403508772","1","0.25819009361321255"
"die_saengerin","Die Sängerin","FEMALE","false","2","69","1524",,"15","16","0.008771929824561403","0.6190476190476191","0.045466877187281006"
"ein_kritischer_zuhoerer","Ein kritischer Zuhörer","MALE","false","1","2","34",,"14","14","0","0.609375","0.044687747040755114"
"ein_junges_maedchen","Ein junges Mädchen","FEMALE","false","1","1","18",,"14","14","0","0.609375","0.044687747040755114"
"der_erste_votant","Der erste Votant","MALE","false","1","4","48",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_zweite_votant","Der zweite Votant","MALE","false","1","4","29",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_obmann","Der Obmann","MALE","false","1","6","99",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_geschworene_2a","Der Geschworene","MALE","false","1","2","19",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_junge_rechtsanwalt","Der junge Rechtsanwalt","MALE","false","1","5","71",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_aeltere_rechtsanwalt","Der ältere Rechtsanwalt","MALE","false","1","4","38",,"19","19","0","0.6610169491525424","0.21653858763848066"
"ein_geschworener_2b","Ein Geschworener","MALE","false","1","1","4",,"19","19","0","0.6610169491525424","0.21653858763848066"
"ein_geschworener_2c","Ein Geschworener","MALE","false","1","1","14",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_psychiater","Der Psychiater","MALE","false","1","3","19",,"19","19","0","0.6610169491525424","0.21653858763848066"
"ein_justizbeamter","Ein Justizbeamter","MALE","false","1","3","21",,"19","19","0","0.6610169491525424","0.21653858763848066"
"ein_geschworener_2d","Ein Geschworener/Der Sadist","MALE","false","1","2","36",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_angesprochene","Der Angesprochene","MALE","false","1","2","28",,"19","19","0","0.6610169491525424","0.21653858763848066"
"irgendein_herr","Irgendein Herr","MALE","false","1","1","13",,"19","19","0","0.6610169491525424","0.21653858763848066"
"ein_geschworener_2e","Ein Geschworener","MALE","false","1","1","1",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_praesident","Der Präsident","MALE","false","2","4","40",,"25","26","0.0728744939271255","0.7358490566037735","0.22868057461042884"
"der_delinquent","Der Delinquent","MALE","false","1","3","7",,"19","19","0","0.6610169491525424","0.21653858763848066"
"die_gehilfen","Die Gehilfen","MALE","true","1","1","0",,"19","19","0","0.6610169491525424","0.21653858763848066"
"verworrene_stimmen","Verworrene Stimmen","UNKNOWN","true","1","1","7",,"19","19","0","0.6610169491525424","0.21653858763848066"
"der_geistliche","Der Geistliche","MALE","false","1","1","3",,"19","19","0","0.6610169491525424","0.21653858763848066"
"chorus_damnatorum","Chorus Damnatorum","UNKNOWN","true","1","3","302",,"2","2","0","0.5131578947368421","0.01577589129593462"
"der_verteidiger","Der Verteidiger","MALE","false","1","11","305",,"7","7","0","0.5492957746478874","0.03618695278509769"
"der_gefaengnisdirektor","Der Gefängnisdirektor","MALE","false","1","6","168",,"7","7","0","0.5492957746478874","0.03618695278509769"
"der_behaebige_herr","Der behäbige Herr","MALE","false","1","9","226",,"7","7","0","0.5492957746478874","0.03618695278509769"
"der_aufseher","Der Aufseher","MALE","false","1","9","117",,"7","7","0","0.5492957746478874","0.03618695278509769"
"der_bruder","Der Bruder","MALE","false","1","28","1036",,"7","7","0","0.5492957746478874","0.03618695278509769"
