id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"welting","Welting","MALE","false","10","84","1183",,"3","15","0","0.5789473684210527","0.25136784679613555"
"wildenhain","Wildenhain","MALE","false","7","59","1064",,"6","14","0.09696969696969696","0.6875","0.41402958452880545"
"hermine","Hermine","FEMALE","false","22","198","2336",,"9","33","0.6060606060606061","0.8461538461538461","0.42567186127116885"
"baldinger","Baldinger","MALE","false","26","246","4440",,"6","36","0.09696969696969696","0.6875","0.41402958452880545"
"hubert","Hubert","MALE","false","11","115","1635",,"5","17","0.07272727272727272","0.6470588235294118","0.372048426398907"
"justitiaer","Justitiär","MALE","false","2","20","601",,"4","5","0","0.4782608695652174","0.30095642286779456"
"die_arbeiter","Die Arbeiter","MALE","true","2","3","7",,"4","6","0","0.4782608695652174","0.30095642286779456"
"sekretaer","Sekretär","MALE","false","4","26","209",,"5","8","0.05454545454545454","0.5789473684210527","0.18325998433123386"
"griesicke","Griesicke","MALE","false","1","4","72",,"2","2","0","0.5","0.12208899214822579"
"petermann","Petermann","MALE","false","1","6","303",,"2","2","0","0.5","0.12208899214822579"
"poenches","Pönches","MALE","false","1","10","766",,"2","2","0","0.5","0.12208899214822579"
"kanzellist","Kanzellist","MALE","false","1","1","14",,"2","2","0","0.5","0.12208899214822579"
