id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"marie","Marie","FEMALE","false","4","146","1490",,"10","15","0.19575757575757577","0.9166666666666666","0.39292924654783584"
"gottfried","Gottfried","MALE","false","4","139","3987",,"10","16","0.15272727272727268","0.9166666666666666","0.39795588056355846"
"mutter","Mutter","FEMALE","false","4","127","1475",,"10","16","0.15272727272727268","0.9166666666666666","0.39795588056355846"
"spuller","Spuller","MALE","false","2","61","827",,"4","6","0.009696969696969697","0.6111111111111112","0.19194325430828182"
"goldsohn","Goldsohn","MALE","false","1","33","1005",,"4","4","0","0.6111111111111112","0.2002848596735971"
"doktor","Doktor","MALE","false","1","20","600",,"4","4","0","0.6111111111111112","0.2002848596735971"
"stanck","Stanck","MALE","false","1","47","787",,"2","2","0","0.5238095238095238","0.10254015310803702"
"strantz","Strantz","MALE","false","2","105","948",,"7","8","0.05272727272727272","0.7333333333333333","0.3182653631656228"
"der_fremde","Der Fremde","MALE","false","1","25","401",,"3","3","0","0.55","0.14242949561172807"
"vogt","Vogt","MALE","false","1","21","419",,"6","6","0","0.6875","0.30534411895605046"
"vox_coelestis","Vox coelestis","UNKNOWN","false","1","1","6",,"6","6","0","0.6875","0.30534411895605046"
"voces_de_profundis","Voces de profundis","UNKNOWN","true","1","1","1",,"6","6","0","0.6875","0.30534411895605046"
