id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"volpino","Volpino","MALE","false","25","141","2814",,"16","64","0.12350320245057088","0.8636363636363636","0.3495826558486056"
"lisel","Lisel","FEMALE","false","15","84","1071",,"10","37","0.024366471734892783","0.6785714285714286","0.23542079118222306"
"johann","Johann","MALE","false","13","55","757",,"9","46","0.001670843776106934","0.6551724137931034","0.23504105644345902"
"fraenzl","Fränzl","FEMALE","false","8","28","488",,"8","24","0","0.6333333333333333","0.21783422290070997"
"frau_von_habicht","Frau von Habicht","FEMALE","false","20","122","1718",,"15","73","0.09523809523809523","0.8260869565217391","0.33929758735394033"
"fraeule","Fräule","FEMALE","false","17","64","895",,"9","58","0.001670843776106934","0.6551724137931034","0.23504105644345902"
"herr_von_baer","Herr von Bär","MALE","false","21","99","1283",,"18","70","0.24436090225563903","0.95","0.3621764404665738"
"herr_von_wolf","Herr von Wolf","MALE","false","21","96","1373",,"12","59","0.06307435254803674","0.7307692307692307","0.2579199095560925"
"chor_1-16","Chor (I/16)","UNKNOWN","true","1","4","99",,"8","8","0","0.6129032258064516","0.19697484113601088"
"chloe","Chloe","FEMALE","false","1","3","59",,"8","8","0","0.6129032258064516","0.19697484113601085"
"daphne","Daphne","FEMALE","false","1","3","60",,"8","8","0","0.6129032258064516","0.19697484113601085"
"ganymedes","Ganymedes","MALE","false","1","7","119",,"8","8","0","0.6129032258064516","0.19697484113601085"
"tirus","Tirus","MALE","false","1","1","16",,"8","8","0","0.6129032258064516","0.19697484113601085"
"dardos","Dardos","MALE","false","1","1","14",,"8","8","0","0.6129032258064516","0.19697484113601088"
"jakob","Jakob","MALE","false","1","1","7",,"2","2","0","0.5135135135135135","0.059993613229618215"
"peter","Peter","MALE","false","1","1","11",,"3","3","0","0.5277777777777778","0.08277025691532887"
"chor_2-11","Chor (II/11)","UNKNOWN","true","1","1","16",,"4","4","0","0.5428571428571428","0.11659204250224199"
"tomaso","Tomaso","MALE","false","6","22","566",,"10","22","0.10693400167084378","0.6785714285714286","0.23706429772009693"
"chor_3-16","Chor (III/16)","UNKNOWN","true","1","2","24",,"1","1","0","0.41304347826086957","0.0229356494640338"
"chor_3-23","Chor (III/23)","UNKNOWN","true","1","1","10",,"7","7","0","0.6129032258064516","0.1950575792149993"
