id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"costa","Costa","MALE","false","4","64","1115",,"28","46","0.08227198286722096","1","0.27773074133659215"
"afanassjitsch","Afanássjitsch","MALE","false","2","25","418",,"16","21","0.01020408163265306","0.7","0.18102478384071877"
"afrossja","Afróssja","FEMALE","false","3","44","391",,"22","34","0.02947530864197531","0.8235294117647058","0.23600968161038133"
"alexej","Alexéj","MALE","false","5","193","5429",,"28","50","0.08227198286722096","1","0.27773074133659215"
"glebof","Glébof","MALE","false","2","46","619",,"15","20","0.0082010582010582","0.6829268292682927","0.1577860622987709"
"kikin","Kíkin","MALE","false","2","18","148",,"15","20","0.0082010582010582","0.6829268292682927","0.1577860622987709"
"dolgoruki","Dolgorúki","MALE","false","1","13","131",,"8","8","0","0.5833333333333334","0.10428554301141825"
"peter","Peter","MALE","false","5","161","3748",,"28","50","0.08227198286722096","1","0.27773074133659215"
"gordon","Gordon","MALE","false","5","30","225",,"28","50","0.08227198286722096","1","0.2777307413365921"
"awdotja","Awdótja","FEMALE","false","1","7","137",,"12","12","0","0.6363636363636364","0.12987477717689677"
"erster_bojar","Erster Bojar","MALE","false","1","5","32",,"12","12","0","0.6363636363636364","0.12987477717689677"
"abram","Abrám","MALE","false","1","12","87",,"12","12","0","0.6363636363636364","0.12987477717689677"
"dritter_bojar","Dritter Bojar","MALE","false","1","9","67",,"12","12","0","0.6363636363636364","0.12987477717689677"
"zweiter_bojar","Zweiter Bojar","MALE","false","1","4","19",,"12","12","0","0.6363636363636364","0.12987477717689677"
"mehrere_viele_alle_2","Mehrere/Viele/Alle (II. Akt)","MALE","true","1","4","24",,"12","12","0","0.6363636363636364","0.12987477717689677"
"menschikof","Ménschikof","MALE","false","2","5","39",,"21","25","0.034341143864953384","0.8","0.22001304380881515"
"tolstoi","Tolstoí","MALE","false","2","25","292",,"19","26","0.011838624338624338","0.7567567567567568","0.21353051699794998"
"erster_diener","Erster Diener","MALE","false","1","7","82",,"13","13","0","0.6511627906976745","0.16139624767525024"
"zweiter_diener","Zweiter Diener","MALE","false","1","3","19",,"13","13","0","0.6511627906976745","0.16139624767525024"
"kammerdiener","Kammerdiener","MALE","false","1","11","147",,"13","13","0","0.6511627906976745","0.16139624767525024"
"iwanuschka","Iwánuschka","MALE","false","2","23","124",,"19","26","0.011838624338624338","0.7567567567567568","0.21353051699795003"
"dritter_diener","Dritter Diener","MALE","false","1","5","26",,"13","13","0","0.6511627906976745","0.16139624767525024"
"alle_3","Alle (III. Akt)","UNKNOWN","true","1","1","2",,"13","13","0","0.6511627906976745","0.16139624767525024"
"mons","Mons","MALE","false","2","9","154",,"19","26","0.011838624338624338","0.7567567567567568","0.21353051699795"
"soldat","Soldat","MALE","false","1","3","21",,"13","13","0","0.6511627906976745","0.15854561922828744"
"offizier","Offizier","MALE","false","1","5","41",,"13","13","0","0.6511627906976745","0.15854561922828744"
"katharina","Katharina","FEMALE","false","1","10","100",,"13","13","0","0.6511627906976745","0.15854561922828744"
"der_alte","Der Alte","MALE","false","2","18","187",,"13","17","0","0.6511627906976745","0.15854561922828744"
"die_alten","Die Alten","MALE","true","2","4","24",,"13","17","0","0.6511627906976745","0.15854561922828744"
