id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"die_marquise","Die Marquise","FEMALE","false","14","144","3272",,"17","53","0.04987199180747569","0.6484698097601324","0.3344539175372222"
"domherr","Der Domherr","MALE","false","13","110","3654",,"21","46","0.2140296979006656","0.7225806451612904","0.35259606295322005"
"ein_bedienter_1-1a","Ein Bedienter (I/1)","MALE","false","1","1","27",,"6","6","0","0.4771758977480219","0.14167199098976394"
"bediente","Bediente","MALE","true","1","1","4",,"6","6","0","0.4771758977480219","0.1416719909897639"
"bedienter_1-1b","Bedienter (I/1)","MALE","false","1","1","9",,"6","6","0","0.4771758977480219","0.14167199098976394"
"die_frauen","Die Frauen","FEMALE","true","2","9","39",,"10","13","0.008986175115207372","0.5380919698009609","0.21427326531271185"
"der_ritter","Der Ritter","MALE","false","13","111","3042",,"21","46","0.17836661546338967","0.7225806451612904","0.35253968622549475"
"der_graf","Der Graf","MALE","false","14","162","4121",,"19","40","0.16515616999487967","0.6835222319093287","0.3251335947887007"
"die_maenner","Die Männer","MALE","true","1","3","8",,"7","7","0","0.5058064516129033","0.17840816388104924"
"erstes_maedchen","Erstes Mädchen","FEMALE","false","1","2","6",,"7","7","0","0.5058064516129033","0.17840816388104924"
"zweites_maedchen","Zweites Mädchen","FEMALE","false","1","2","8",,"7","7","0","0.5058064516129033","0.17840816388104924"
"erster_schueler","Erster Schüler","MALE","false","1","3","16",,"3","3","0","0.44368986983588","0.06879589305067138"
"zweiter_schueler","Zweiter Schüler","MALE","false","1","2","14",,"3","3","0","0.44368986983588","0.06879589305067138"
"saint_jean","Saint Jean","MALE","false","2","7","58",,"3","3","0","0.4683393070489844","0.09495137195688881"
"der_marquis","Der Marquis","MALE","false","10","97","1702",,"11","37","0.02265745007680491","0.5620071684587814","0.23973530890380718"
"la_fleur","La Fleur","MALE","false","2","17","289",,"2","2","0","0.40143369175627236","0.05205920816962299"
"jaeck","Jäck","MALE","false","6","19","169",,"7","14","0.012186379928315411","0.5161290322580645","0.17312347382064422"
"nichte","Die Nichte","FEMALE","false","16","131","2636",,"10","38","0.05913978494623655","0.5497896213183731","0.22556593310956566"
"bedienter_3-2","Bedienter (III/2)","MALE","false","1","1","11",,"2","2","0","0.41459545214172394","0.035794788273325266"
"juwelier","Juwelier","MALE","false","1","5","111",,"2","2","0","0.41459545214172394","0.035794788273325266"
"bedienter_3-3","Bedienter (III/3)","MALE","false","1","2","7",,"2","2","0","0.41459545214172394","0.04845124121527123"
"ein_bedienter_3-7","Ein Bedienter (III/7)","MALE","false","1","1","24",,"1","1","0","0.3951612903225806","0.02996483704301784"
"chor_der_kinder","Chor der Kinder","UNKNOWN","true","1","1","43",,"2","2","0","0.06451612903225806","6.031779253081892E-8"
"chor_der_juenglinge","Chor der Jünglinge","MALE","true","1","1","42",,"2","2","0","0.06451612903225806","6.031779253081892E-8"
"chor_von_innen","Chor von innen","UNKNOWN","true","1","1","21",,"2","2","0","0.06451612903225806","6.031779253081892E-8"
"ein_maedchen","Ein Mädchen","FEMALE","false","1","1","12",,"1","1","0","0.34644277507733096","0.020788515873243093"
"oberst","Oberst","MALE","false","4","43","991",,"11","20","0.03369175627240143","0.5620071684587814","0.23072647338254323"
"ein_schweizer_5-3","Ein Schweizer (V/3)","MALE","false","1","3","39",,"3","3","0","0.42864953526517224","0.05921187127006293"
"zwei_schweizer_5-3","Zwei Schweizer (V/3)","MALE","true","1","1","1",,"3","3","0","0.42864953526517224","0.05921187127006293"
"schweizer_5-7","Schweizer (V/7)","MALE","false","1","2","59",,"5","5","0","0.48635235732009924","0.1366430492151404"
"ein_schweizer_5-8","Ein Schweizer (V/8)","MALE","false","1","1","14",,"8","8","0","0.5268817204301075","0.20920271102042223"
"die_schweizer","Die Schweizer","MALE","true","1","2","21",,"8","8","0","0.5268817204301075","0.20920271102042223"
