id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"dominik","Dominik","MALE","false","4","13","117",,"6","8","0.26373626373626374","0.6363636363636364","0.128186826669656"
"alle_1-1","Alle (I/1)","UNKNOWN","true","1","2","7",,"2","2","0","0.4117647058823529","0.015529264571648821"
"ein_kraemer","Ein Krämer","MALE","false","1","2","38",,"2","2","0","0.4117647058823529","0.015529264571648821"
"frau_von_erbsenstein","Frau von Erbsenstein","FEMALE","false","17","128","1949",,"10","47","0.06923076923076922","0.7777777777777778","0.303989135112301"
"nanett","Nanett","FEMALE","false","5","9","89",,"6","10","0.016483516483516484","0.6363636363636364","0.18714119472853077"
"kauz","Kauz","MALE","false","26","208","2750",,"11","86","0.08983516483516484","0.8235294117647058","0.33031035009069687"
"schnoferl","Schnoferl","MALE","false","37","309","7120",,"12","109","0.23269230769230773","0.875","0.333827885349646"
"gigl","Gigl","MALE","false","24","125","1463",,"10","82","0.012912087912087913","0.7","0.31780994264361173"
"thekla","Thekla","FEMALE","false","16","48","582",,"10","52","0.012912087912087913","0.7","0.31780994264361173"
"chor_der_gesellschaft","Chor der Gesellschaft","UNKNOWN","true","1","2","19",,"1","1","0","0.4827586206896552","0.03607119147663417"
"rosalie","Rosalie","FEMALE","false","21","84","1053",,"9","88","0.0013736263736263737","0.6666666666666666","0.2995605761072644"
"sabine","Sabine","FEMALE","false","16","63","601",,"9","81","0.0013736263736263737","0.6666666666666666","0.29956057610726444"
"peppi","Peppi","FEMALE","false","16","17","175",,"9","79","0.0013736263736263737","0.6666666666666666","0.29956057610726444"
"knoepfel","Knöpfel","MALE","false","5","21","275",,"8","25","0","0.6363636363636364","0.26991667368950856"
"madame_storch","Madame Storch","FEMALE","false","19","72","761",,"9","88","0.0013736263736263737","0.6666666666666666","0.29956057610726444"
