id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"ariel","Ariel","MALE","false","1","2","180",,"2","2","0","0.3559204440333025","0.00035960450933284854"
"chor_anmutige_gegend","Chor (Anmutige Gegend)","UNKNOWN","true","1","1","151",,"2","2","0","0.3559204440333025","0.00035960450933284854"
"faust","Faust","MALE","false","15","122","5610","Q76918","74","102","0.18735734783920022","0.5803628135916163","0.014043657892542822"
"kaiser","Kaiser","MALE","false","4","59","2171",,"36","45","0.07168793694137872","0.4891107988759534","0.0075022687112638944"
"junker","Junker","MALE","false","1","1","21",,"9","9","0","0.4381330536409949","0.005879302968542354"
"zweiter_junker","Zweiter Junker","MALE","false","1","1","39",,"9","9","0","0.4381330536409949","0.005879302968542354"
"mephistopheles","Mephistopheles (im III. Akt als Phorkyas)","MALE","false","19","239","10225",,"98","145","0.3661493578733877","0.6374476805022671","0.018721306587253083"
"die_menge_erster_akt","Gemurmel der Menge/Wechselgeschrei/Geschrei und Gedräng/Getümmel und Gesang (I.
              Akt)","UNKNOWN","true","2","9","346",,"49","49","0.11818750711116158","0.49376899696048626","0.1576042202151206"
"kanzler","Kanzler","MALE","false","2","4","421",,"17","22","0.001586917810322066","0.4615348191173685","0.0071907665337189565"
"heermeister","Heermeister","MALE","false","2","3","148",,"17","22","0.001586917810322066","0.4615348191173685","0.0071907665337189565"
"schatzmeister","Schatzmeister","MALE","false","2","5","271",,"17","22","0.001586917810322066","0.4615348191173685","0.0071907665337189565"
"marschalk","Marschalk","MALE","false","3","6","308",,"20","28","0.0044114712293686015","0.46568034144477","0.007291671391527616"
"astrolog","Astrolog","MALE","false","2","11","558",,"34","35","0.004837824878500724","0.48605385638297877","0.01696542873498227"
"herold","Herold","MALE","false","2","21","1455",,"66","66","0.17310416429627948","0.5184574468085106","0.1635357659575624"
"gaertnerinnen","Gärtnerinnen","FEMALE","true","1","2","105",,"40","40","0","0.3775175583557116","0.15556290656012273"
"olivenzweig_mit_fruechten","Olivenzweig mit Früchten","UNKNOWN","false","1","1","40",,"40","40","0","0.3775175583557116","0.15556290656012273"
"aehrenkranz","Ährenkranz","UNKNOWN","false","1","1","19",,"40","40","0","0.3775175583557116","0.15556290656012273"
"phantasiekranz","Phantasiekranz","UNKNOWN","false","1","1","21",,"40","40","0","0.3775175583557116","0.15556290656012273"
"phantasiestrauss","Phantasiestrauß","UNKNOWN","false","1","1","42",,"40","40","0","0.3775175583557116","0.15556290656012273"
"rosenknospen","Rosenknospen","UNKNOWN","false","1","1","63",,"40","40","0","0.3775175583557116","0.15556290656012273"
"gaertner","Gärtner","MALE","false","1","1","88",,"40","40","0","0.3775175583557116","0.15556290656012273"
"mutter","Mutter","FEMALE","false","1","1","89",,"40","40","0","0.3775175583557116","0.15556290656012273"
"holzhauer","Holzhauer","MALE","false","1","1","55",,"40","40","0","0.3775175583557116","0.15556290656012273"
