id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kern","Kern","MALE","false","5","29","641",,"14","29","0.08582633053221289","0.5833333333333334","0.30406409101475185"
"weinhold","Weinhold","MALE","false","2","16","400",,"9","13","0","0.4069767441860465","0.21982937005830566"
"zunder","Zunder","MALE","false","2","7","183",,"9","13","0","0.4069767441860465","0.21982937005830566"
"annchen","Annchen","FEMALE","false","2","3","24",,"9","13","0","0.4069767441860465","0.21982937005830566"
"wirth","Wirth","MALE","false","3","10","96",,"10","17","0.0011204481792717086","0.4117647058823529","0.23751850580163425"
"wagner","Wagner","MALE","false","5","28","700",,"14","26","0.08582633053221289","0.5833333333333334","0.30406409101475185"
"nase","Nase","MALE","false","3","11","133",,"14","21","0.08582633053221289","0.5833333333333334","0.3040640910147519"
"murrner","Murrner","MALE","false","3","6","89",,"14","21","0.08582633053221289","0.5833333333333334","0.3040640910147519"
"die_buerger_1-2","Die Bürger (I/2)","UNKNOWN","true","1","3","12",,"9","9","0","0.4069767441860465","0.21982937005830566"
"studenten","Studenten","MALE","true","2","7","46",,"10","13","0.0011204481792717086","0.4117647058823529","0.23751850580163425"
"fausts_vater","Fausts Vater","MALE","false","2","16","403",,"9","11","0.0020168067226890756","0.4069767441860465","0.2068508449534268"
"faust","Faust","MALE","false","19","171","5227","Q76918","22","49","0.623781512605042","0.7291666666666666","0.2574592201582832"
"schatten","Schatten","UNKNOWN","false","1","17","211",,"2","2","0","0.4375","0.03633245251608868"
"mephistopheles","Mephistopheles","MALE","false","13","85","2697",,"15","29","0.056134453781512605","0.5384615384615384","0.1310618436092867"
"unsichtbarer_chor","Unsichtbarer Chor","UNKNOWN","true","1","1","20",,"7","7","0","0.3977272727272727","0.16622741191073592"
"die_buerger_1-5","Die Bürger (I/5)","UNKNOWN","true","1","4","22",,"7","7","0","0.3977272727272727","0.16622741191073592"
"zwitsch","Zwitsch","MALE","false","2","2","22",,"8","12","0.022184873949579832","0.5303030303030303","0.18824463251010928"
"cosmo","Cosmo","MALE","false","2","25","714",,"8","10","0","0.4861111111111111","0.09431277692950094"
"die_damen","Die Damen","FEMALE","true","1","2","73",,"8","8","0","0.4861111111111111","0.09431277692950094"
"die_herren","Die Herren","MALE","true","1","2","73",,"8","8","0","0.4861111111111111","0.09431277692950092"
"robert","Graf Robert","MALE","false","6","29","1359",,"13","21","0.11949579831932773","0.5223880597014925","0.11307784410384049"
"bianca","Bianca","FEMALE","false","5","27","442",,"14","24","0.025462184873949575","0.5303030303030303","0.12967944135685522"
"die_zofen","Die Zofen","FEMALE","true","1","3","66",,"8","8","0","0.4861111111111111","0.09431277692950094"
"die_diener","Die Diener","MALE","true","1","3","70",,"8","8","0","0.4861111111111111","0.09431277692950094"
"crabe","Crabe","MALE","false","2","21","420",,"4","4","0","0.3645833333333333","0.03259220455189005"
"dujour","Dujour","MALE","false","3","18","350",,"7","11","0.008739495798319327","0.4666666666666667","0.07248692483934796"
"le_doigt","Le Doigt","MALE","false","3","15","210",,"7","11","0.008739495798319327","0.4666666666666667","0.07248692483934799"
"appeau","Appeau","MALE","false","3","6","81",,"7","11","0.008739495798319327","0.4666666666666667","0.07248692483934796"
"alle_maskenball","Alle (Maskenball)","UNKNOWN","true","2","4","18",,"7","9","0.0037815126050420172","0.4794520547945205","0.0793699002458905"
"anselmo","Pater Anselmo","MALE","false","4","15","523",,"2","5","0","0.4375","0.02658199379847745"
"der_kaiser","Kaiser Karl der Fünfte","MALE","false","2","10","163",,"3","3","0.05714285714285715","0.4430379746835443","0.02679628734632392"
"rosa","Rosa","FEMALE","false","4","14","476",,"5","12","0.000588235294117647","0.4666666666666667","0.06396782442878576"
"juanito","Juanito","MALE","false","3","6","20",,"4","10","0","0.45454545454545453","0.05275966134297338"
"eine_stimme_aus_der_hoehe","Eine Stimme aus der Höhe","UNKNOWN","false","1","3","9",,"2","2","0","0.35","0.011665419619605459"
"eine_stimme_aus_der_tiefe","Eine Stimme aus der Tiefe","UNKNOWN","false","1","3","24",,"2","2","0","0.35","0.011665419619605459"
"chor_der_moenche","Chor der Mönche","MALE","true","1","3","25",,"1","1","0","0.30973451327433627","0.002505843089553284"
