id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"zangler","Zangler","MALE","false","22","181","2324",,"16","55","0.17753968253968255","0.8076923076923077","0.28965615575501014"
"sonders","Sonders","MALE","false","14","76","787",,"13","43","0.02386621315192744","0.7241379310344828","0.2790724140476765"
"gertrud","Gertrud","FEMALE","false","7","28","404",,"4","7","0","0.5526315789473685","0.10538021848713074"
"kraps","Kraps","MALE","false","4","21","320",,"4","7","0.002380952380952381","0.5526315789473685","0.09058528929680469"
"melchior","Melchior","MALE","false","19","172","2311",,"16","57","0.0982312925170068","0.8076923076923077","0.304663203001206"
"hupfer","Hupfer","MALE","false","1","12","101",,"2","2","0","0.5","0.051988541963313095"
"weinberl","Weinberl","MALE","false","34","246","4945",,"18","93","0.13592970521541953","0.875","0.3228105611740049"
"christoph","Christoph","MALE","false","29","159","1551",,"19","87","0.16569160997732427","0.9130434782608695","0.33128724964034856"
"marie","Marie","FEMALE","false","9","32","280",,"9","26","0.002040816326530612","0.6363636363636364","0.22186908916191836"
"hausmeister","Hausmeister","MALE","false","1","6","44",,"2","2","0","0.5","0.0572177587839134"
"brunninger","Brunninger","MALE","false","1","14","110",,"1","1","0","0.45652173913043476","0.0253379044941191"
"philippine","Philippine","FEMALE","false","4","5","52",,"4","12","0","0.525","0.10634798863710966"
"madame_knorr","Madame Knorr","FEMALE","false","12","69","710",,"13","52","0.024263038548752835","0.7241379310344828","0.28082250165175016"
"frau_von_fischer","Frau von Fischer","FEMALE","false","10","49","511",,"13","46","0.024263038548752835","0.7241379310344828","0.28082250165175016"
"kutscher","Kutscher","MALE","false","3","14","87",,"6","8","0","0.5833333333333334","0.1535683784563442"
"kellner","Kellner","MALE","false","3","11","70",,"8","12","0.0015873015873015873","0.6","0.1899060440470195"
"zweiter_kellner","Zweiter Kellner","MALE","false","1","2","39",,"6","6","0","0.5675675675675675","0.14961074821327833"
"lisett","Lisett","FEMALE","false","6","16","233",,"9","20","0","0.6363636363636364","0.2271106486688959"
"fraeulein_blumenblatt","Fräulein Blumenblatt","FEMALE","false","10","61","690",,"11","35","0.005317460317460318","0.6774193548387096","0.25731049343899143"
"wachter","Wachter","MALE","false","4","11","77",,"11","20","0.009126984126984128","0.6774193548387096","0.2498258375680088"
"die_uebrigen","Die Übrigen","UNKNOWN","true","1","0","3",,"5","5","0","0.5675675675675675","0.12882138524863704"
"rab","Rab","MALE","false","4","18","268",,"4","8","0.0011904761904761906","0.5384615384615384","0.09179243393378159"
