id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"don_juan","Don Juan","MALE","false","7","244","5782",,"17","38","0.04122807017543859","0.8695652173913043","0.2547193834682702"
"leporello","Leporello","MALE","false","7","159","2824",,"17","38","0.04122807017543859","0.8695652173913043","0.2547193834682702"
"der_gouverneur","Der Gouverneur","MALE","false","6","59","1107",,"17","34","0.04122807017543859","0.8695652173913043","0.2547193834682702"
"don_octavio","Don Octavio","MALE","false","4","31","363",,"16","27","0.019736842105263157","0.8333333333333334","0.25057155784284907"
"lisette","Lisette","FEMALE","false","1","9","131",,"4","4","0","0.5128205128205128","0.06698330096934052"
"faust","Faust","MALE","false","8","140","5796","Q76918","18","38","0.26842105263157895","0.9090909090909091","0.24995538829117145"
"der_ritter","Der Ritter","MALE","false","6","82","2200",,"15","33","0","0.8","0.24642373221742792"
"donna_anna","Donna Anna","FEMALE","false","4","70","1092",,"15","24","0","0.8","0.24642373221742792"
"signor_rubio","Signor Rubio","MALE","false","2","22","380",,"15","21","0","0.8","0.24642373221742792"
"signor_negro","Signor Negro","MALE","false","2","19","421",,"15","21","0","0.8","0.24642373221742792"
"erster_herr","Erster Herr","MALE","false","1","1","6",,"15","15","0","0.8","0.24642373221742792"
"zweiter_herr","Zweiter Herr","MALE","false","1","1","6",,"15","15","0","0.8","0.24642373221742792"
"der_diener","Der Diener","MALE","false","1","1","12",,"15","15","0","0.8","0.24642373221742792"
"ein_diener","Ein Diener","MALE","false","1","1","9",,"15","15","0","0.8","0.24642373221742792"
"mehrere_andere","Mehrere Andere","UNKNOWN","false","1","0","1",,"15","15","0","0.8","0.24642373221742792"
"die_anwesenden","Die Anwesenden","UNKNOWN","false","1","4","35",,"15","15","0","0.8","0.24642373221742792"
"gasparo","Gasparo","MALE","false","2","6","63",,"16","19","0.019736842105263157","0.8333333333333334","0.25057155784284907"
"der_priester","Der Priester","MALE","false","1","3","28",,"4","4","0","0.5128205128205128","0.06698330096934052"
"erster_gnom","Erster Gnom","UNKNOWN","false","1","7","86",,"3","3","0","0.5128205128205128","0.019009791372630876"
"zweiter_gnom","Zweiter Gnom","UNKNOWN","false","1","2","12",,"3","3","0","0.5128205128205128","0.019009791372630876"
"die_gnomen","Die Gnomen","UNKNOWN","false","1","6","118",,"3","3","0","0.5128205128205128","0.019009791372630876"
