id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kartenaufschlaegerin","Kartenaufschlägerin","FEMALE","false","1","18","223",,"9","9","0","0.68","0.1714561518868131"
"adelaide","Adelaide","FEMALE","false","3","64","768",,"17","30","0.034401260504201676","1","0.27995922016471364"
"zdenka","Zdenka","FEMALE","false","3","82","1358",,"17","30","0.034401260504201676","1","0.27995922016471364"
"matteo","Matteo","MALE","false","3","52","774",,"17","30","0.034401260504201676","1","0.27995922016471364"
"arabella","Arabella","FEMALE","false","3","120","2673",,"17","30","0.034401260504201676","1","0.27995922016471364"
"elemer","Elemer","MALE","false","2","16","300",,"14","21","0.009191176470588236","0.85","0.24664231927832897"
"waldner","Waldner","MALE","false","3","69","878",,"17","30","0.034401260504201676","1","0.27995922016471364"
"zimmerkellner","Zimmerkellner","MALE","false","1","7","31",,"9","9","0","0.68","0.1714561518868131"
"mandryka","Mandryka","MALE","false","3","94","2680",,"17","30","0.034401260504201676","1","0.27995922016471364"
"welko","Welko","MALE","false","3","3","25",,"17","30","0.034401260504201676","1","0.27995922016471364"
"lamoral","Lamoral","MALE","false","1","6","55",,"12","12","0","0.7727272727272727","0.22357899123014918"
"dominik","Dominik","MALE","false","1","3","34",,"12","12","0","0.7727272727272727","0.2235789912301492"
"die_fiakermilli","Die Fiakermilli","FEMALE","false","1","4","79",,"12","12","0","0.7727272727272727","0.22357899123014918"
"fiaker","Fiaker","MALE","true","1","0","6",,"12","12","0","0.7727272727272727","0.2235789912301492"
"piccolo","Piccolo","MALE","false","1","2","10",,"12","12","0","0.7727272727272727","0.2235789912301492"
"die_gaeste","Die Gäste","UNKNOWN","true","1","2","25",,"9","9","0","0.68","0.1651213301557788"
"einer_der_spieler","Einer der Spieler","MALE","false","1","1","10",,"9","9","0","0.68","0.1651213301557788"
"die_drei_spieler","Die drei Spieler","MALE","true","1","2","8",,"9","9","0","0.68","0.1651213301557788"
