id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"sabine","Sabine","FEMALE","false","25","165","2413",,"11","75","0.052669552669552665","0.9230769230769231","0.3412294899759973"
"die_magd","Die Magd","FEMALE","false","5","8","84",,"5","10","0","0.631578947368421","0.1881565428497481"
"frau_staar","Frau Staar","FEMALE","false","34","203","3155",,"12","111","0.14357864357864358","1","0.3487716190480725"
"herr_staar","Herr Staar","MALE","false","21","116","1255",,"11","90","0.052669552669552665","0.9230769230769231","0.3412294899759973"
"buergermeister","Bürgermeister","MALE","false","20","184","2838",,"11","77","0.052669552669552665","0.9230769230769231","0.3412294899759973"
"bauer","Bauer","MALE","false","1","5","100",,"4","4","0","0.6","0.1544090547597775"
"frau_brendel","Frau Brendel","FEMALE","false","15","90","902",,"8","58","0.0021645021645021645","0.75","0.28398446562989726"
"frau_morgenroth","Frau Morgenroth","FEMALE","false","14","74","821",,"8","57","0.0021645021645021645","0.75","0.28398446562989726"
"sperling","Sperling","MALE","false","22","124","1485",,"10","79","0.07085137085137086","0.8571428571428571","0.31412852766643606"
"die_kinder","Die Kinder","UNKNOWN","true","2","2","6",,"7","11","0","0.7058823529411765","0.25364979354234274"
"olmers","Olmers","MALE","false","18","144","1515",,"9","55","0.01717171717171717","0.8","0.2999632429186655"
"nachtwaechter","Nachtwächter","MALE","false","2","4","38",,"2","3","0","0.5454545454545454","0.07457982485722021"
"klaus","Klaus","MALE","false","5","32","518",,"6","18","0","0.6666666666666666","0.22349770015730094"
