id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"thibaut","Thibaut","MALE","false","5","27","1366",,"13","15","0.04179371353284397","0.5348837209302325","0.2348057769486498"
"louison","Louison","FEMALE","false","4","15","243",,"5","12","0","0.4144144144144144","0.07085063054391891"
"claude_marie","Claude Marie","MALE","false","4","5","67",,"6","12","0.01758380910554823","0.41818181818181815","0.07194953604660656"
"margot","Margot","FEMALE","false","4","18","234",,"5","12","0","0.4144144144144144","0.07085063054391891"
"raimond","Raimond","MALE","false","8","37","861",,"11","15","0.14646111269299672","0.5287356321839081","0.15794938627953742"
"bertrand","Bertrand","MALE","false","5","19","917",,"7","14","0.02920708116360291","0.4380952380952381","0.08463867922513661"
"johanna","Johanna","FEMALE","false","26","155","6526",,"28","63","0.36546871271508946","0.647887323943662","0.34882482010574556"
"dunois","Dunois","MALE","false","21","64","1851",,"21","70","0.10871762697849656","0.5822784810126582","0.3266258359637709"
"du_chatel","Du Chatel","MALE","false","9","20","290",,"12","25","0.020519649432692914","0.5227272727272727","0.24991225028280364"
"koenig_karl","König Karl","MALE","false","18","113","2809",,"18","59","0.07190567349987638","0.5411764705882353","0.28815651685327787"
"edelknecht_1-2","Edelknecht (I/2)","MALE","false","1","1","6",,"3","3","0","0.38333333333333336","0.07553481852316521"
"ratsherr","Ratsherr","MALE","false","2","6","206",,"5","7","0","0.39316239316239315","0.12263918112565801"
"agnes_sorel","Sorel","FEMALE","false","13","36","1397",,"15","48","0.03896639324175555","0.5227272727272727","0.27259954921676294"
"la_hire","La Hire","MALE","false","12","37","795",,"14","42","0.02425430447169578","0.5168539325842697","0.2666337260543367"
"erzbischof","Erzbischof","MALE","false","8","16","602",,"16","35","0.06322186670012757","0.5476190476190477","0.2808779389701293"
"raoul","Raoul","MALE","false","1","2","378",,"4","4","0","0.38016528925619836","0.08055733913961703"
"viele_stimmen_hinter_der_szene","Viele Stimmen (hinter der Szene)","MALE","true","1","1","6",,"4","4","0","0.38016528925619836","0.08055733913961703"
"edelknecht_1-10","Edelknecht (I/10)","MALE","false","1","1","6",,"5","5","0","0.4380952380952381","0.13200289042612337"
"herold","Herold","MALE","false","1","6","100",,"3","3","0","0.42990654205607476","0.08417537141415705"
"talbot","Talbot","MALE","false","5","28","850",,"10","15","0.2318840579710145","0.4339622641509434","0.05879723767964444"
"lionel","Lionel","MALE","false","7","39","946",,"6","17","0.018825208607817306","0.46938775510204084","0.08734922793193227"
"burgund","Burgund","MALE","false","12","56","1260",,"14","41","0.1246837059880538","0.5542168674698795","0.264949827775664"
"isabeau","Isabeau","FEMALE","false","7","47","1167",,"10","17","0.08510621423664899","0.5168539325842697","0.12927780947894932"
"alle_2-4","Alle (II/4)","MALE","true","1","1","4",,"4","4","0","0.42592592592592593","0.09017223297462049"
"schildwache","Schildwache","MALE","false","1","1","3",,"4","4","0","0.42592592592592593","0.09017223297462049"
"erster","Erster (englischer Soldat)","MALE","false","1","1","5",,"6","6","0","0.3150684931506849","0.009123349560057222"
"zweiter","Zweiter (englischer Soldat)","MALE","false","1","1","9",,"6","6","0","0.3150684931506849","0.009123349560057222"
"dritter","Dritter (englischer Soldat)","MALE","false","1","1","7",,"6","6","0","0.3150684931506849","0.009123349560057222"
"vierter","Vierter (englischer Soldat)","MALE","false","1","0","7",,"6","6","0","0.3150684931506849","0.009123349560057222"
"fuenfter","Fünfter (englischer Soldat)","MALE","false","1","0","7",,"6","6","0","0.3150684931506849","0.009123349560057222"
"soldat_2-5","Soldat (II/5)","MALE","false","1","1","5",,"6","6","0","0.3150684931506849","0.009123349560057222"
"montgomery","Montgomery","MALE","false","2","8","485",,"1","1","0","0.39655172413793105","0.030471469560840517"
"chatillon","Chatillon","MALE","false","1","9","146",,"5","5","0","0.3898305084745763","0.11182049306612817"
"edelknecht_3-2","Edelknecht (III/2)","MALE","false","1","1","7",,"5","5","0","0.3898305084745763","0.11182049306612817"
"ritter_3-5","Ritter (III/5)","MALE","false","1","1","13",,"5","5","0","0.46938775510204084","0.13113275186855164"
"fastolf","Fastolf","MALE","false","4","10","147",,"8","12","0.049927439710048406","0.5168539325842697","0.1367387484455611"
"schwarzer_ritter","Schwarzer Ritter","MALE","false","1","6","140",,"1","1","0","0.39655172413793105","0.030471469560840517"
"etienne","Etienne","MALE","false","1","1","31",,"2","2","0","0.3087248322147651","0.013678707392192372"
"alle_stimmen_volk_mehrere_stimmen","Alle Stimmen/Volk/Mehrere Stimmen (IV/10–11)","UNKNOWN","true","2","4","22",,"9","9","0.00012077294685990338","0.48936170212765956","0.22130250974199553"
"koehler","Köhler","MALE","false","3","8","237",,"3","5","0.021256038647342993","0.35658914728682173","0.015375359947968585"
"koehlerweib","Köhlerweib","FEMALE","false","3","4","96",,"3","5","0.021256038647342993","0.35658914728682173","0.015375359947968585"
"koehlerbub","Köhlerbub","MALE","false","1","1","14",,"2","2","0","0.2658959537572254","0.002686216769438531"
"soldaten","Soldaten","MALE","true","1","1","4",,"3","3","0","0.44660194174757284","0.05556222893036139"
"anfuehrer_der_soldaten","Anführer der Soldaten","MALE","false","1","1","5",,"1","1","0","0.39655172413793105","0.030471469560840517"
"edelmann","Edelmann","MALE","false","1","1","22",,"3","3","0","0.40707964601769914","0.06686567195575435"
"hauptmann","Hauptmann","MALE","false","1","1","23",,"4","4","0","0.4339622641509434","0.06134002090574055"
"soldat_5-11_und_5-12","Soldat (V/11–12)","MALE","false","2","20","277",,"2","3","0","0.42592592592592593","0.04176463099368869"
