id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"direktor","Direktor","MALE","false","1","4","628",,"2","2","0","0.017543859649122806","3.754616001373624E-33"
"dichter","Dichter","MALE","false","1","4","357",,"2","2","0","0.017543859649122806","3.754616001373624E-33"
"lustige_person","Lustige Person","MALE","false","1","3","370",,"2","2","0","0.017543859649122806","3.754616001373624E-33"
"raphael","Raphael","MALE","false","1","1","60",,"4","4","0","0.27606372252470257","2.5379073822928454E-7"
"gabriel","Gabriel","MALE","false","1","1","63",,"4","4","0","0.27606372252470257","2.5379073822928454E-7"
"michael","Michael","MALE","false","1","1","66",,"4","4","0","0.27606372252470257","2.5379073822928454E-7"
"mephistopheles","Mephistopheles","MALE","false","19","257","7942",,"44","70","0.08764167054805154","0.4618758434547909","0.000005518102343641525"
"der_herr","Der Herr","MALE","false","1","7","215",,"4","4","0","0.27606372252470257","2.5379073822928454E-7"
"faust","Faust","MALE","false","19","224","8350","Q76918","67","92","0.24802049371215648","0.593025774312324","0.000008429005326663127"
"geist","Geist","UNKNOWN","false","1","5","153",,"5","5","0","0.320233918128655","5.395766834748176E-7"
"wagner","Wagner","MALE","false","2","19","740",,"27","28","0.006831237385499146","0.37527412280701755","0.0000032781622568627824"
"chor_der_engel","Chor der Engel","UNKNOWN","true","1","3","60",,"5","5","0","0.320233918128655","5.395766834748176E-7"
"chor_der_weiber","Chor der Weiber","FEMALE","true","1","1","26",,"5","5","0","0.320233918128655","5.395766834748176E-7"
"chor_der_juenger","Chor der Jünger","MALE","true","1","1","42",,"5","5","0","0.320233918128655","5.395766834748176E-7"
"einige_handwerksburschen","Einige Handwerksburschen","MALE","true","1","2","11",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"andre_handwerksburschen","Andre Handwerksburschen","MALE","true","1","2","9",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"ein_handwerksbursch","Ein Handwerksbursch","MALE","false","1","1","8",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"zweiter_handwerksbursch","Zweiter Handwerksbursch","MALE","false","1","1","7",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"ein_dritter_handwerksbursch","Ein dritter Handwerksbursch","MALE","false","1","1","5",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"vierter_handwerksbursch","Vierter Handwerksbursch","MALE","false","1","1","21",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"fuenfter_handwerksbursch","Fünfter Handwerksbursch","MALE","false","1","1","19",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"erstes_dienstmaedchen","Erstes Dienstmädchen","FEMALE","false","1","2","35",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"andres_dienstmaedchen","Andres Dienstmädchen","FEMALE","false","1","2","22",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"erster_schueler","Erster Schüler","MALE","false","1","2","57",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"buergermaedchen","Bürgermädchen","FEMALE","false","1","2","50",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"zweiter_schueler","Zweiter Schüler","MALE","false","1","1","36",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"buerger","Bürger","MALE","false","1","1","44",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"bettler","Bettler","MALE","false","1","1","46",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"andrer_buerger","Andrer Bürger","MALE","false","1","1","56",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"dritter_buerger","Dritter Bürger","MALE","false","1","1","28",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"alte","Alte","FEMALE","false","1","1","32",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"die_andre","Die Andre","FEMALE","false","1","1","24",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"soldaten","Soldaten","MALE","true","1","1","60",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"bauern_unter_der_linde","Bauern unter der Linde","UNKNOWN","true","1","1","150",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"alter_bauer","Alter Bauer","MALE","false","1","2","136",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"alle_vor_dem_tor","Alle (Vor dem Tor)","UNKNOWN","true","1","1","10",,"23","23","0","0.36390217969165334","0.0000031941639144465465"
"geister","Geister","UNKNOWN","true","1","2","200",,"2","2","0","0.32238313905569294","5.641164294954762E-7"
"geisterchor","Geisterchor","UNKNOWN","true","1","1","58",,"3","3","0","0.32456140350877194","5.878945567668881E-7"
"schueler","Schüler","MALE","false","1","17","349",,"3","3","0","0.32456140350877194","5.878945567668882E-7"
"frosch","Frosch","MALE","false","1","23","333",,"5","5","0","0.3290074501321798","6.42017958211157E-7"
"brander","Brander","MALE","false","1","18","416",,"5","5","0","0.3290074501321798","6.420179582111571E-7"
"siebel","Siebel","MALE","false","1","22","318",,"5","5","0","0.3290074501321798","6.420179582111571E-7"
"altmayer","Altmayer","MALE","false","1","21","227",,"5","5","0","0.3290074501321798","6.420179582111571E-7"
"die_tiere","Die Tiere","UNKNOWN","true","1","5","59",,"5","5","0","0.3290074501321798","6.42017958211157E-7"
"der_kater","Der Kater","MALE","false","1","4","120",,"5","5","0","0.3290074501321798","6.420179582111571E-7"
"kaetzin","Die Kätzin","FEMALE","false","1","0","13",,"5","5","0","0.3290074501321798","6.420179582111571E-7"
"die_hexe","Die Hexe","FEMALE","false","1","10","183",,"5","5","0","0.3290074501321798","6.420179582111571E-7"
"gretchen","Margarete (Gretchen)","FEMALE","false","11","96","2697",,"9","25","0.033535165346995806","0.34557617064243346","6.694537168387527E-7"
"marthe","Marthe","FEMALE","false","4","40","578",,"5","13","0","0.335909704330757","6.432252698388337E-7"
"lieschen","Lieschen","FEMALE","false","1","7","183",,"1","1","0","0.22658060244952002","2.7076829108670833E-8"
"valentin","Valentin","MALE","false","1","11","518",,"5","5","0","0.335909704330757","6.432252698388337E-7"
"volk","Volk","UNKNOWN","true","1","2","8",,"5","5","0","0.335909704330757","6.432252698388337E-7"
"boeser_geist","Böser Geist","UNKNOWN","false","1","4","123",,"2","2","0","0.22765444416729028","2.8218124883847376E-8"
"chor_im_dom","Chor im Dom","UNKNOWN","true","1","4","36",,"2","2","0","0.22765444416729028","2.8218124883847376E-8"
"irrlicht","Irrlicht","UNKNOWN","false","1","2","260",,"24","24","0","0.3782290371598287","0.000005087351505730054"
