id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"arsene_porcia","Arsene/Porcia","FEMALE","false","13","48","2707","Q255448","7","21","0.1388888888888889","0.8181818181818182","0.3967897203109257"
"phoenice","Phönice","FEMALE","false","3","9","289",,"2","4","0","0.5294117647058824","0.12856434216348123"
"cato","Cato","MALE","false","15","75","5181","Q193506","8","24","0.21296296296296297","0.9","0.42738836884938175"
"phokas","Phokas","MALE","false","8","16","703",,"6","15","0.09722222222222221","0.75","0.33417799059116243"
"artabanus","Artabanus","MALE","false","4","9","325",,"3","9","0","0.6","0.20576516161506375"
"pharnaces","Pharnaces","MALE","false","7","28","1620","Q313052","5","8","0.05092592592592592","0.6923076923076923","0.2967931249971944"
"felix","Felix","MALE","false","3","10","306",,"2","3","0","0.5294117647058824","0.12737027066179227"
"domitius","Domitius","MALE","false","5","17","625",,"5","8","0.006944444444444444","0.6923076923076923","0.33316707020822284"
"porcius","Porcius","MALE","false","10","29","868","Q1359509","7","20","0.06944444444444443","0.8181818181818182","0.40833700052085387"
"caesar","Cäsar","MALE","false","6","32","1751","Q1048","5","10","0.006944444444444444","0.6923076923076923","0.3275749246543999"
