id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"sylva","Sylva","FEMALE","false","20","100","1473",,"7","35","0.02727272727272727","0.7333333333333333","0.28001644456256797"
"malstroem","Malström","MALE","false","19","93","2059",,"9","43","0.03515151515151515","0.8461538461538461","0.35497787129563657"
"monaldeschi","Monaldeschi","MALE","false","29","209","7534",,"10","46","0.08666666666666666","0.9166666666666666","0.3705542634954393"
"brahe","Brahe","MALE","false","22","148","3468",,"11","47","0.17757575757575753","1","0.38184118308546094"
"schnure","Schnure","MALE","false","10","48","848",,"6","24","0.00303030303030303","0.6875","0.26775616537272884"
"santinelli","Santinelli","MALE","false","13","66","1671",,"7","19","0.010303030303030302","0.7333333333333333","0.2964634105406051"
"christine","Christine","FEMALE","false","32","226","6565",,"10","42","0.10787878787878788","0.9166666666666666","0.3662647908856582"
"ein_diener_1-1_und_1-2","Ein Diener (I/1–2)","MALE","false","2","2","14",,"3","5","0","0.5789473684210527","0.1348385789593819"
"diener_1-8","Diener (I/8)","MALE","false","1","1","3",,"2","2","0","0.55","0.09770654901916678"
"alle_viele_stimmen_einzelne_stimmen","Alle/Viele Stimmen/Einzelne Stimmen (II/8–10)","MALE","true","3","6","55",,"6","10","0.0036363636363636364","0.6875","0.26076940689449013"
"rosenhane","Rosenhane","MALE","false","2","2","122",,"5","7","0","0.6470588235294118","0.22652257211805996"
"prior","Der Prior","MALE","false","7","22","258",,"6","14","0.00303030303030303","0.6875","0.26775616537272884"
