id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"zenger","Zenger","MALE","false","4","21","281",,"18","30","0.01726585692719533","0.574468085106383","0.14313607954848026"
"walther_von_merheim","Walther von Merheim","MALE","false","2","21","443",,"12","14","0.004725742233449719","0.5094339622641509","0.08998287180598691"
"kuechmeister","Küchmeister","MALE","false","6","70","1110",,"25","40","0.08441732138497332","0.6506024096385542","0.17438246585707445"
"rode","Heinrich von Rode","MALE","false","1","6","292",,"3","3","0","0.40298507462686567","0.021307650708280758"
"rominta","Rominta","FEMALE","false","6","73","1345",,"31","45","0.08583216636954287","0.7012987012987013","0.21600748278007925"
"jolante","Jolante","FEMALE","false","3","28","616",,"17","21","0.014139472996915344","0.574468085106383","0.15591430328904882"
"wirsberg","Georg von Wirsberg","MALE","false","6","80","1996",,"25","35","0.0445885636919652","0.627906976744186","0.18902256857419528"
"erster_soldat_1-2","Erster Soldat (I/2)","MALE","false","1","4","32",,"13","13","0","0.5510204081632653","0.1348997433531425"
"zweiter_soldat_1-2","Zweiter Soldat (I/2)","MALE","false","1","3","35",,"13","13","0","0.5510204081632653","0.1348997433531425"
"hermann_gans","Hermann Gans","MALE","false","6","22","319",,"33","57","0.05518670880029694","0.7012987012987013","0.2588209216467504"
"graf_von_kyburg","Graf von Kyburg","MALE","false","5","21","311",,"33","52","0.05518670880029694","0.7012987012987013","0.25882092164675047"
"schoenfeld","Johann von Schönfeld","MALE","false","7","54","817",,"36","61","0.0923439675539301","0.7297297297297297","0.2685620251212269"
"graf_schwarzburg","Graf von Schwarzburg","MALE","false","8","53","1317",,"40","61","0.12701738684283623","0.7941176470588235","0.2780459779761574"
"bauer_1-2","Bauer (I/2)","MALE","false","1","5","163",,"13","13","0","0.5510204081632653","0.1348997433531425"
"ritter_1-2","Ritter (I/2)","MALE","false","1","2","83",,"13","13","0","0.5510204081632653","0.1348997433531425"
"heinrich_von_plauen","Heinrich von Plauen","MALE","false","9","117","3816",,"41","69","0.1410402147021421","0.8059701492537313","0.2802497726863117"
"ein_hauptmann_1-2","Ein Hauptmann (I/2)","MALE","false","1","1","29",,"13","13","0","0.5510204081632653","0.13489974335314253"
"gesang_1-2","Gesang (I/2)","MALE","true","1","2","35",,"13","13","0","0.5510204081632653","0.1348997433531425"
"soldat_2-1","Soldat (II/1)","MALE","false","1","5","117",,"12","12","0","0.5346534653465347","0.12361929204970575"
"baysen","Hanns von Baysen","MALE","false","4","30","753",,"19","28","0.012457845163948641","0.5806451612903226","0.1642075168209995"
"mehrere_soeldner","Mehrere Söldner","MALE","true","1","3","8",,"12","12","0","0.5346534653465347","0.12361929204970575"
"czervany","Czervany","MALE","false","3","22","451",,"21","26","0.015685103743125692","0.6136363636363636","0.18050850984923017"
"langschenkel","Langschenkel","MALE","false","3","21","400",,"21","26","0.015685103743125692","0.6136363636363636","0.18050850984923017"
"burgemeister","Der Burgemeister von Marienburg","MALE","false","1","3","80",,"12","12","0","0.5346534653465347","0.12361929204970575"
"ein_ritter_2-1","Ein Ritter (II/1)","MALE","false","1","1","7",,"12","12","0","0.5346534653465347","0.12361929204970575"
"herold","Herold","MALE","false","1","3","96",,"12","12","0","0.5346534653465347","0.12361929204970575"
"wuttke","Wuttke","MALE","false","2","12","289",,"13","14","0.004563640355661566","0.5625","0.11037106906082945"
"kuntz","Kuntz","MALE","false","1","4","95",,"4","4","0","0.5046728971962616","0.04435101493593262"
"kinthenau","Friedrich von Kinthenau","MALE","false","3","37","1153",,"17","21","0.050583063308121894","0.5934065934065934","0.10813958442024113"
"polkau","Hanns von Polkau","MALE","false","2","9","178",,"14","14","0.01020345626338967","0.5625","0.10913575255358243"
"hauptmann_2-4","Hauptmann (II/4)","MALE","false","1","6","77",,"10","10","0","0.5142857142857142","0.08543000690407888"
"erster_soldat_2-4","Erster Soldat (II/4)","MALE","false","1","2","9",,"10","10","0","0.5142857142857142","0.08543000690407888"
"zweiter_soldat_2-4","Zweiter Soldat (II/4)","MALE","false","1","2","23",,"10","10","0","0.5142857142857142","0.08543000690407888"
"schaeven","Schäven","MALE","false","3","26","378",,"12","21","0.002118938718863876","0.54","0.11573139348155469"
"hohenkirch","Jost von Hohenkirch","MALE","false","4","20","316",,"12","19","0.002118938718863876","0.54","0.11573139348155469"
"koenig","König","MALE","false","2","12","140",,"15","19","0.003033479448573788","0.5294117647058824","0.11433560358281054"
"graf_sayn","Graf von Sayn","MALE","false","4","25","556",,"12","26","0.002118938718863876","0.54","0.11573139348155469"
"gertrud","Gertrud","FEMALE","false","2","35","1147",,"14","15","0.007906193488730557","0.5567010309278351","0.1073812203046137"
"elsbeth","Elsbeth","FEMALE","false","2","18","293",,"14","15","0.007906193488730557","0.5567010309278351","0.1073812203046137"
"dietrich","Dietrich","MALE","false","2","12","272",,"9","10","0.002982088234744925","0.5242718446601942","0.0732876751730809"
"renys","Nikolaus von Renys","MALE","false","2","32","477",,"10","11","0.02768535913190001","0.5510204081632653","0.06655819657609288"
"burgwart","Burgwart","MALE","false","1","3","46",,"3","3","0","0.38028169014084506","0.009638811060682751"
"ein_diener_4-1","Ein Diener (IV/1)","MALE","false","1","9","226",,"3","3","0","0.38028169014084506","0.009638811060682751"
"erste_stimme","Erste Stimme","FEMALE","false","1","3","44",,"4","4","0","0.43548387096774194","0.030948859957498444"
"zweite_stimme","Zweite Stimme","FEMALE","false","1","3","49",,"4","4","0","0.43548387096774194","0.030948859957498444"
"ein_diener_4-3","Ein Diener (IV/3)","MALE","false","1","5","40",,"5","5","0","0.46956521739130436","0.04131495152483424"
"erster_diener_4-4","Erster Diener (IV/4)","MALE","false","1","1","7",,"8","8","0","0.54","0.0656002448413057"
"zweiter_diener_4-4","Zweiter Diener (IV/4)","MALE","false","1","1","6",,"8","8","0","0.54","0.0656002448413057"
"dritter_diener_4-4","Dritter Diener (IV/4)","MALE","false","1","1","3",,"8","8","0","0.54","0.0656002448413057"
"erster_reisiger","Erster Reisiger","MALE","false","1","2","29",,"6","6","0","0.4864864864864865","0.057193089636443636"
"zweiter_reisiger","Zweiter Reisiger","MALE","false","1","1","11",,"6","6","0","0.4864864864864865","0.05719308963644362"
"erster_bauer_5-3","Erster Bauer (V/3)","MALE","false","1","4","61",,"11","11","0","0.5046728971962616","0.08892407555205495"
"zweiter_bauer_5-3","Zweiter Bauer (V/3)","MALE","false","1","1","18",,"11","11","0","0.5046728971962616","0.08892407555205496"
"mehrere_bauern","Mehrere Bauern","MALE","true","1","2","10",,"11","11","0","0.5046728971962616","0.08892407555205495"
"schlosswart","Schlosswart","MALE","false","1","3","37",,"3","3","0","0.46153846153846156","0.037778326686488096"
