id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"geisterstimmen-geisterchor","Geisterstimmen/Geisterchor","UNKNOWN","true","3","5","103",,"5","6","0.0008048289738430583","0.352112676056338","0.10781955127148449"
"faust","Faust","MALE","false","27","125","2744","Q76918","38","62","0.35853853278400566","0.5917449139280124","0.46331594128248077"
"guttenberg","Guttenberg","MALE","false","5","38","448",,"10","14","0.003845293986139057","0.3672899465760078","0.19141008735490442"
"geisterstimme","Geisterstimme","UNKNOWN","false","1","1","2",,"3","3","0","0.3435938209904589","0.07692672163298105"
"furien","Furien","FEMALE","true","1","3","18",,"6","6","0","0.352112676056338","0.09431097387334733"
"wandrer","Wandrer","MALE","false","1","4","37",,"6","6","0","0.352112676056338","0.09431097387334733"
"weibliche_stimme","Weibliche Stimme","FEMALE","false","1","3","20",,"6","6","0","0.352112676056338","0.09431097387334733"
"plutus","Plutus","MALE","false","1","1","68",,"6","6","0","0.352112676056338","0.09431097387334733"
"amor","Amor","MALE","false","1","2","80",,"6","6","0","0.352112676056338","0.09431097387334733"
"ruhm","Ruhm","UNKNOWN","false","1","1","52",,"6","6","0","0.352112676056338","0.09431097387334733"
"moench_1-5","Mönch (I/5)","MALE","false","1","2","53",,"4","4","0","0.34638726668956826","0.07151220438223461"
"einer_der_maenner","Einer der Männer","MALE","false","1","1","7",,"4","4","0","0.34638726668956826","0.07151220438223461"
"maenner_1-5_bis_1-6","Männer (I/5–6)","MALE","true","2","4","31",,"4","5","0","0.34638726668956826","0.07151220438223461"
"fausts_vater","Fausts Vater","MALE","false","3","8","93",,"6","7","0.0012072434607645875","0.352112676056338","0.10253327183721461"
"seraphina","Seraphina","FEMALE","false","13","36","562",,"10","21","0.008045095972661363","0.3838345387641162","0.15949246623400867"
"leviathan","Leviathan","MALE","false","13","56","1147",,"12","24","0.047691226725431954","0.4347513653348663","0.17762864520144514"
"unterirdisch_lachender_chor","Unterirdisch lachender Chor","UNKNOWN","true","1","1","4",,"1","1","0","0.2803002223869533","0.017919518134543396"
"erster_kuenstler","Erster Künstler","MALE","false","4","11","208",,"8","13","0.0007712944332662643","0.361064693244211","0.16926092662949233"
"zweiter_kuenstler","Zweiter Künstler","MALE","false","4","9","122",,"8","13","0.0007712944332662643","0.361064693244211","0.16926092662949233"
"dritter_kuenstler","Dritter Künstler","MALE","false","2","1","48",,"7","10","0","0.35803053615812525","0.15986511269892234"
"erster_gelehrter","Erster Gelehrter","MALE","false","2","5","169",,"10","11","0.01320670052058382","0.42183795844373173","0.2157845470181317"
"zweiter_gelehrter","Zweiter Gelehrter","MALE","false","2","5","183",,"10","11","0.01320670052058382","0.42183795844373173","0.2157845470181317"
"dritter_gelehrter","Dritter Gelehrter","MALE","false","1","2","90",,"7","7","0","0.35803053615812525","0.15986511269892234"
"volk","Volk","UNKNOWN","true","6","18","153",,"14","19","0.03800038325189231","0.43923333817337007","0.20278757344411014"
"erster_buerger_2-9","Erster Bürger (II/9)","MALE","false","1","2","35",,"3","3","0","0.361064693244211","0.07473756882324854"
"andrer_buerger_2-9","Andrer Bürger (II/9)","MALE","false","1","1","31",,"3","3","0","0.361064693244211","0.07473756882324854"
"robertus","Doktor Robertus","MALE","false","12","50","903",,"24","35","0.20402302705119607","0.4954143465443826","0.3030782434866189"
"kerkermeister","Kerkermeister","MALE","false","1","3","19",,"2","2","0","0.3908773743377697","0.07731571805194569"
"soldaten","Soldaten","MALE","true","2","3","15",,"6","7","0","0.3252338458230298","0.0955965508489267"
"die_priester","Die Priester","MALE","true","1","1","21",,"6","6","0","0.3252338458230298","0.0955965508489267"
"richter","Richter","MALE","true","1","1","6",,"6","6","0","0.3252338458230298","0.0955965508489267"
"machiavelli","Machiavelli","MALE","false","2","5","72",,"9","10","0.01639934847178308","0.4177022921844794","0.15493716817356867"
"einige_stimmen","Einige Stimmen","UNKNOWN","true","1","1","4",,"6","6","0","0.3252338458230298","0.0955965508489267"
"einzelne_stimmen","Einzelne Stimmen","UNKNOWN","true","1","1","8",,"4","4","0","0.3641507162633923","0.09212191367440915"
"brutus_geist","Brutus Geist","MALE","false","1","1","31",,"4","4","0","0.3641507162633923","0.09212191367440915"
"aurelia","Aurelia","FEMALE","false","10","43","657",,"12","23","0.035138928810961007","0.4347513653348663","0.2116732976653561"
"ildephonse","Ildephonse","MALE","false","1","6","75",,"1","1","0","0.014084507042253521","2.2533823288007515E-24"
"erzbischof","Erzbischof","MALE","false","1","6","53",,"1","1","0","0.014084507042253521","2.2533823288007515E-24"
"clara","Clara","FEMALE","false","6","14","303",,"7","10","0.004292421193829645","0.10371318822023048","2.8262941206319642E-9"
"cinthio","Cinthio","MALE","false","4","21","574",,"6","9","0.0010731052984574113","0.09507042253521127","2.7352694779345614E-9"
"die_anwesenden","Die Anwesenden","UNKNOWN","true","1","1","2",,"2","2","0","0.3435938209904589","0.06465957795695745"
"pabsts_gestalt","Pabsts Gestalt","MALE","false","1","1","0",,"2","2","0","0.3435938209904589","0.06465957795695745"
"priorin","Priorin","FEMALE","false","1","2","2",,"1","1","0","0.060044477390659746","5.547605750383539E-10"
"die_nonne","Die Nonne","FEMALE","false","1","2","0",,"2","2","0","0.3408450704225352","0.06282988703494391"
"jagdchor","Jagdchor","MALE","true","2","1","26",,"4","6","0","0.3252338458230298","0.09546725589771221"
"buerger_4-3-8","Bürger (IV/3/8)","MALE","false","1","1","13",,"2","2","0","0.3087364768320065","0.05192978320771778"
"anderer_buerger_4-3-9","Anderer Bürger (IV/3/9)","MALE","false","1","1","30",,"2","2","0","0.3087364768320065","0.05192978320771778"
"maedchenchor","Mädchenchor","FEMALE","true","1","1","52",,"0","0","0","0","1.0493129160258693E-33"
"das_maedchen","Das Mädchen","FEMALE","false","1","1","6",,"5","5","0","0.352112676056338","0.10115965508131002"
"ein_anderes_maedchen","Ein anderes","FEMALE","false","1","1","5",,"5","5","0","0.352112676056338","0.10115965508131002"
"noch_ein_anderes_maedchen","Noch ein anderes","FEMALE","false","1","1","3",,"5","5","0","0.352112676056338","0.10115965508131002"
"unterirdische_stimmen","Unterirdische Stimmen","UNKNOWN","true","1","1","1",,"2","2","0","0.3435938209904589","0.06465957795695745"
"einer_davon","Einer davon","MALE","false","1","1","5",,"7","7","0","0.31795249106579776","0.07746932104228062"
"ein_anderer_5-2-1a","Ein anderer (V/2/1)","MALE","false","1","1","6",,"7","7","0","0.31795249106579776","0.07746932104228063"
"ein_anderer_5-2-1b","Ein anderer (V/2/1)","MALE","false","1","1","7",,"7","7","0","0.31795249106579776","0.07746932104228062"
"ein_anderer_5-2-1c","Ein anderer (V/2/1)","MALE","false","1","1","22",,"7","7","0","0.31795249106579776","0.07746932104228062"
