id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"der_jaeger","Der Jäger","MALE","false","7","7","2554",,"2","2","0","0.2857142857142857","0"
"curio","Curio","MALE","false","6","58","708",,"21","48","0.007872080028826028","0.5254237288135594","0"
"selinus","Selinus","MALE","false","5","30","383",,"17","43","0.001394084949336058","0.5166666666666667","0"
"sicamber","Sicamber","MALE","false","3","14","136",,"15","28","0.0010115510458367262","0.5102880658436214","0"
"arzt","Arzt","MALE","false","4","49","794",,"18","31","0.007090264223775007","0.5145228215767634","0"
"hanswurst","Hanswurst","MALE","false","7","139","3433",,"23","57","0.010656862589208657","0.5462555066079295","0"
"leander","Leander","MALE","false","10","65","874",,"23","69","0.010656862589208657","0.5462555066079295","0"
"zerbino","Zerbino","MALE","false","11","175","2857",,"41","70","0.1911791468053955","0.5933014354066986","0"
"nestor","Nestor","MALE","false","13","202","5067",,"70","94","0.5354210973463644","0.6888888888888889","0"
"der_general","Der General","MALE","false","1","4","15",,"8","8","0","0.3668639053254438","0"
"ein_kapitaen","Ein Kapitän","MALE","false","1","1","15",,"8","8","0","0.3668639053254438","0"
"erster_buerger","Erster Bürger","MALE","false","1","11","131",,"8","8","0","0.3668639053254438","0"
"zweiter_buerger","Zweiter Bürger","MALE","false","1","5","30",,"8","8","0","0.3668639053254438","0"
"dritter_buerger","Dritter Bürger","MALE","false","1","6","86",,"8","8","0","0.3668639053254438","0"
"vierter_buerger","Vierter Bürger","MALE","false","1","5","37",,"8","8","0","0.3668639053254438","0"
"gottlieb","Gottlieb","MALE","false","10","150","2388",,"28","57","0.14393911870029336","0.5585585585585585","0"
"soldat_1-2","Soldat (I/2)","MALE","false","1","2","2",,"8","8","0","0.3668639053254438","0"
"bauer_1-2","Bauer (I/2)","MALE","false","1","8","71",,"8","8","0","0.3668639053254438","0"
"fremder_doktor","Fremder Doktor","MALE","false","1","4","172",,"9","9","0","0.4025974025974026","0"
"hinzenfeld","Hinze von Hinzenfeld","MALE","false","5","58","941",,"22","39","0.010016223107821118","0.5391304347826087","0"
"dorus","Dorus","MALE","false","7","56","1769",,"14","23","0.017571014966178623","0.3974358974358974","0"
"lila","Lila","FEMALE","false","5","49","1558",,"11","18","0.007633658641494794","0.39365079365079364","0"
"alter_koenig","Alter König","MALE","false","4","72","1977",,"15","30","0.000336298519757584","0.512396694214876","0"
"lysippus","Lysippus","MALE","false","5","107","1179",,"39","50","0.11490961875122871","0.5904761904761905","0"
"sappi","Sappi","MALE","false","1","17","266",,"12","12","0","0.3887147335423197","0"
"die_ganze_gesellschaft","Die ganze Gesellschaft","UNKNOWN","true","1","5","45",,"12","12","0","0.3887147335423197","0"
"simonides","Simonides","MALE","false","4","57","481",,"23","31","0.014817912493151677","0.5462555066079295","0"
"erster_bedienter","Erster Bedienter","MALE","false","1","3","52",,"12","12","0","0.3887147335423197","0"
"zweiter_bedienter","Zweiter Bedienter","MALE","false","1","2","27",,"12","12","0","0.3887147335423197","0"
"dritter_bedienter","Dritter Bedienter","MALE","false","1","3","31",,"12","12","0","0.3887147335423197","0"
"stallmeister","Stallmeister","MALE","false","9","104","1701",,"22","36","0.02518290464536758","0.543859649122807","0"
