id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"jarl","Jarl","MALE","false","7","53","1977",,"12","20","0.03467879744490388","0.6","0.18132213144460915"
"erichson","Erichson","MALE","false","9","80","2061",,"14","32","0.05702553075102096","0.6206896551724138","0.1966630036110221"
"der_trabant_1-1","Der Trabant (I/1)","MALE","false","1","2","24",,"2","2","0","0.3956043956043956","0.026740278880634495"
"irma","Irma","FEMALE","false","15","109","2910",,"17","57","0.024457117734428647","0.6545454545454545","0.2552370070004262"
"asla","Asla","FEMALE","false","15","69","1938",,"19","65","0.035359151948787804","0.6792452830188679","0.27741892217817876"
"noes","Nös","MALE","false","5","17","325",,"17","34","0.025482310769425615","0.6545454545454545","0.2522796714720342"
"egroesund","Egrösund","MALE","false","2","7","102",,"8","14","0","0.4864864864864865","0.14136280189460879"
"ourdal","Ourdal","MALE","false","6","29","623",,"18","38","0.049191364968675884","0.6666666666666666","0.26088659882257775"
"bioerneland","Biörneland","MALE","false","5","9","190",,"19","37","0.03538293768685926","0.6792452830188679","0.27645138518904633"
"yngurd","Yngurd","MALE","false","23","146","5313",,"23","78","0.09197290856254442","0.7346938775510204","0.2979652641582658"
"droll","Droll","MALE","false","3","19","311",,"6","8","0.0017944357230071516","0.5","0.06600538047622088"
"knaut","Knaut","MALE","false","3","15","314",,"6","8","0.0017944357230071516","0.5","0.06600538047622088"
"ein_daenischer_ritter_2-2_und_2-3","Ein dänischer Ritter (II/2–3)","MALE","false","2","19","239",,"6","6","0.003968253968253968","0.48","0.048706338330283684"
"alf","Alf","MALE","false","14","70","1309",,"27","50","0.2760291941174294","0.8","0.2723885424970746"
"gyldenbrog","Gyldenbrog","MALE","false","5","14","180",,"16","24","0.06447483085438266","0.631578947368421","0.2016961889087992"
"der_ostlaender","Der Ostländer","MALE","false","2","9","171",,"5","7","0.001058201058201058","0.47368421052631576","0.04239837703304617"
"eine_andere_stimme","Eine andere Stimme","UNKNOWN","false","1","1","3",,"4","4","0","0.4675324675324675","0.03998424069410042"
"der_knapp_2-4","Der Knapp (II/4)","MALE","false","1","3","75",,"3","3","0","0.46153846153846156","0.03653846886840149"
"stimmen-andere_stimmen-noch_andere","Stimmen/Andere Stimmen/Noch andere (II/5)","UNKNOWN","true","1","3","13",,"5","5","0","0.4931506849315068","0.06278728211642992"
"oskar","Oskar","MALE","false","10","69","3260",,"16","30","0.032405777125665086","0.631578947368421","0.22762257396471247"
"brunhilde","Brunhilde","FEMALE","false","10","32","1436",,"23","42","0.15268784592314003","0.7346938775510204","0.2554971807013811"
"der_krieger","Ein dänischer Krieger","MALE","false","1","4","52",,"3","3","0","0.48","0.040188203162715"
"einer_aus_dem_gefolge","Einer aus dem Gefolge","MALE","false","1","1","1",,"3","3","0","0.48","0.040188203162715"
"ein_daenischer_ritter_2-7","Ein dänischer Ritter (II/7)","MALE","false","1","1","13",,"2","2","0","0.47368421052631576","0.03734508052709061"
"alle_2-8","Alle (II/8)","UNKNOWN","true","1","1","1",,"5","5","0","0.5217391304347826","0.08879636465934401"
"ein_knappe_3-1","Ein Knappe (III/1)","MALE","false","1","1","9",,"2","2","0","0.4186046511627907","0.032369008479035996"
"fluechtlinge-stimmen","Flüchtlinge","UNKNOWN","true","2","7","44",,"9","11","0.0018502249384602328","0.4864864864864865","0.13964432497899112"
"bioernelands_heerhaufe","Biörnelands Heerhaufe","MALE","true","1","1","3",,"8","8","0","0.4675324675324675","0.12665077008943074"
"kurl","Kurl","MALE","false","3","16","170",,"13","20","0.008923165225686232","0.5625","0.20092951492879693"
"marduff","Marduff","MALE","false","14","51","1355",,"14","38","0.015749229761834804","0.6101694915254238","0.21892636983284322"
"ein_knapp_3-4","Ein Knapp (III/4)","MALE","false","1","2","36",,"8","8","0","0.4675324675324675","0.12665077008943074"
"das_volk","Das Volk (IV/6)","UNKNOWN","true","1","1","1",,"9","9","0","0.5625","0.16426453161069346"
"trabant_5-7","Trabant (V/7)","MALE","false","1","1","1",,"3","3","0","0.48","0.057210914743197075"
"der_trabant_5-10_und_5-11","Trabant (V/10–11)","MALE","false","2","3","44",,"7","12","0","0.5142857142857142","0.12499523833107898"
"eine_stimme_5-15","Eine Stimme (V/15)","UNKNOWN","false","1","1","3",,"3","3","0","0.5070422535211268","0.05461828702240619"
"ein_daenischer_ritter_5-16","Ein dänischer Ritter (V/16)","MALE","false","1","1","38",,"3","3","0","0.4931506849315068","0.05017258690581578"
"alle-allgemeiner_ruf_5-17","Alle/Allgemeiner Ruf (V/17)","MALE","true","1","2","16",,"6","6","0","0.5454545454545454","0.11035073947436673"
