id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"madame_welldorf","Madame Welldorf","FEMALE","false","24","154","2875",,"9","42","0.2462962962962963","0.9090909090909091","0.4290882607784906"
"sophie","Sophie","FEMALE","false","2","10","144",,"2","3","0","0.5263157894736842","0.1083865547389118"
"luise","Luise","FEMALE","false","20","140","2993",,"9","43","0.20185185185185187","0.9090909090909091","0.433779597702218"
"eduard","Eduard","MALE","false","18","132","2962",,"8","34","0.12407407407407407","0.8333333333333334","0.40287696532714723"
"der_arzt","Der Arzt","MALE","false","3","11","305",,"4","6","0.02962962962962963","0.625","0.21435817754987058"
"von_brink","von Brink","MALE","false","12","119","3377",,"5","20","0.014814814814814815","0.6666666666666666","0.3013056116193739"
"welldorf","Welldorf","MALE","false","2","34","922",,"4","7","0","0.625","0.26519736317371406"
"der_bediente","Der Bediente","MALE","false","1","2","46",,"2","2","0","0.5263157894736842","0.14093094308603904"
"der_oberst","Der Oberst","MALE","false","7","44","1167",,"5","11","0.005555555555555556","0.6666666666666666","0.3086343815876677"
"sergeant","Sergeant","MALE","false","1","3","15",,"4","4","0","0.625","0.25639830061134317"
"wache","Wache","MALE","false","1","1","3",,"4","4","0","0.625","0.25639830061134317"
