id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"don_juan","Don Juan","MALE","false","25","203","7076",,"13","53","0.24666999666999667","0.9333333333333333","0.36328668531458014"
"leporello","Leporello","MALE","false","8","35","788",,"9","19","0.03330003330003329","0.7368421052631579","0.3166837892188052"
"der_alte_fischer","Der alte Fischer","MALE","false","4","11","433",,"8","15","0.012987012987012988","0.7","0.29199855502626554"
"prozession","Prozession","UNKNOWN","true","1","1","12",,"3","3","0","0.5384615384615384","0.11392156150498486"
"ghita","Ghita","FEMALE","false","8","78","2547",,"8","18","0.031385281385281384","0.7","0.27290169457222135"
"der_moench","Der Mönch","MALE","false","3","20","286",,"7","10","0","0.6666666666666666","0.27537539633426555"
"erster_strolch","Erster Strolch","MALE","false","2","7","61",,"3","5","0","0.56","0.09806541965855116"
"zweiter_strolch","Zweiter Strolch","MALE","false","2","4","41",,"3","5","0","0.56","0.09806541965855116"
"gianotto","Gianotto","MALE","false","15","109","2466",,"12","41","0.15775890775890777","0.875","0.3588930260632815"
"wirth","Wirth","MALE","false","5","17","583",,"9","19","0.01923076923076923","0.7368421052631579","0.32132513422631376"
"biondetta","Biondetta","FEMALE","false","6","39","697",,"4","14","0","0.5833333333333334","0.15738428718988873"
"martina","Martina","FEMALE","false","8","33","1082",,"9","24","0.021312021312021312","0.7368421052631579","0.3211413851519665"
"graefin","Gräfin","FEMALE","false","8","53","1117",,"10","19","0.07076257076257077","0.7777777777777778","0.32999264033642633"
"diener","Diener","MALE","false","2","3","26",,"2","3","0","0.5384615384615384","0.08288563418790716"
"stimmen","Stimmen","UNKNOWN","true","1","1","6",,"4","4","0","0.56","0.15566459632426294"
