id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"rosa","Rosa","FEMALE","false","19","98","1684",,"9","46","0.08888888888888889","0.9090909090909091","0.3360583886275292"
"meissner","Meißner","MALE","false","2","8","72",,"2","3","0","0.5263157894736842","0.08286231584085756"
"gollwitz","Gollwitz","MALE","false","26","262","2771",,"9","65","0.08888888888888889","0.9090909090909091","0.33605838862752924"
"neumeister","Neumeister","MALE","false","17","160","1526",,"9","49","0.08888888888888889","0.9090909090909091","0.3360583886275292"
"marianne","Marianne","FEMALE","false","14","111","1274",,"8","43","0","0.8333333333333334","0.32696382398034624"
"striese","Striese","MALE","false","16","156","4595",,"8","39","0","0.8333333333333334","0.32696382398034624"
"gross","Groß","MALE","false","5","72","1283",,"8","20","0","0.8333333333333334","0.32696382398034624"
"friederike","Friederike","FEMALE","false","18","175","1783",,"8","51","0","0.8333333333333334","0.32696382398034624"
"paula","Paula","FEMALE","false","16","131","1360",,"8","42","0","0.8333333333333334","0.32696382398034624"
"auguste","Auguste","FEMALE","false","1","2","11",,"2","2","0","0.5263157894736842","0.08286231584085756"
"sterneck","Sterneck","MALE","false","13","110","1568",,"9","34","0.08888888888888889","0.9090909090909091","0.3360583886275292"
