id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"buergermeister","Der Bürgermeister","MALE","false","4","254","3509",,"31","45","0.05424783549783552","0.9428571428571428","0.22938697508427464"
"ein_rat","Ein Rat","MALE","false","1","1","6",,"6","6","0","0.55","0.048080219415657224"
"rat_klemens","Rat Klemens","MALE","false","3","103","1091",,"31","41","0.05424783549783552","0.9428571428571428","0.22938697508427464"
"roland","Roland","MALE","false","5","324","3600",,"33","49","0.09212662337662338","1","0.23214076098308378"
"die_ratsherren_die_raete","Die Ratsherren/Die Räte","MALE","true","2","51","424",,"16","20","0.007575757575757578","0.66","0.1080632502206846"
"femina_frau_kuenkeluen","Femina/Frau Künkelün","FEMALE","false","5","607","8557",,"33","49","0.09212662337662338","1","0.23214076098308378"
"geschrei","Geschrei (Ein Hauptmann und Soldaten)","MALE","true","1","1","16",,"6","6","0","0.55","0.048080219415657224"
"marie","Marie","FEMALE","false","4","190","2329",,"31","43","0.06655844155844157","0.9428571428571428","0.22803934422534863"
"hellebardier","Hellebardier","MALE","false","2","10","59",,"14","18","0","0.6346153846153846","0.10396183346294947"
"weib_3a","Weib (III. Aufzug)","FEMALE","false","1","13","420",,"14","14","0","0.6346153846153846","0.10396183346294947"
"der_haufen_die_weiber_alle_weiber","Der Haufen/Die Weiber/Alle Weiber","FEMALE","true","2","33","212",,"29","35","0.03246753246753246","0.8918918918918919","0.22528555832653946"
"ein_weib_3b","Ein Weib (III. Aufzug)","FEMALE","false","1","1","27",,"14","14","0","0.6346153846153846","0.10396183346294947"
"ein_weib_3c","Ein Weib (III. Aufzug)","FEMALE","false","1","1","8",,"14","14","0","0.6346153846153846","0.10396183346294946"
"ein_weib_3d","Ein Weib (III. Aufzug)","FEMALE","false","1","1","5",,"14","14","0","0.6346153846153846","0.10396183346294947"
"frau_klemens","Frau Klemens","FEMALE","false","2","5","26",,"29","35","0.03246753246753246","0.8918918918918919","0.22528555832653946"
"die_angeflogenen","Die Angeflogenen","MALE","true","1","1","6",,"14","14","0","0.6346153846153846","0.10396183346294947"
"stimme_3","Stimme (III. Aufzug)","MALE","false","1","1","6",,"14","14","0","0.6346153846153846","0.10396183346294947"
"erste","Erste (Frau)","FEMALE","false","1","23","300",,"4","4","0","0.532258064516129","0.03228229357367326"
"zweite","Zweite (Frau)","FEMALE","false","1","16","135",,"4","4","0","0.532258064516129","0.03228229357367326"
"erstes_weib_5a","Erstes Weib","FEMALE","false","1","6","50",,"21","21","0","0.7333333333333333","0.18963713484548336"
"anderes_weib_5a","Anderes Weib/Zweites Weib","FEMALE","false","1","6","96",,"21","21","0","0.7333333333333333","0.1896371348454834"
"drittes_weib_5a","Drittes Weib","FEMALE","false","1","6","48",,"21","21","0","0.7333333333333333","0.18963713484548336"
"viertes_weib_5a","Viertes Weib","FEMALE","false","1","6","59",,"21","21","0","0.7333333333333333","0.18963713484548336"
"neues_weib_im_hosenrock","Neues Weib/Weib (im Hosenrock)","FEMALE","false","1","15","224",,"21","21","0","0.7333333333333333","0.18963713484548336"
"erstes_weib_5b","Erstes Weib","FEMALE","false","1","4","19",,"21","21","0","0.7333333333333333","0.1896371348454834"
"anderes_weib_5b","Anderes Weib","FEMALE","false","1","4","22",,"21","21","0","0.7333333333333333","0.18963713484548336"
"drittes_weib_5b","Drittes Weib","FEMALE","false","1","4","40",,"21","21","0","0.7333333333333333","0.18963713484548336"
"viertes_weib_5b","Viertes Weib","FEMALE","false","1","4","38",,"21","21","0","0.7333333333333333","0.18963713484548336"
"weib","Weib (V. Aufzug)","FEMALE","false","1","1","9",,"21","21","0","0.7333333333333333","0.18963713484548336"
"franzose","Franzose","MALE","false","1","9","146",,"21","21","0","0.7333333333333333","0.18963713484548336"
"die_franzosen","Die Franzosen","MALE","true","1","5","15",,"21","21","0","0.7333333333333333","0.18963713484548336"
"melak","Melak","MALE","false","1","17","159",,"21","21","0","0.7333333333333333","0.18963713484548336"
"ein_weib","Ein Weib (V. Aufzug)","FEMALE","false","1","1","10",,"21","21","0","0.7333333333333333","0.18963713484548336"
"alle_maenner","Alle Männer","MALE","true","1","3","11",,"21","21","0","0.7333333333333333","0.18963713484548336"
