id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kilian","Kilian","MALE","false","3","64","1495",,"22","30","0.08614718614718615","1","0.27246072295698204"
"doctor","Doctor","MALE","false","3","259","5384",,"22","30","0.08614718614718615","1","0.27246072295698204"
"schlaukopf","Schlaukopf","MALE","false","3","167","2843",,"22","30","0.08614718614718615","1","0.2724607229569821"
"chor_der_sklaven","Chor der Sklaven","MALE","true","2","15","345",,"16","20","0.009523809523809526","0.7857142857142857","0.23269928355108052"
"germania","Germania","FEMALE","false","3","32","716",,"22","30","0.08614718614718615","1","0.27246072295698204"
"der_dichter","Der Dichter","MALE","false","2","2","3164",,"11","15","0.005194805194805196","0.6666666666666666","0.12559601042588592"
"erstes_frauenzimmer","Erstes Frauenzimmer","FEMALE","false","1","3","24",,"10","10","0","0.6470588235294118","0.11180341781434842"
"zweites_frauenzimmer","Zweites Frauenzimmer","FEMALE","false","1","2","15",,"10","10","0","0.6470588235294118","0.11180341781434844"
"medea","Medea","FEMALE","false","1","5","87",,"10","10","0","0.6470588235294118","0.11180341781434842"
"antigone","Antigone","FEMALE","false","1","5","77",,"10","10","0","0.6470588235294118","0.11180341781434844"
"romantiker","Romantiker","MALE","false","1","10","541",,"10","10","0","0.6470588235294118","0.11180341781434845"
"philosoph","Philosoph","MALE","false","1","50","945",,"10","10","0","0.6470588235294118","0.11180341781434842"
"die_fremde","Die Fremde","FEMALE","false","1","16","762",,"15","15","0","0.7586206896551724","0.22525486130827874"
"erster_gensdarm","Erster Gensd'arm","MALE","false","1","6","96",,"15","15","0","0.7586206896551724","0.22525486130827874"
"zweiter_gensdarm","Zweiter Gensd'arm","MALE","false","1","4","54",,"15","15","0","0.7586206896551724","0.22525486130827874"
"chor_der_moenche","Chor der Mönche","MALE","true","1","1","38",,"15","15","0","0.7586206896551724","0.22525486130827874"
"die_wiedergeborenen","Die Wiedergeborenen","UNKNOWN","true","1","1","23",,"15","15","0","0.7586206896551724","0.22525486130827874"
"chor_der_ritter","Chor der Ritter","MALE","true","1","1","38",,"15","15","0","0.7586206896551724","0.22525486130827874"
"chor_der_gaense","Chor der Gänse","UNKNOWN","true","1","1","55",,"15","15","0","0.7586206896551724","0.22525486130827874"
"chor_der_freisinnigen","Chor der Freisinnigen","MALE","true","1","1","39",,"15","15","0","0.7586206896551724","0.22525486130827874"
"der_kaiser_von_china","Der Kaiser von China","MALE","false","1","1","0",,"15","15","0","0.7586206896551724","0.22525486130827874"
"ein_nachtwaechter","Ein Nachtwächter","MALE","false","1","1","46",,"15","15","0","0.7586206896551724","0.22525486130827874"
"die_kosaken","Die Kosaken","MALE","true","1","1","33",,"15","15","0","0.7586206896551724","0.22525486130827874"
