id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"graf","Graf","MALE","false","27","338","3903",,"11","39","0.3888888888888889","0.9230769230769231","0.3933051610939503"
"balthasar","Balthasar","MALE","false","3","29","174",,"2","4","0","0.5217391304347826","0.0764092868510142"
"bedienter","Bedienter","MALE","false","1","1","7",,"1","1","0","0.5","0.057655637524292806"
"krautmann","Krautmann","MALE","false","4","56","938",,"3","4","0.010606060606060605","0.5714285714285714","0.1279292062896749"
"adolph","Adolph","MALE","false","21","344","4687",,"10","40","0.14924242424242423","0.8571428571428571","0.4029705403801151"
"ernestine","Ernestine","FEMALE","false","9","43","294",,"5","14","0","0.631578947368421","0.2684230526041374"
"frau_wunschel","Frau Wunschel","FEMALE","false","5","40","1737",,"3","6","0","0.5714285714285714","0.16937741910897067"
"amalie","Amalie","FEMALE","false","14","58","682",,"8","28","0.05025252525252525","0.75","0.3591564413607184"
"henriette","Henriette","FEMALE","false","10","95","1126",,"7","21","0.015656565656565657","0.7058823529411765","0.33815383051050174"
"stein","Stein","MALE","false","9","132","1851",,"7","18","0.029545454545454545","0.7058823529411765","0.330641674149501"
"graefin","Gräfin","FEMALE","false","12","130","1599",,"7","24","0.022474747474747477","0.7058823529411765","0.337501452483335"
"jacob","Jacob","MALE","false","2","12","37",,"4","4","0","0.5454545454545454","0.20966614883752183"
"magd","Eine Magd","FEMALE","false","2","3","38",,"4","5","0","0.6","0.21476804127019708"
