id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"marcus","Marcus","MALE","false","6","40","1204",,"11","25","0.012123797255376201","0.6896551724137931","0.23979268841924622"
"lucius","Lucius","MALE","false","7","24","723",,"13","20","0.07903828627512838","0.7407407407407407","0.24263624401593645"
"virginia","Virginia","FEMALE","false","14","56","1395",,"16","51","0.08142830853357168","0.8333333333333334","0.3043389832890597"
"albina","Albina","FEMALE","false","4","5","60",,"7","14","0.0006578947368421052","0.5882352941176471","0.1739889752092569"
"quintus","Quintus","MALE","false","11","22","215",,"18","46","0.11598971204234361","0.9090909090909091","0.3283114049533732"
"ruffus","Ruffus","MALE","false","12","45","732",,"18","48","0.11598971204234361","0.9090909090909091","0.3283114049533732"
"numitorius","Numitorius","MALE","false","8","23","652",,"12","33","0.014799367299367299","0.7142857142857143","0.2583379396704194"
"icilius","Icilius","MALE","false","11","83","3019",,"15","43","0.0489721681826945","0.8","0.29682660115476067"
"alle_1-5","Alle (I/5)","UNKNOWN","true","1","1","2",,"6","6","0","0.5714285714285714","0.15244892887405237"
"ein_paar_vom_volke_2-2","Ein paar vom Volke (II/2)","UNKNOWN","true","1","1","2",,"3","3","0","0.5405405405405406","0.07807386247537254"
"das_volk_2-3","Das Volk (II/3)","UNKNOWN","true","1","1","3",,"2","2","0","0.47619047619047616","0.04607739032204047"
"appius","Appius","MALE","false","8","87","2692",,"15","27","0.09321108715845555","0.8","0.2880847563693271"
"alle_2-5","Alle (II/5)","UNKNOWN","true","1","2","7",,"8","8","0","0.625","0.19433244568665195"
"das_volk_2-5","Das Volk (II/5)","UNKNOWN","true","1","1","2",,"8","8","0","0.625","0.19433244568665192"
"einige_vom_volk_3-3","Einige vom Volk (III/3)","UNKNOWN","true","1","1","1",,"5","5","0","0.5555555555555556","0.11958349495845297"
"alle_3-3","Alle (III/3)","UNKNOWN","true","1","1","1",,"5","5","0","0.5555555555555556","0.11958349495845297"
"virginius","Virginius","MALE","false","11","79","2373",,"12","29","0.02625457875457875","0.7142857142857143","0.2480989357807921"
"valerius","Valerius","MALE","false","5","22","607",,"10","15","0.006271929824561403","0.6666666666666666","0.22668754145820055"
"die_zeugen","Die Zeugen","UNKNOWN","true","1","1","2",,"4","4","0","0.5555555555555556","0.0940401506246028"
"laelia","Lälia","FEMALE","false","1","6","162",,"7","7","0","0.6060606060606061","0.1580265903956337"
"das_volk_4-6","Das Volk (IV/6)","UNKNOWN","true","1","0","1",,"7","7","0","0.6060606060606061","0.1580265903956337"
