id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"almansor","Almansor","MALE","false","5","64","5998",,"24","29","0.13220439691027927","0.7727272727272727","0.21256867790592912"
"erster_maure","Erster Maure","MALE","false","1","4","49",,"4","4","0","0.4594594594594595","0.02463080763552931"
"zweiter_maure","Zweiter Maure","MALE","false","1","1","8",,"4","4","0","0.4594594594594595","0.02463080763552931"
"dritter_maure","Dritter Maure","MALE","false","1","1","9",,"4","4","0","0.4594594594594595","0.02463080763552931"
"hassan","Hassan","MALE","false","4","34","1356",,"22","28","0.09893048128342245","0.7391304347826086","0.20855892745730378"
"don_enrique","Don Enrique","MALE","false","4","24","343",,"28","37","0.08467023172905526","0.85","0.25430739879999265"
"zuleima","Zuleima","FEMALE","false","5","28","1232",,"30","38","0.12150920974450388","0.8947368421052632","0.2583171492486179"
"aly","Aly","MALE","false","5","21","829",,"30","41","0.12150920974450388","0.8947368421052632","0.2583171492486179"
"pedrillo","Pedrillo","MALE","false","3","9","409",,"28","35","0.08467023172905526","0.85","0.25430739879999265"
"eine_andre_stimme","Eine andre Stimme","MALE","false","1","1","23",,"18","18","0","0.68","0.20378504601338865"
"eine_dritte_stimme","Eine dritte Stimme","MALE","false","1","1","15",,"18","18","0","0.68","0.20378504601338865"
"erster_ritter_3a","Erster Ritter (3)","MALE","false","1","1","6",,"18","18","0","0.68","0.20378504601338865"
"seine_dame_3","Seine Dame (3)","FEMALE","false","1","1","7",,"18","18","0","0.68","0.20378504601338865"
"eine_andre_dame_3","Eine andre Dame (3)","FEMALE","false","1","2","19",,"18","18","0","0.68","0.20378504601338865"
"ihr_ritter_3a","Ihr Ritter (3)","MALE","false","1","1","13",,"18","18","0","0.68","0.20378504601338865"
"der_erste_3b","Der Erste (3)","MALE","false","1","2","37",,"18","18","0","0.68","0.20378504601338865"
"der_zweite_3b","Der Zweite (3)","MALE","false","1","2","40",,"18","18","0","0.68","0.20378504601338865"
"der_eine_ritter_3c","Der eine Ritter (3)","MALE","false","1","1","13",,"18","18","0","0.68","0.20378504601338865"
"der_andre_ritter_3c","Der andre Ritter (3)","MALE","false","1","1","15",,"18","18","0","0.68","0.20378504601338865"
"ein_junger_fiedler","Ein junger Fiedler","MALE","false","1","2","88",,"18","18","0","0.68","0.20378504601338865"
"der_alte","Der Alte","MALE","false","1","2","43",,"18","18","0","0.68","0.20378504601338865"
"don_diego","Don Diego","MALE","false","2","9","570",,"18","22","0","0.68","0.20378504601338865"
"der_chor","Der Chor","UNKNOWN","true","1","1","509",,"2","2","0","0.4473684210526316","0.02205134832917473"
"ein_ritter_6","Ein Ritter (6)","MALE","false","1","1","12",,"13","13","0","0.576271186440678","0.10153615055312153"
"ein_teil_der_gaeste_alle","Ein Teil der Gäste/Alle (6)","UNKNOWN","true","1","5","22",,"13","13","0","0.576271186440678","0.10153615055312153"
"der_abt","Der Abt","MALE","false","1","2","60",,"13","13","0","0.576271186440678","0.10153615055312153"
"ein_anderer_ritter_6","Ein anderer Ritter (6)","MALE","false","1","2","20",,"13","13","0","0.576271186440678","0.10153615055312153"
"dritter_ritter_6","Dritter Ritter (6)","MALE","false","1","2","18",,"13","13","0","0.576271186440678","0.10153615055312153"
"vierter_ritter_6","Vierter Ritter (6)","MALE","false","1","2","82",,"13","13","0","0.576271186440678","0.10153615055312153"
"fuenfter_ritter_6","Fünfter Ritter (6)","MALE","false","1","2","49",,"13","13","0","0.576271186440678","0.10153615055312153"
"die_dame_6","Die Dame (6)","FEMALE","false","1","1","16",,"13","13","0","0.576271186440678","0.10153615055312153"
"der_harfenspieler","Der Harfenspieler","MALE","false","1","2","281",,"13","13","0","0.576271186440678","0.10153615055312153"
"einige_ritter_andre_ritter_alle_ritter_6","Einige Ritter/Andre Ritter/Alle Ritter (6)","MALE","true","1","3","42",,"13","13","0","0.576271186440678","0.10153615055312153"
"mehrere_ritter_8","Mehrere Ritter (8)","MALE","true","1","1","1",,"4","4","0","0.53125","0.040292990449483854"
"ein_ritter_8","Ein Ritter (8)","MALE","false","1","1","11",,"4","4","0","0.53125","0.040292990449483854"
