id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"elisabeth","Elisabeth","FEMALE","false","2","23","315",,"33","43","0.008385744234800839","0.72","0.16872771201239814"
"der_alte_merenberg","Der alte Merenberg","MALE","false","3","36","628",,"38","54","0.024947589098532494","0.7714285714285715","0.17308047974301097"
"seyfried","Seyfried von Merenberg","MALE","false","4","41","686",,"50","76","0.05362134371568332","0.9310344827586207","0.21801586011053786"
"benesch","Benesch","MALE","false","2","34","466",,"26","35","0.003633822501747031","0.6585365853658537","0.1366373627846497"
"milota","Milota","MALE","false","5","51","586",,"54","89","0.0699668896209777","1","0.2274487690886948"
"bertha","Bertha","FEMALE","false","2","8","128",,"33","43","0.008385744234800839","0.72","0.16872771201239814"
"zawisch","Zawisch","MALE","false","5","95","1651",,"54","89","0.0699668896209777","1","0.22744876908869477"
"koenigin_margarethe","Königin Margarethe","FEMALE","false","3","58","2062",,"31","49","0.010172706399121491","0.7012987012987013","0.14948239392442808"
"rudolf_von_habsburg","Rudolf von Habsburg","MALE","false","3","80","2817",,"45","62","0.037286612758310855","0.8571428571428571","0.20517082897075944"
"kanzler","Der Kanzler","MALE","false","5","63","1105",,"54","89","0.0699668896209777","1","0.22744876908869477"
"alle_von_aussen_die_im_saale_zuruf","Alle/Von außen/Die im Saale/Zuruf von allen Seiten","UNKNOWN","true","1","4","28",,"22","22","0","0.627906976744186","0.12720445380649276"
"ottokar","Ottokar","MALE","false","5","273","7426",,"54","89","0.0699668896209777","1","0.22744876908869477"
"buergermeister_von_prag","Bürgermeister von Prag","MALE","false","2","17","190",,"26","35","0.003633822501747031","0.6585365853658537","0.1366373627846497"
"fuellenstein","Füllenstein","MALE","false","5","40","599",,"54","89","0.0699668896209777","1","0.22744876908869477"
"diener_1a","Diener (I. Aufzug)","MALE","false","1","1","4",,"22","22","0","0.627906976744186","0.12720445380649276"
"diener_1b","Diener (I. Aufzug)","MALE","false","1","5","65",,"22","22","0","0.627906976744186","0.12720445380649276"
"heinrich_von_lichtenstein","Heinrich von Lichtenstein","MALE","false","3","6","94",,"38","57","0.01773235499650594","0.7714285714285715","0.18157274315217656"
"wortfuehrer_der_steirer","Wortführer der Steirer","MALE","false","1","1","2",,"22","22","0","0.627906976744186","0.12720445380649276"
"wortfuehrer_der_kaerntner","Wortführer der Kärntner","MALE","false","1","2","23",,"22","22","0","0.627906976744186","0.12720445380649276"
"bela","Bela","MALE","false","1","3","31",,"22","22","0","0.627906976744186","0.12720445380649276"
"erster_abgesandter","Erster Abgesandter","MALE","false","2","4","136",,"27","36","0.004542278127183787","0.6666666666666666","0.1400494849462712"
"zweiter_abgesandter","Zweiter Abgesandter (Kanzler des Erzbischofs von Mainz)","MALE","false","1","6","168",,"22","22","0","0.627906976744186","0.12720445380649276"
"kunigunde","Kunigunde","FEMALE","false","4","32","1020",,"42","70","0.028487404745266384","0.8181818181818182","0.19100565213033344"
"kammerfraeulein","Kammerfräulein","FEMALE","false","1","27","314",,"14","14","0","0.574468085106383","0.07869904945667712"
"diener_2a","Diener (II. Aufzug)","MALE","false","1","2","8",,"14","14","0","0.574468085106383","0.0786990494566771"
"diener_2b","Diener (II. Aufzug)","MALE","false","1","2","31",,"14","14","0","0.574468085106383","0.0786990494566771"
"burggraf","Burggraf von Nürnberg","MALE","false","1","9","309",,"14","14","0","0.574468085106383","0.0786990494566771"
"gemurmel","Gemurmel","UNKNOWN","true","1","1","2",,"14","14","0","0.574468085106383","0.0786990494566771"
"frau_3a","Frau","FEMALE","false","1","4","15",,"19","19","0","0.6067415730337079","0.09303115613625157"
"ortolf","Ortolf","MALE","false","1","1","12",,"19","19","0","0.6067415730337079","0.09303115613625157"
"knecht_duxer","Knecht (Der Duxer)","MALE","false","1","5","51",,"19","19","0","0.6067415730337079","0.09303115613625157"
"hauptmann","Hauptmann","MALE","false","1","3","22",,"19","19","0","0.6067415730337079","0.09303115613625157"
"erster_buerger","Erster Bürger","MALE","false","1","3","40",,"19","19","0","0.6067415730337079","0.09303115613625157"
"zweiter_buerger","Zweiter Bürger","MALE","false","1","2","19",,"19","19","0","0.6067415730337079","0.09303115613625157"
"frau_3b","Frau (Kathrina Fröhlich)","FEMALE","false","1","3","33",,"19","19","0","0.6067415730337079","0.09303115613625157"
"schweizersoldat","Schweizersoldat","MALE","false","1","6","129",,"19","19","0","0.6067415730337079","0.09303115613625157"
