id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"doerthe","Dörthe","FEMALE","false","14","91","3600",,"15","39","0.214311974789916","0.8947368421052632","0.3109761599260668"
"ehrenthal","Ehrenthal","MALE","false","16","104","1984",,"14","51","0.07459442110177404","0.85","0.3152734609836042"
"gustav","Gustav","MALE","false","10","60","1197",,"13","35","0.06571253501400559","0.8095238095238095","0.28909446352060664"
"amelie","Amélie","FEMALE","false","12","97","1395",,"7","29","0.0008169934640522875","0.6296296296296297","0.18890591683267532"
"richard","Richard","MALE","false","15","76","1001",,"14","51","0.06671043417366947","0.85","0.3164443245276459"
"philippine","Philippine","FEMALE","false","10","29","672",,"9","29","0.0029178338001867414","0.68","0.23889107950176458"
"laemmlein","Lämmlein","MALE","false","5","69","1367",,"10","17","0.009993580765639588","0.7083333333333334","0.2526820088231654"
"august","August","MALE","false","9","67","1566",,"12","31","0.016832983193277307","0.7727272727272727","0.29746124219286973"
"franz","Franz","MALE","false","7","54","1109",,"9","19","0.00588235294117647","0.68","0.2347106231126344"
"nante","Nante","MALE","false","6","17","493",,"11","18","0.010197829131652661","0.7391304347826086","0.2813120014937917"
"mine","Mine","FEMALE","false","5","17","202",,"10","16","0.007002801120448179","0.7083333333333334","0.260889620575632"
"geschrei","Geschrei","UNKNOWN","true","1","1","3",,"3","3","0","0.5151515151515151","0.08607726744552546"
"das_kind","Das Kind","MALE","false","2","5","5",,"6","7","0.031209150326797386","0.6071428571428571","0.12228019250872775"
"gefreiter","Gefreiter","MALE","false","2","5","114",,"3","5","0","0.5151515151515151","0.04467748122071203"
"gemeiner","Gemeiner","MALE","false","2","4","40",,"3","5","0","0.5151515151515151","0.04467748122071203"
"commissair","Commissair","MALE","false","10","70","910",,"13","33","0.045287698412698404","0.8095238095238095","0.30339010434996044"
"beamter","Beamter","MALE","false","2","3","77",,"7","9","0","0.5862068965517241","0.18952550362123047"
"der_schliesser","Der Schließer","MALE","false","1","1","0",,"5","5","0","0.5862068965517241","0.13597717074990154"
