id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"eulenspiegel","Eulenspiegel","MALE","false","6","125","2598",,"34","70","0.07925016160310276","1","0.2120677794114548"
"gesang","Vierstimmiger Gesang mit Lautenspiel","UNKNOWN","true","1","4","34",,"1","1","0","0.5074626865671642","0.008148092966956672"
"lise_lied","Lise Lied","FEMALE","false","4","101","1238",,"27","51","0.006111535523300227","0.8292682926829268","0.1841029977924261"
"michel","Michel Michael","MALE","false","5","190","3503",,"33","69","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"der_rote_karl","Der rote Karl","MALE","false","4","53","549",,"33","64","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"der_schwarze_karl","Der schwarze Karl","MALE","false","3","33","373",,"27","46","0.006111535523300227","0.8292682926829268","0.1841029977924261"
"der_rotbart","Der Kaiser Rotbart","MALE","false","5","48","416",,"33","69","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"eckart","Der getreue Eckart","MALE","false","5","44","434",,"33","69","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"der_landrat","Der Landrat","MALE","false","3","59","619",,"33","58","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"chorgesang_mit_musik","Chorgesang mit Musik","UNKNOWN","true","1","1","10",,"19","19","0","0.6938775510204082","0.13969715896202095"
"der_bergrat","Der Bergrat","MALE","false","4","86","884",,"33","63","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"der_buergermeister","Der Bürgermeister","MALE","false","2","14","94",,"27","40","0.006111535523300227","0.8292682926829268","0.1841029977924261"
"die_buergermeisterin","Die Frau Bürgermeisterin","FEMALE","false","3","24","173",,"33","58","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"der_pastor","Der Pastor","MALE","false","2","7","71",,"27","40","0.006111535523300227","0.8292682926829268","0.1841029977924261"
"der_kaplan","Der Kaplan","MALE","false","3","20","146",,"33","58","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"alle_2ter_aufzug","Alle/Alle durcheinander (II. Aufzug)","UNKNOWN","true","1","3","4",,"19","19","0","0.6938775510204082","0.13969715896202095"
"sprechgesang","Sprechgesang (auch Kinderstimmen)","UNKNOWN","true","1","1","17",,"19","19","0","0.6938775510204082","0.13969715896202095"
"bergknappen-bergleute","Die Bergknappen/Die Bergleute","MALE","true","3","16","190",,"33","58","0.02042663219133807","0.9714285714285714","0.2117662950252928"
"die_heizer","Die Heizer","MALE","true","2","5","113",,"25","37","0.005758946935417524","0.7906976744186046","0.16736045619488762"
"der_oberheizer","Der Oberheizer","MALE","false","2","6","60",,"25","37","0.005758946935417524","0.7906976744186046","0.16736045619488762"
"die_kobolde","Die Kobolde","MALE","true","2","18","29",,"25","37","0.005758946935417524","0.7906976744186046","0.16736045619488762"
"frau_venus","Frau Venus","FEMALE","false","1","38","1044",,"18","18","0","0.68","0.12460636517437333"
"die_landraete","Die Landräte","MALE","true","1","4","35",,"18","18","0","0.68","0.12460636517437333"
"die_buergermeister","Die Bürgermeister","MALE","true","1","1","37",,"18","18","0","0.68","0.12460636517437333"
"die_kaplane","Die Kaplane","MALE","true","1","2","31",,"18","18","0","0.68","0.12460636517437333"
"die_pastoren","Die Pastoren","MALE","true","1","1","34",,"18","18","0","0.68","0.12460636517437333"
"ein_bergmann","Ein Bergmann","MALE","false","1","1","9",,"18","18","0","0.68","0.12460636517437333"
"erster_kobold","Erster Kobold","MALE","false","1","6","27",,"21","21","0","0.723404255319149","0.1500190004390824"
"zweiter_kobold","Zweiter Kobold","MALE","false","1","2","20",,"21","21","0","0.723404255319149","0.1500190004390824"
"dritter_kobold","Dritter Kobold","MALE","false","1","2","18",,"21","21","0","0.723404255319149","0.1500190004390824"
"die_herren","Die Herren","MALE","true","1","3","7",,"21","21","0","0.723404255319149","0.1500190004390824"
"die_damen","Die Damen","FEMALE","true","1","3","5",,"21","21","0","0.723404255319149","0.1500190004390824"
"eine_dame","Eine Dame","FEMALE","false","1","1","1",,"21","21","0","0.723404255319149","0.1500190004390824"
"die_polizisten","Die Polizisten","MALE","true","1","2","26",,"21","21","0","0.723404255319149","0.1500190004390824"
"immer_mehr_stimmen","Immer mehr Stimmen von draußen her","UNKNOWN","true","1","1","6",,"21","21","0","0.723404255319149","0.1500190004390824"
