id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"phoenix","Phönix","MALE","false","1","98","1651",,"9","9","0","0.5789473684210527","0.01394866763279441"
"ermos","Ermos","MALE","false","1","2","15",,"9","9","0","0.5789473684210527","0.01394866763279441"
"elatos","Elatos","MALE","false","1","1","9",,"9","9","0","0.5789473684210527","0.01394866763279441"
"oedipus","Ödipus","MALE","false","3","205","6166",,"33","37","0.4162878787878787","1","0.21020319767461446"
"die_stimmen","Die Stimmen der Ahnen","UNKNOWN","true","1","4","122",,"9","9","0","0.5789473684210527","0.01394866763279441"
"herold","Der Herold des Laïos","MALE","false","1","9","104",,"9","9","0","0.5789473684210527","0.01394866763279441"
"der_wagenlenker","Der Wagenlenker","MALE","false","1","2","19",,"9","9","0","0.5789473684210527","0.01394866763279441"
"die_diener","Die Diener","MALE","true","1","3","22",,"9","9","0","0.5789473684210527","0.01394866763279441"
"laios","Laïos","MALE","false","1","15","250",,"9","9","0","0.5789473684210527","0.01394866763279441"
"ein_diener_1","Ein Diener (I. Aufzug)","MALE","false","1","1","10",,"9","9","0","0.5789473684210527","0.01394866763279441"
"der_knabe","Der Knabe Schwertträger","MALE","false","2","38","921",,"24","28","0.007196969696969699","0.7857142857142857","0.2049871213341593"
"waerter","Wärter","MALE","false","1","10","178",,"23","23","0","0.7674418604651163","0.20313217820790572"
"tuerhueter","Türhüter","MALE","false","1","10","49",,"23","23","0","0.7674418604651163","0.20313217820790572"
"ein_diener_2a","Ein Diener (II. Aufzug)","MALE","false","1","2","22",,"23","23","0","0.7674418604651163","0.20313217820790572"
"kreon","Kreon","MALE","false","2","119","2999",,"24","28","0.007196969696969699","0.7857142857142857","0.2049871213341593"
"magier","Magier","MALE","false","1","20","409",,"23","23","0","0.7674418604651163","0.20313217820790572"
"zwerg","Zwerg","MALE","false","1","2","50",,"23","23","0","0.7674418604651163","0.20313217820790572"
"ein_diener_2b","Ein Diener (II. Aufzug)","MALE","false","1","3","63",,"23","23","0","0.7674418604651163","0.20313217820790572"
"erster_bote","Erster Bote","MALE","false","1","6","124",,"23","23","0","0.7674418604651163","0.20313217820790572"
"zweiter_bote","Zweiter Bote","MALE","false","1","4","103",,"23","23","0","0.7674418604651163","0.20313217820790572"
"dritter_bote","Dritter Bote","MALE","false","1","2","69",,"23","23","0","0.7674418604651163","0.20313217820790572"
"vierter_bote","Vierter Bote","MALE","false","1","5","24",,"23","23","0","0.7674418604651163","0.20313217820790572"
"fuenfter_bote","Fünfter Bote","MALE","false","1","4","26",,"23","23","0","0.7674418604651163","0.20313217820790572"
"sechster_bote","Sechster Bote","MALE","false","1","1","1",,"23","23","0","0.7674418604651163","0.20313217820790572"
"jokaste","Jokaste","FEMALE","false","2","108","2593",,"24","28","0.007196969696969699","0.7857142857142857","0.2049871213341593"
"antiope","Antiope","FEMALE","false","1","86","1661",,"23","23","0","0.7674418604651163","0.20313217820790572"
"das_volk","Das Volk","UNKNOWN","true","2","74","962",,"24","28","0.007196969696969699","0.7857142857142857","0.2049871213341593"
"die_frauen","Die Frauen","FEMALE","true","1","5","56",,"23","23","0","0.7674418604651163","0.20313217820790572"
"die_greise","Die Greise","MALE","true","1","1","9",,"23","23","0","0.7674418604651163","0.20313217820790572"
"teiresias","Teiresias","MALE","false","1","20","421",,"23","23","0","0.7674418604651163","0.20313217820790572"
"das_kind","Das Kind","MALE","false","1","4","86",,"23","23","0","0.7674418604651163","0.20313217820790572"
"ein_mann_der_bote","Ein Mann/Der Bote","MALE","false","1","2","93",,"23","23","0","0.7674418604651163","0.20313217820790572"
"die_maegde","Die Mägde","FEMALE","true","1","2","30",,"23","23","0","0.7674418604651163","0.20313217820790572"
"der_sterbende","Der Sterbende","MALE","false","1","3","119",,"5","5","0","0.5409836065573771","0.044650794293662005"
