id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"dichter","Dichter","MALE","false","2","11","347",,"2","2","0","0.05263157894736842","2.0837921856842444E-15"
"direktor","Direktor","MALE","false","1","9","369",,"2","2","0","0.05263157894736842","2.0837921856842444E-15"
"schauspieler","Schauspieler","MALE","false","1","5","267",,"2","2","0","0.05263157894736842","2.0837921856842444E-15"
"bombax","Bombax","UNKNOWN","false","1","4","344",,"6","6","0","0.3176691729323308","0.21109682673710153"
"praktinski","Praktinski","MALE","false","29","107","4164",,"17","42","0.20791844476055005","0.49415204678362573","0.47178320179003186"
"asafoetida","Asafötida","UNKNOWN","false","1","1","14",,"6","6","0","0.3176691729323308","0.21109682673710153"
"suffimentum","Suffimentum","UNKNOWN","false","1","1","12",,"6","6","0","0.3176691729323308","0.21109682673710153"
"rhamphastus","Rhamphastus","UNKNOWN","false","1","1","24",,"6","6","0","0.3176691729323308","0.21109682673710153"
"lepidanthos","Lepidanthos","UNKNOWN","false","1","1","54",,"6","6","0","0.3176691729323308","0.21109682673710153"
"ventriculus","Ventriculus","UNKNOWN","false","1","1","67",,"6","6","0","0.3176691729323308","0.21109682673710153"
"faustine","Faustine","FEMALE","false","42","133","6862","Q76918","17","46","0.23494547178757705","0.5082706766917293","0.36272552803430974"
"der_lebenstrieb","Der Lebenstrieb","UNKNOWN","false","1","3","55",,"1","1","0","0.29649122807017547","0.05013578986104402"
"die_unabaenderlichkeit","Die Unabänderlichkeit","UNKNOWN","false","1","2","93",,"1","1","0","0.29649122807017547","0.05013578986104402"
"schabholz","Schabholz","MALE","false","2","7","267",,"3","3","0","0.3120960295475531","0.0940066107358995"
"waisenkinder","Waisenkinder","UNKNOWN","false","2","3","86",,"2","3","0","0.3015165031222123","0.07504989741004638"
"irma","Irma","FEMALE","false","2","2","31",,"5","6","0.007112375533428165","0.36305048335123524","0.18025028310655988"
"erste_dame","Erste Dame","FEMALE","false","1","2","42",,"5","5","0","0.13157894736842105","0.000008949819289174184"
"zweite_dame","Zweite Dame","FEMALE","false","1","1","8",,"5","5","0","0.13157894736842105","0.000008949819289174184"
"dritte_dame","Dritte Dame","FEMALE","false","1","1","8",,"5","5","0","0.13157894736842105","0.000008949819289174184"
"erster_offizier","Erster Offizier","MALE","false","1","3","31",,"5","5","0","0.13157894736842105","0.000008949819289174184"
"zweiter_offizier","Zweiter Offizier","MALE","false","1","3","52",,"5","5","0","0.13157894736842105","0.000008949819289174184"
"dritter_offizier","Dritter Offizier","MALE","false","1","3","170",,"5","5","0","0.13157894736842105","0.000008949819289174184"
"schalk","Schalk","MALE","false","2","2","208",,"2","2","0.03556187766714083","0.30671506352087113","0.051112277574332794"
"die_maurergesellen","Die Maurergesellen","MALE","false","1","1","8",,"1","1","0","0.21433100824350032","0.0070647304125677"
"ronober","Ronober","MALE","false","2","8","200",,"3","3","0","0.3120960295475531","0.0940066107358995"
"musarion","Musarion","MALE","false","13","42","1615",,"3","13","0","0.34881320949432404","0.14622248963014295"
"fuchs","Fuchs","MALE","false","4","14","562",,"5","6","0","0.3706140350877193","0.2047471998667436"
"fuehriana","Führiana","FEMALE","false","3","9","246",,"6","8","0.01090564248458986","0.3784994400895857","0.21560372470932176"
"klettina","Klettina","FEMALE","false","3","11","382",,"6","9","0.01090564248458986","0.3784994400895857","0.21560372470932176"
"magrona","Magrona","FEMALE","false","1","7","192",,"3","3","0","0.25413533834586466","0.08940195483574238"
"sattilka","Sattilka","FEMALE","false","3","7","155",,"6","9","0.01090564248458986","0.3784994400895857","0.21560372470932176"
"der_erste_muellerbursche","Der erste Müllerbursche","MALE","false","1","6","194",,"2","2","0","0.05263157894736842","2.0837921856842444E-15"
"der_zweite_muellerbursche","Der zweite Müllerbursche","MALE","false","1","6","76",,"2","2","0","0.05263157894736842","2.0837921856842444E-15"
"der_dritte_muellerbursche","Der dritte Müllerbursche","MALE","false","1","6","100",,"2","2","0","0.05263157894736842","2.0837921856842444E-15"
"der_mueller","Der Müller","MALE","false","1","4","138",,"2","2","0","0.34210526315789475","0.11534524503100127"
"innocentia","Innocentia","FEMALE","false","15","32","1504",,"8","20","0.02513039355144618","0.38672768878718533","0.22339274897761618"
"hertha","Hertha","FEMALE","false","3","8","204",,"2","3","0","0.30671506352087113","0.09608669976909892"
"melancholia","Melancholia","FEMALE","false","1","2","258",,"1","1","0","0.29649122807017547","0.05013578986104402"
"elektra","Elektra","FEMALE","false","1","3","57",,"4","4","0","0.35578947368421054","0.1711365971791453"
