id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"michl","Michl","MALE","false","9","20","299",,"17","58","0.014232508713028192","0.7586206896551724","0.26534021972406485"
"die_bursche","Die Bursche","MALE","true","7","20","147",,"16","47","0.009224950134041041","0.7333333333333333","0.2557029372389881"
"loisl","Loisl","MALE","false","6","14","152",,"15","42","0.009858683884657911","0.7096774193548387","0.2373083371035372"
"veit","Veit","MALE","false","5","14","249",,"17","42","0.014232508713028192","0.7586206896551724","0.26534021972406485"
"martin","Martin","MALE","false","7","12","138",,"17","51","0.014232508713028192","0.7586206896551724","0.26534021972406485"
"steinklopferhanns","Steinklopferhanns","MALE","false","16","155","4536",,"20","76","0.09900884348936298","0.9166666666666666","0.28407080101296217"
"sepp","Sepp","MALE","false","5","7","52",,"11","34","0.0008264462809917356","0.6285714285714286","0.18808216002188358"
"marthe","Marthe","FEMALE","false","2","4","63",,"12","18","0.0021491976037430584","0.6470588235294118","0.20061394033890906"
"anton","Anton","MALE","false","12","182","2910",,"17","48","0.056579447488538416","0.8148148148148148","0.24917911728090286"
"liesel","Liesel","FEMALE","false","3","24","328",,"14","22","0.0332939787485242","0.7333333333333333","0.20817769352154683"
"die_bauern","Die Bauern","UNKNOWN","true","2","2","11",,"15","17","0.04360773906228451","0.7586206896551724","0.221888612716515"
"grossbauer","Großbauer","MALE","false","3","21","1050",,"16","26","0.009224950134041041","0.7333333333333333","0.2557029372389881"
"einzelne_alle_mehrere_1-4_und_1-6","Einzelne/Alle/Mehrere (I/4 und I/6)","UNKNOWN","true","2","5","24",,"13","16","0.0035163489708944255","0.6666666666666666","0.21505689599228797"
"brenninger","Brenninger","MALE","false","2","12","1419",,"14","18","0.007108656134630162","0.6875","0.22343938002483124"
"klaus","Klaus","MALE","false","5","17","173",,"12","23","0.0021968771968771963","0.6470588235294118","0.19682719539206106"
"mathies","Mathies","MALE","false","5","19","205",,"12","23","0.0021968771968771963","0.6470588235294118","0.19682719539206103"
"altlechner","Altlechner","MALE","false","5","20","468",,"18","29","0.08077387979985384","0.8461538461538461","0.256866124940482"
"josepha","Josepha","FEMALE","false","8","126","1839",,"9","18","0.17316017316017315","0.6285714285714286","0.09793549321403325"
"einige_mehrere_alle_2-6_bis_2-9","Einige/Mehrere/Alle (II/6–9)","UNKNOWN","true","4","6","30",,"9","17","0.000333000333000333","0.5945945945945946","0.15022171538910775"
"tobias","Tobias","MALE","false","1","7","126",,"2","2","0","0.4","0.007208013178171606"
"ursel","Ursel","FEMALE","false","1","1","9",,"2","2","0","0.4","0.007208013178171606"
"chor_der_wallfahrer","Chor der Wallfahrer","UNKNOWN","true","2","8","29",,"7","10","0","0.5945945945945946","0.09701057393971796"
"mehrere_weiber","Mehrere Weiber","FEMALE","true","1","1","4",,"7","7","0","0.5945945945945946","0.09701057393971796"
