id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"chor_alle_maedchen_und_pursche","Chor/Alle (Mädchen und Pursche)","UNKNOWN","true","2","5","101",,"4","4","0","0.5294117647058824","0.11148818339469926"
"heinrich","Heinrich","MALE","false","19","86","782",,"11","38","0.034858387799564274","0.72","0.27687140049617454"
"johann","Johann","MALE","false","4","14","319",,"5","5","0.02047930283224401","0.5806451612903226","0.10535782576525433"
"mehlwurm","Mehlwurm","MALE","false","30","152","2000",,"14","73","0.11646436352318706","0.8181818181818182","0.3193107416778067"
"specht","Specht","MALE","false","13","48","487",,"11","44","0.03093681917211329","0.72","0.2778207953432946"
"eulenspiegel","Eulenspiegel","MALE","false","34","187","3429",,"13","75","0.0706504824151883","0.782608695652174","0.31048731688601117"
"natzi","Natzi","MALE","false","22","122","1934",,"12","55","0.039495798319327736","0.75","0.30343220504267476"
"cordula","Cordula","FEMALE","false","18","81","609",,"12","48","0.05583566760037349","0.75","0.29644178631861634"
"lenchen","Lenchen","FEMALE","false","15","32","321",,"11","48","0.012698412698412697","0.72","0.29357236762687666"
"nelkenstein","Nelkenstein","MALE","false","21","118","1370",,"14","43","0.18599439775910365","0.8181818181818182","0.2980698362532484"
"dorothea","Dorothea","FEMALE","false","7","39","527",,"10","27","0.012418300653594772","0.6923076923076923","0.26981628865283813"
"friedrich","Friedrich","MALE","false","5","9","88",,"3","6","0","0.5142857142857142","0.08590336228030056"
"peppi","Peppi","FEMALE","false","5","21","251",,"9","15","0.026579520697167756","0.6428571428571429","0.21202688762900448"
"steffel","Steffel","MALE","false","3","6","39",,"5","7","0.004793028322440088","0.5294117647058824","0.1002595898805601"
"sebastian","Sebastian","MALE","false","3","3","16",,"5","7","0.004793028322440088","0.5294117647058824","0.1002595898805601"
"die_muehlknechte","Die Mühlknechte","MALE","true","4","2","64",,"11","23","0.012698412698412697","0.72","0.29357236762687666"
"hans","Hans","MALE","false","2","4","59",,"4","4","0.011826953003423592","0.5625","0.09050909439082204"
"jakob","Jakob","MALE","false","1","1","7",,"2","2","0","0.47368421052631576","0.03769950622885839"
"die_maegde","Die Mägde","FEMALE","true","1","0","17",,"6","6","0","0.5806451612903226","0.1680760303497231"
