id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"klara","Klara","FEMALE","false","16","141","3730",,"10","21","0.34444444444444444","1","0.40583124057224085"
"mutter","Mutter","FEMALE","false","5","32","1159",,"7","12","0.02777777777777778","0.7692307692307693","0.35523509513374296"
"karl","Karl","MALE","false","6","44","1390",,"4","6","0.005555555555555556","0.625","0.20414284427531929"
"leonhard","Leonhard","MALE","false","10","90","2404",,"8","16","0.09444444444444443","0.8333333333333334","0.3709438381316274"
"meister_anton","Meister Anton","MALE","false","6","85","4497",,"8","14","0.055555555555555546","0.8333333333333334","0.38232820419888947"
"adam","Adam","MALE","false","1","7","163",,"6","6","0","0.7142857142857143","0.32841317137966397"
"zweiter_gerichtsdiener","Zweiter Gerichtsdiener","MALE","false","1","3","28",,"6","6","0","0.7142857142857143","0.32841317137966397"
"eine_magd","Eine Magd","FEMALE","false","1","1","4",,"6","6","0","0.7142857142857143","0.32841317137966397"
"wolfram","Wolfram","MALE","false","1","10","606",,"1","1","0","0.5263157894736842","0.06138668416688499"
"sekretaer","Sekretär","MALE","false","3","44","1759",,"4","4","0.005555555555555556","0.625","0.20620679266739436"
"ein_knabe","Ein Knabe","MALE","false","1","2","13",,"2","2","0","0.5555555555555556","0.11749614451633926"
