id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kennedy","Kennedy","FEMALE","false","12","54","1645",,"6","19","0.16712614870509607","0.5135135135135135","0.12644176889794315"
"paulet","Paulet","MALE","false","12","76","1459","Q4347177","7","24","0.04385964912280702","0.5757575757575758","0.2755832212648107"
"maria","Maria","FEMALE","false","16","162","6272","Q131412","8","28","0.26269841269841265","0.6333333333333333","0.28282162700014085"
"mortimer","Mortimer","MALE","false","12","137","3660",,"9","20","0.17907268170426066","0.6129032258064516","0.3007508762339183"
"burleigh","Burleigh","MALE","false","14","108","2331","Q354309","11","34","0.11009468114731275","0.6129032258064516","0.37305759022869717"
"davison","Davison","MALE","false","6","33","592","Q5618070","6","11","0.0011695906432748538","0.4418604651162791","0.24336383929091518"
"kent","Kent","MALE","false","6","12","299",,"6","14","0.0011695906432748538","0.4418604651162791","0.24336383929091518"
"elisabeth","Elisabeth","FEMALE","false","18","135","4080","Q7207","12","34","0.19781397939292675","0.6333333333333333","0.38181397748698703"
"aubespine","Aubespine","MALE","false","3","19","327",,"6","8","0.011695906432748537","0.4418604651162791","0.21605022847306166"
"bellievre","Bellievre","MALE","false","1","4","108",,"2","2","0","0.40425531914893614","0.07686480148059342"
"shrewsbury","Shrewsbury","MALE","false","8","32","1610","Q80271","8","22","0.029239766081871343","0.5588235294117647","0.3166265413198652"
"leicester","Leicester","MALE","false","12","104","3518","Q318017","10","27","0.06331105541631855","0.59375","0.3620016270120052"
"okelly","Okelly","MALE","false","1","10","142",,"1","1","0","0.3877551020408163","0.03866639660140583"
"offizier","Offizier","MALE","false","2","3","68",,"4","5","0","0.4634146341463415","0.1822580790620936"
"page","Page","MALE","false","2","5","46",,"2","3","0","0.40425531914893614","0.0970506523886532"
"melvil","Melvil","MALE","false","7","43","836",,"6","12","0.2108047897521581","0.48717948717948717","0.06353747682500395"
"kurl","Kurl","FEMALE","false","2","10","174",,"4","5","0.007170704539125592","0.38","0.030387729346764997"
"burgoyn","Burgoyn","MALE","false","2","4","57",,"4","5","0.007170704539125592","0.38","0.030387729346764997"
"zweite_kammerfrau","Zweite Kammerfrau","FEMALE","false","1","1","15",,"1","1","0","0.3333333333333333","0.008169083846478128"
"die_kammerfrauen","Die Kammerfrauen","FEMALE","true","1","1","6",,"3","3","0","0.34545454545454546","0.01598330448836534"
