id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"etschmann","Etschmann","MALE","false","6","32","263",,"10","15","0.055950687529634904","0.5284728213977566","0.2732056746813716"
"elsi","Elsi","FEMALE","false","5","29","288",,"8","12","0.07230915125651967","0.4672006102212052","0.19218144491387418"
"mathis","Mathis","MALE","false","1","8","150",,"2","2","0","0.3705384150030248","0.07919365884007043"
"speckbacher","Joseph Speckbacher","MALE","false","11","89","1807",,"15","31","0.15007112375533432","0.575657894736842","0.367906191046601"
"herzog","Der Herzog von Danzig","MALE","false","6","46","1599",,"11","18","0.20483641536273117","0.5199490662139219","0.2450420838910575"
"la_coste","La Coste","MALE","false","6","26","501",,"7","14","0.03982930298719772","0.4884370015948963","0.21536829898191087"
"fallern","Fallern von Rodeneck","MALE","false","4","26","281",,"7","10","0.01849217638691323","0.4884370015948963","0.22872532322036154"
"mayer","Peter Mayer","MALE","false","1","3","326",,"2","2","0","0.3622117090479007","0.07369922718168812"
"haspinger","Der Kapuziner Joachim Haspinger","MALE","false","7","32","605",,"8","20","0.014224751066856334","0.4540400296515938","0.2241625121224147"
"die_andern","Die Andern","UNKNOWN","true","1","1","4",,"2","2","0","0.3622117090479007","0.07313538984819232"
"andreas_hofer","Andreas Hofer","MALE","false","16","142","4468",,"23","39","0.4677572309151257","0.6858902575587905","0.4608101787819933"
"volk","Volk","UNKNOWN","true","3","9","71",,"6","10","0.0007112375533428165","0.44160057678442677","0.19241662344389274"
"ein_bote","Ein Bote","MALE","false","1","2","16",,"5","5","0","0.4356330014224751","0.17550444090683595"
"der_tiroler_1-9","Der Tiroler (I/9)","MALE","false","1","2","16",,"5","5","0","0.4356330014224751","0.17550444090683595"
"fleury","Fleury","MALE","false","4","18","445",,"7","11","0.005689900426742532","0.358187134502924","0.09874472717938006"
"eisenstecken","Eisenstecken","MALE","false","5","17","335",,"7","13","0.010905642484589853","0.44773391812865493","0.21560986067845586"
"ein_offizier","Ein Offizier","MALE","false","1","1","44",,"3","3","0","0.34294512877939526","0.06907094227023339"
"frau_straubing","Frau Straubing","FEMALE","false","1","10","297",,"3","3","0","0.4132928475033738","0.10344801038090676"
"heinrich","Heinrich","MALE","false","1","2","12",,"3","3","0","0.4132928475033738","0.10344801038090676"
"die_rainer","Gebrüder Rainer","MALE","true","1","5","72",,"3","3","0","0.4080612924716855","0.09533061948783181"
"mehrere_tiroler_alle_2-8","Mehrere Tiroler/Alle (II/8)","UNKNOWN","true","1","6","52",,"3","3","0","0.4080612924716855","0.09533061948783181"
"einer_2-9a","Einer","MALE","false","1","2","9",,"5","5","0","0.3504004576659039","0.06747190424651339"
"ein_anderer","Ein Anderer","MALE","false","1","1","2",,"5","5","0","0.3504004576659039","0.06747190424651339"
"einer_2-9b","Einer","MALE","false","1","1","2",,"5","5","0","0.3504004576659039","0.0674719042465134"
"alle_2-9","Alle (II/9)","MALE","true","1","1","19",,"5","5","0","0.3504004576659039","0.0674719042465134"
"kanzler","Kanzler","MALE","false","1","37","1064",,"2","2","0","0.05263157894736842","1.8261691032763642E-13"
"legationsrat","Legationsrat","MALE","false","1","35","560",,"2","2","0","0.05263157894736842","1.8261691032763642E-13"
"ein_kabinettssekretaer","Ein Kabinettssekretär","MALE","false","1","1","4",,"2","2","0","0.05263157894736842","1.8261691032763642E-13"
"ein_tiroler_4-1","Ein Tiroler (IV/1)","MALE","false","1","2","6",,"4","4","0","0.4298245614035088","0.15382527975064605"
"vizekoenig","Vizekönig","MALE","false","3","44","1410",,"3","5","0.020862968231389285","0.4132928475033738","0.0711948820470917"
"paraguay","Graf Paraguay","MALE","false","3","28","637",,"5","6","0.027501185395922244","0.42416897506925205","0.09501817651033438"
"ein_page","Ein Page","MALE","false","1","2","48",,"2","2","0","0.2957508450024143","0.020531428618632667"
"weib_tirolerin","Ein Weib/Die Tirolerin","FEMALE","false","3","8","103",,"6","9","0.02797534376481745","0.4356330014224751","0.12169469560729167"
"erstes_kind","Ein Kind","UNKNOWN","false","1","6","31",,"3","3","0","0.319176654507556","0.044235681725134625"
"zweites_kind","Zweites Kind","UNKNOWN","false","1","1","6",,"3","3","0","0.319176654507556","0.044235681725134625"
"baerbel","Bärbel","FEMALE","false","2","12","326",,"4","6","0","0.42416897506925205","0.11196782510596265"
"donay","Der Priester Donay","MALE","false","2","11","117",,"6","6","0.00948316737790422","0.44160057678442677","0.13175241750685449"
"raynouard","Raynouard","MALE","false","2","15","93",,"3","3","0","0.4132928475033738","0.08493342178035795"
"johann","Johann","MALE","false","1","5","36",,"1","1","0","0.3979857050032488","0.05692165764209846"
