id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"herrmann","Herrmann","MALE","false","16","77","3984",,"7","16","0.035648148148148144","0.8181818181818182","0.34868702063611784"
"caroline","Caroline","FEMALE","false","14","61","3379",,"6","20","0.012499999999999997","0.75","0.3137217023875694"
"arnold","Arnold","MALE","false","7","24","1594",,"5","8","0.013888888888888888","0.6923076923076923","0.2566058336203108"
"der_graf","Der Graf","MALE","false","17","83","3281",,"9","23","0.11666666666666664","1","0.4063620379567667"
"valentin","Valentin","MALE","false","3","7","245",,"4","4","0.005555555555555556","0.6428571428571429","0.21847309651752164"
"die_graefinn","Die Gräfinn","FEMALE","false","13","52","2188",,"8","22","0.0810185185185185","0.9","0.3725982766680473"
"chrysander","Chrysander","MALE","false","6","60","2366",,"5","10","0.006944444444444444","0.6923076923076923","0.2657364600279903"
"valer","Valer","MALE","false","8","61","2391",,"5","14","0","0.6923076923076923","0.2799579410988501"
"johann","Johann","MALE","false","17","81","2542",,"9","29","0.11666666666666664","1","0.40636203795676673"
"fraeulein_christinchen","Fräulein Christinchen","FEMALE","false","2","17","1040",,"4","6","0","0.6428571428571429","0.2198567824920509"
