id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"graves","Graves","MALE","false","3","68","1176",,"22","39","0.019045769045769042","1","0.23772411988961706"
"berkley","Berkley","MALE","false","4","117","1793",,"18","40","0.009055759055759057","0.8461538461538461","0.19964784205953248"
"hammond","Hammond","MALE","false","3","39","909",,"19","31","0.010471010471010473","0.88","0.21095948746210197"
"coke","Coke","MALE","false","3","52","1099",,"22","39","0.019045769045769042","1","0.237724119889617"
"richmond","Richmond","MALE","false","2","38","419",,"10","15","0","0.6470588235294118","0.11603082930598092"
"karl","Karl","MALE","false","4","146","4627",,"22","46","0.019045769045769042","1","0.237724119889617"
"montague","Montague","MALE","false","4","68","1044",,"22","46","0.019045769045769042","1","0.237724119889617"
"lindsay","Lindsay","MALE","false","2","29","461",,"10","15","0","0.6470588235294118","0.11603082930598092"
"joyce","Joyce","MALE","false","4","68","943",,"22","49","0.019045769045769042","1","0.237724119889617"
"cromwell","Cromwell","MALE","false","3","257","9292",,"20","41","0.006660006660006659","0.9166666666666666","0.22605095587600055"
"prynne","Prynne","MALE","false","2","26","625",,"15","25","0","0.7586206896551724","0.1773632506157423"
"sidney","Sidney","MALE","false","4","70","1159",,"22","48","0.019045769045769042","1","0.237724119889617"
"ireton","Ireton","MALE","false","3","86","1756",,"20","41","0.006660006660006659","0.9166666666666666","0.22605095587600055"
"lilburn","Lilburn","MALE","false","2","37","942",,"15","25","0","0.7586206896551724","0.17736325061574226"
"fairfax","Fairfax","MALE","false","2","46","609",,"15","25","0","0.7586206896551724","0.17736325061574226"
"ludlow","Ludlow","MALE","false","3","56","985",,"20","41","0.006660006660006659","0.9166666666666666","0.22605095587600055"
"harrison","Harrison","MALE","false","4","89","2205",,"22","48","0.019045769045769042","1","0.237724119889617"
"manchester","Manchester","MALE","false","3","59","850",,"20","41","0.006660006660006659","0.9166666666666666","0.22605095587600055"
"bradshaw","Bradshaw","MALE","false","2","20","285",,"20","31","0.006660006660006659","0.9166666666666666","0.22605095587600055"
"geschrei","Geschrei draußen","UNKNOWN","true","1","3","12",,"16","16","0","0.7857142857142857","0.18924381469520019"
"milton","Milton","MALE","false","1","9","415",,"16","16","0","0.7857142857142857","0.18924381469520019"
"die_soldaten","Die Soldaten","MALE","true","1","1","3",,"16","16","0","0.7857142857142857","0.18924381469520019"
"stimme_des_henkers","Stimme des Henkers","MALE","false","1","1","6",,"16","16","0","0.7857142857142857","0.18924381469520019"
