id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"holofernes","Holofernes","MALE","false","3","113","4316",,"19","21","0.04204476709013914","0.5979381443298969","0.03941497152871231"
"oberpriester_1a","Oberpriester","MALE","false","1","3","29",,"11","11","0","0.5523809523809524","0.013530589958435806"
"trabant","Trabant","MALE","false","1","4","29",,"11","11","0","0.5523809523809524","0.013530589958435806"
"ein_krieger","Ein Krieger","MALE","false","1","4","69",,"11","11","0","0.5523809523809524","0.013530589958435806"
"hauptmann_1a","Hauptmann","MALE","false","1","3","15",,"11","11","0","0.5523809523809524","0.013530589958435806"
"ein_hauptmann_1b","Ein Hauptmann","MALE","false","1","1","9",,"11","11","0","0.5523809523809524","0.013530589958435806"
"bote","Bote","MALE","false","1","7","119",,"11","11","0","0.5523809523809524","0.013530589958435806"
"priester_1b","Priester","MALE","false","1","5","28",,"11","11","0","0.5523809523809524","0.013530589958435806"
"ein_hauptmann_1c","Ein Hauptmann","MALE","false","1","3","24",,"11","11","0","0.5523809523809524","0.013530589958435806"
"lybische_gesandte","Lybische Gesandte","MALE","true","1","3","26",,"11","11","0","0.5523809523809524","0.013530589958435806"
"mesopotamische_gesandte","Mesopotamische Gesandte","MALE","true","1","6","169",,"11","11","0","0.5523809523809524","0.013530589958435806"
"achior","Achior","MALE","false","3","17","949",,"53","56","0.30535390199637025","0.9206349206349206","0.215439931582593"
"judith","Judith","FEMALE","false","6","163","7418",,"48","58","0.1141863278886873","0.8529411764705882","0.2143923369745428"
"mirza","Mirza","FEMALE","false","6","72","992",,"48","58","0.1141863278886873","0.8529411764705882","0.2143923369745428"
"ephraim","Ephraim","MALE","false","4","26","848",,"45","52","0.07637628554143977","0.8169014084507042","0.2125069173048709"
"hosea","Hosea","MALE","false","1","6","143",,"27","27","0","0.651685393258427","0.17716798008935286"
"ammon","Ammon","MALE","false","1","8","115",,"27","27","0","0.651685393258427","0.17716798008935286"
"ben","Ben","MALE","false","1","4","50",,"27","27","0","0.651685393258427","0.17716798008935286"
"der_eine","Der eine (ältere Bürger)","MALE","false","1","3","45",,"27","27","0","0.651685393258427","0.17716798008935286"
"der_andere","Der andere (ältere Bürger)","MALE","false","1","3","71",,"27","27","0","0.651685393258427","0.17716798008935286"
"samuel","Samuel","MALE","false","1","8","387",,"27","27","0","0.651685393258427","0.17716798008935286"
"enkel","Enkel","MALE","false","1","7","99",,"27","27","0","0.651685393258427","0.17716798008935283"
"erster_buerger_3a","Erster Bürger (III. Akt)","MALE","false","1","3","55",,"27","27","0","0.651685393258427","0.17716798008935286"
"zweiter_buerger_3a","Zweiter Bürger (III. Akt)","MALE","false","1","2","94",,"27","27","0","0.651685393258427","0.17716798008935286"
"der_aelteste_3","Der Älteste (III. Akt)","MALE","false","1","14","395",,"27","27","0","0.651685393258427","0.17716798008935286"
"assad","Assad","MALE","false","1","7","188",,"27","27","0","0.651685393258427","0.17716798008935286"
"ein_anderer_3b","Ein Anderer","MALE","false","1","1","2",,"27","27","0","0.651685393258427","0.17716798008935286"
"daniel","Daniel","MALE","false","1","8","143",,"27","27","0","0.651685393258427","0.17716798008935286"
