id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"assad","Assad","MALE","false","17","168","2673",,"14","45","0.19388888888888886","0.8888888888888888","0.3319798111479507"
"hakam","Hakam","MALE","false","13","72","1338",,"13","35","0.17277777777777775","0.8421052631578947","0.3175807104817648"
"irad","Irad","MALE","false","5","43","905",,"11","19","0.02416666666666667","0.7619047619047619","0.30420925451417136"
"der_aufseher","Der Aufseher","MALE","false","1","6","47",,"1","1","0","0.47058823529411764","0.03194728488619752"
"der_vezier","Der Vezier","MALE","false","7","41","845",,"11","21","0.06833333333333333","0.7619047619047619","0.29336758998314916"
"soliman","Soliman","MALE","false","6","72","1199",,"13","28","0.06888888888888887","0.8421052631578947","0.3289273879744905"
"volk","Volk","UNKNOWN","true","1","3","6",,"4","4","0","0.5517241379310345","0.1143456091145167"
"khalf","Khalf","MALE","false","3","20","253",,"6","10","0.004166666666666667","0.5925925925925926","0.15819441387021996"
"der_kadi","Der Kadi","MALE","false","4","43","795",,"11","21","0.02277777777777778","0.7619047619047619","0.30401668630048606"
"rustan","Rustan","MALE","false","2","6","39",,"6","9","0.0016666666666666668","0.5925925925925926","0.17553038115669098"
"eine_stimme","Eine Stimme","MALE","false","1","1","5",,"1","1","0","0.48484848484848486","0.03339575258350765"
"fatime","Fatime","FEMALE","false","3","34","713",,"9","13","0","0.6956521739130435","0.2737062116994091"
"selim","Selim","MALE","false","2","8","39",,"9","12","0","0.6956521739130435","0.2737062116994091"
"der_kalif","Der Kalif","MALE","false","6","51","1142",,"11","21","0.06833333333333333","0.7619047619047619","0.29336758998314916"
"der_bote","Der Bote","MALE","false","1","6","125",,"2","2","0","0.45714285714285713","0.05902266301065907"
"babeck","Babeck","MALE","false","1","2","16",,"5","5","0","0.5714285714285714","0.15608975732561634"
"omar","Omar","MALE","false","1","5","81",,"9","9","0","0.6956521739130435","0.2737062116994091"
