id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"siegfried","Siegfried","MALE","false","9","132","4189",,"9","20","0.06862745098039215","0.6666666666666666","0.18069654243494843"
"hildebrant","Hildebrant","MALE","false","1","2","114",,"2","2","0","0.5294117647058824","0.052545976259146095"
"golo","Golo","MALE","false","30","307","9630",,"17","68","0.29166666666666663","0.9473684210526315","0.3464740076469705"
"genoveva","Genoveva","FEMALE","false","21","174","3795",,"15","50","0.13807189542483664","0.8571428571428571","0.3368606067903478"
"drago","Drago","MALE","false","6","25","540",,"8","21","0","0.6428571428571429","0.24410084478072702"
"caspar","Caspar","MALE","false","10","75","1685",,"11","29","0.03022875816993464","0.72","0.28989987422186664"
"balthasar","Balthasar","MALE","false","8","93","1479",,"11","31","0.01388888888888889","0.72","0.2980659185664557"
"katharina","Katharina","FEMALE","false","16","106","1413",,"12","46","0.0334967320261438","0.75","0.30701327381544374"
"mehrere_stimmen","Mehrere Stimmen","UNKNOWN","true","1","1","4",,"6","6","0","0.6","0.17563856609450254"
"hans","Hans","MALE","false","6","86","965",,"11","29","0.01388888888888889","0.72","0.2980659185664557"
"jude","Jude","MALE","false","1","6","443",,"6","6","0","0.6","0.17563856609450254"
"margaretha","Margaretha","FEMALE","false","9","92","3328",,"11","32","0.03022875816993464","0.72","0.2899875470757476"
"tristan","Tristan","MALE","false","1","15","963",,"2","2","0","0.5294117647058824","0.06811136074570286"
"maler","Maler","MALE","false","1","6","110",,"3","3","0","0.5454545454545454","0.09871276606120707"
"conrad","Conrad","MALE","false","3","19","244",,"10","18","0.00735294117647059","0.6923076923076923","0.28260475523754286"
"klaus","Klaus","MALE","false","2","21","43",,"8","10","0","0.6428571428571429","0.24410084478072702"
"edelknecht","Edelknecht","MALE","false","3","3","133",,"2","4","0","0.5294117647058824","0.052545976259146095"
"geist","Geist","MALE","false","1","6","318",,"3","3","0","0.5454545454545454","0.08145050372807196"
"schmerzenreich","Schmerzenreich","MALE","false","2","8","110",,"3","4","0","0.5454545454545454","0.08048346999917597"
