id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"laeuffer","Läuffer","MALE","false","12","87","1540",,"10","18","0.10525899221551398","0.5270092226613966","0.29555355043519677"
"major","Major","MALE","false","11","58","2771",,"11","25","0.10656469134730004","0.5997001499250375","0.3738749164079613"
"geheimer_rat","Geheimer Rat","MALE","false","13","97","3852",,"14","29","0.26913979740066696","0.6688963210702341","0.42417690917365886"
"majorin","Majorin","FEMALE","false","3","28","874",,"5","7","0.014643327686805945","0.45766590389016015","0.19901776625234058"
"bedienter","Bedienter","MALE","false","1","1","3",,"3","3","0","0.34782608695652173","0.1028620233239599"
"graf_wermuth","Graf Wermuth","MALE","false","4","19","354",,"7","10","0.0233107472237907","0.4830917874396135","0.2562822333410655"
"fritz","Fritz","MALE","false","11","92","1765",,"10","23","0.11920012354794962","0.5434782608695652","0.2991741353502494"
"gustchen","Gustchen","FEMALE","false","9","41","868",,"7","16","0.05697008305703957","0.5270092226613966","0.25604656214660815"
"pastor","Pastor","MALE","false","1","13","487",,"1","1","0","0.3864734299516908","0.05810985353526358"
"paetus","Pätus","MALE","false","8","79","1876",,"9","19","0.07553702336311031","0.5115089514066496","0.268323624155362"
"frau_blitzer","Frau Blitzer","FEMALE","false","1","8","292",,"3","3","0","0.354924578527063","0.09695983128480312"
"bollwerk","Bollwerk","MALE","false","2","13","581",,"5","7","0.0026350461133069825","0.3700277520814061","0.1402602743803163"
"jungfer_knicks","Jungfer Knicks","FEMALE","false","1","4","208",,"2","2","0","0.08695652173913043","1.2830793783949202E-10"
"frau_hamster","Frau Hamster","FEMALE","false","1","3","21",,"2","2","0","0.08695652173913043","1.2830793783949202E-10"
"jungfer_hamster","Jungfer Hamster","FEMALE","false","1","1","20",,"2","2","0","0.08695652173913043","1.2830793783949202E-10"
"hofmeister","Hofmeister","MALE","false","2","7","337",,"5","6","0.006847500325761195","0.45766590389016015","0.17968591333394374"
"seiffenblase","Herr von Seiffenblase","MALE","false","2","6","372",,"5","6","0.006847500325761195","0.45766590389016015","0.17968591333394374"
"wenzeslaus","Wenzeslaus","MALE","false","6","53","4126",,"6","11","0.027274416404851187","0.4700352526439483","0.21922561800598747"
"marthe","Marthe","FEMALE","false","2","9","368",,"2","2","0","0.3780718336483932","0.0755657249336773"
"schoepsen","Schöpsen","MALE","false","1","4","48",,"4","4","0","0.44593088071348935","0.17984989022490977"
"rehaar","Rehaar","MALE","false","3","16","1214",,"2","5","0","0.34782608695652173","0.07774465504630489"
"jungfer_rehaar","Jungfer Rehaar","FEMALE","false","1","1","43",,"3","3","0","0.41407867494824013","0.14440535947273805"
"lise","Lise","FEMALE","false","1","15","446",,"2","2","0","0.3410059676044331","0.07052136973254759"
"der_alte_paetus","Der alte Pätus","MALE","false","1","5","270",,"4","4","0","0.44593088071348935","0.18707317553866706"
