id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"august","August","MALE","false","15","216","2548",,"8","26","0.12127158555729985","0.7","0.3626908977817608"
"gehrmann","Gehrmann","MALE","false","12","185","3455",,"9","27","0.21598639455782315","0.7368421052631579","0.3758800818727173"
"emerike","Emerike","FEMALE","false","12","191","2222",,"6","22","0.051412872841444274","0.6363636363636364","0.2974366154099956"
"kunigunde","Kunigunde","FEMALE","false","4","39","969",,"2","6","0","0.45161290322580644","0.10692860160470333"
"flint","Flint","MALE","false","10","206","1298",,"10","22","0.22658294086865519","0.7777777777777778","0.3971741867943789"
"madame_woelbing","Madame Wölbing","FEMALE","false","12","142","1868",,"5","22","0.018969126111983255","0.5384615384615384","0.21306777001365207"
"walter","Walter","MALE","false","7","33","260",,"10","17","0.22658294086865519","0.7777777777777778","0.3971741867943789"
"christine","Christine","FEMALE","false","1","16","233",,"3","3","0","0.5","0.1648611531843232"
"erster_diener","Erster Diener","MALE","false","2","6","15",,"5","5","0.04029304029304029","0.5833333333333334","0.24376610467389687"
"juengling","Jüngling","MALE","false","1","31","485",,"2","2","0","0.4666666666666667","0.1261490147508832"
"giebel","Giebel","MALE","false","1","56","749",,"3","3","0","0.4827586206896552","0.14996451204859085"
"bedienter","Bedienter","MALE","false","1","4","4",,"3","3","0","0.4827586206896552","0.14996451204859085"
"diener","Diener","MALE","false","1","1","7",,"4","4","0","0.5833333333333334","0.23307761635555493"
"albertine","Albertine","FEMALE","false","9","122","2134",,"4","17","0","0.5","0.1796609226099067"
"annchen","Annchen","FEMALE","false","4","44","895",,"4","7","0","0.5","0.1796609226099067"
