id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"hochroitzpointner","Hochroitzpointner","MALE","false","2","72","680",,"15","19","0.013644952930667215","0.7586206896551724","0.23427780020388025"
"schwester","Schwester Ludmilla","FEMALE","false","1","20","110",,"9","9","0","0.6285714285714286","0.15360412814220384"
"oskar","Oskar","MALE","false","3","70","692",,"18","27","0.03316326530612245","0.8461538461538461","0.2646727028160178"
"bernhardi","Bernhardi","MALE","false","5","432","8047",,"22","43","0.11149075791932933","1","0.29630956917984697"
"kurt","Kurt","MALE","false","2","27","324",,"14","19","0.00963203463203463","0.7333333333333333","0.21808201120160647"
"ebenwald","Ebenwald","MALE","false","4","149","3263",,"19","33","0.06192365835222978","0.88","0.2645880808186998"
"tugendvetter","Tugendvetter","MALE","false","2","42","702",,"13","15","0.024675324675324677","0.7096774193548387","0.18391440875702336"
"adler","Adler","MALE","false","3","50","890",,"18","29","0.03074452003023432","0.8461538461538461","0.2659992885650274"
"cyprian","Cyprian","MALE","false","4","122","2658",,"20","37","0.048142994571566","0.9166666666666666","0.28623155082764073"
"pfarrer","Pfarrer","MALE","false","2","50","1662",,"14","19","0.00963203463203463","0.7333333333333333","0.21808201120160647"
"diener_elisabethinum","Ein Diener im Elisabethinum","MALE","false","2","13","18",,"13","18","0.007249364392221535","0.7096774193548387","0.20469755759344285"
"feuermann","Feuermann","MALE","false","2","38","751",,"11","14","0.011471861471861472","0.6666666666666666","0.15712134640004635"
"filitz","Filitz","MALE","false","2","70","1344",,"13","18","0.007249364392221535","0.7096774193548387","0.20469755759344285"
"loewenstein","Löwenstein","MALE","false","3","101","1239",,"18","28","0.0340376554662269","0.8461538461538461","0.2645008120601701"
"flint","Flint","MALE","false","2","155","4662",,"11","14","0.011471861471861472","0.6666666666666666","0.15712134640004638"
"schreimann","Schreimann","MALE","false","1","58","730",,"10","10","0","0.6470588235294118","0.1674246950455235"
"pflugfelder","Pflugfelder","MALE","false","2","83","1906",,"16","20","0.018370782656496942","0.7857142857142857","0.2442685497975568"
"wenger","Wenger","MALE","false","1","14","139",,"10","10","0","0.6470588235294118","0.1674246950455235"
"goldenthal","Goldenthal","MALE","false","1","51","1130",,"10","10","0","0.6470588235294118","0.1642323968437101"
"diener_bernhardi","Ein Diener bei Bernhardi","MALE","false","1","8","11",,"10","10","0","0.6470588235294118","0.1642323968437101"
"kulka","Kulka","MALE","false","1","17","413",,"10","10","0","0.6470588235294118","0.1642323968437101"
"hofrat","Hofrat","MALE","false","1","87","1482",,"6","6","0","0.5789473684210527","0.07826415322406208"
"amtsdiener","Ein Diener im Unterrichtsministerium","MALE","false","1","12","34",,"6","6","0","0.5789473684210527","0.07826415322406208"
