id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"levi","Levi","MALE","false","6","15","719",,"4","12","0","0.42857142857142855","0.025472935884395146"
"soliman","Soliman","MALE","false","15","67","3062",,"8","32","0.22817460317460322","0.5384615384615384","0.05816675000360395"
"mehmed","Mehmed","MALE","false","14","50","1405",,"8","34","0.25735827664399086","0.6176470588235294","0.10559359868685686"
"ali","Ali","MALE","false","7","20","557",,"4","19","0","0.42857142857142855","0.025472935884395146"
"mustafa","Mustafa","MALE","false","7","12","281",,"5","20","0.0011904761904761906","0.4375","0.02811642847005763"
"der_begler_beg","Der Begler Beg","MALE","false","4","7","144",,"5","13","0.0011904761904761906","0.4375","0.028116428470057624"
"aga","Aga","MALE","false","1","1","13",,"2","2","0","0.3620689655172414","0.007617143791662309"
"der_bote","Der Bote","MALE","false","1","2","99",,"2","2","0","0.3620689655172414","0.007617143791662309"
"eva","Eva","FEMALE","false","15","58","1767",,"11","52","0.03743764172335601","0.5675675675675675","0.33550118752416286"
"helene","Helene","FEMALE","false","18","64","1976",,"10","54","0.025056689342403626","0.5526315789473685","0.3189827531447024"
"zriny","Zriny","MALE","false","24","103","4873",,"14","70","0.2570181405895692","0.7","0.3760975879923456"
"alapi","Alapi","MALE","false","13","19","592",,"12","54","0.0559297052154195","0.5833333333333334","0.3489819894053218"
"paprutowitsch","Paprutowitsch","MALE","false","9","11","348",,"10","40","0.020532879818594106","0.5526315789473685","0.32248309288999183"
"bauer","Bauer","MALE","false","1","1","358",,"5","5","0","0.45652173913043476","0.19706967166669695"
"juranitsch","Juranitsch","MALE","false","12","45","1643",,"10","47","0.0267233560090703","0.5526315789473685","0.3142600431876031"
"scherenk","Scherenk","MALE","false","5","15","531",,"4","11","0","0.44680851063829785","0.15571106886731342"
"alle_hauptleute","Alle Hauptleute","MALE","true","1","1","6",,"6","6","0","0.4666666666666667","0.2334559304006818"
"vilacky","Vilacky","MALE","false","6","22","940",,"9","24","0.2401814058956916","0.6363636363636364","0.274351873326167"
"alle_2","Alle (II. Akt)","MALE","true","2","3","24",,"5","9","0","0.4883720930232558","0.18944288597271397"
"hauptmann","Hauptmann","MALE","false","2","2","43",,"3","4","0.006349206349206349","0.5121951219512195","0.09617898896196293"
"die_maenner","Die Männer","MALE","true","1","1","7",,"5","5","0","0.45652173913043476","0.19706967166669695"
"alle_5","Alle (V. Akt)","UNKNOWN","true","2","2","17",,"4","5","0","0.44680851063829785","0.1591845104764328"
