id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"pfarrer","Pfarrer","MALE","false","3","110","1277",,"31","69","0.004667827927590237","1","0.18995687795196675"
"posthalter","Posthalter","MALE","false","3","349","3773",,"31","69","0.004667827927590237","1","0.18995687795196675"
"seehansele","Seehansele","MALE","false","2","73","806",,"28","46","0.0019917829765028405","0.9117647058823529","0.1750422219219359"
"burgl","Burgl","FEMALE","false","1","6","58",,"23","23","0","0.7948717948717948","0.1473361113215833"
"lorenz","Lorenz","MALE","false","3","86","1105",,"31","69","0.004667827927590237","1","0.18995687795196678"
"seppl","Seppl","MALE","false","2","16","175",,"28","46","0.0019917829765028405","0.9117647058823529","0.1750422219219359"
"kederbauer","Kederbauer","MALE","false","3","69","647",,"31","69","0.004667827927590237","1","0.18995687795196678"
"mohrenwirt","Mohrenwirt","MALE","false","2","69","741",,"29","46","0.0029185867895545315","0.9393939393939394","0.17997019603025116"
"mutzenbauer","Mutzenbauer","MALE","false","3","15","122",,"31","69","0.004667827927590237","1","0.18995687795196675"
"rosl","Rosl","FEMALE","false","3","12","102",,"31","69","0.004667827927590237","1","0.18995687795196678"
"wehrmuellerin","Wehrmüllerin","FEMALE","false","1","14","183",,"23","23","0","0.7948717948717948","0.1473361113215833"
"frau_wanninger","Frau Wanninger","FEMALE","false","3","99","972",,"31","69","0.004667827927590237","1","0.18995687795196675"
"frau_specht","Frau Specht","FEMALE","false","3","72","728",,"31","69","0.004667827927590237","1","0.18995687795196675"
"posthalterin","Posthalterin","FEMALE","false","3","176","1607",,"31","69","0.004667827927590237","1","0.18995687795196675"
"fraeulein_schaitzach","Fräulein Schaitzach","FEMALE","false","2","8","43",,"28","46","0.0019917829765028405","0.9117647058823529","0.1750422219219359"
"wally","Wally","FEMALE","false","3","33","137",,"31","69","0.004667827927590237","1","0.18995687795196675"
"rettinger","Rettinger","MALE","false","3","203","1846",,"31","69","0.004667827927590237","1","0.18995687795196675"
"herr_von_beck","Herr von Beck","MALE","false","3","86","658",,"31","69","0.004667827927590237","1","0.18995687795196678"
"alle-die_zuhoerer_1","Alle/Die Zuhörer (I. Akt)","UNKNOWN","true","1","4","22",,"23","23","0","0.7948717948717948","0.1473361113215833"
"goetzensperger","Götzensperger","MALE","false","3","110","955",,"31","69","0.004667827927590237","1","0.18995687795196678"
"amtsrichter","Amtsrichter","MALE","false","3","67","460",,"31","69","0.004667827927590237","1","0.18995687795196678"
"hulda","Hulda","FEMALE","false","3","52","467",,"31","69","0.004667827927590237","1","0.18995687795196675"
"flora","Flora","FEMALE","false","3","38","246",,"31","69","0.004667827927590237","1","0.18995687795196675"
"hies","Hies","MALE","false","2","2","31",,"29","46","0.0029185867895545315","0.9393939393939394","0.17997019603025113"
"knackberger","Knackberger","MALE","false","1","32","245",,"23","23","0","0.7948717948717948","0.1473361113215833"
"bernhuber","Bernhuber","MALE","false","1","36","363",,"23","23","0","0.7948717948717948","0.1473361113215833"
"minna","Minna","FEMALE","false","2","24","140",,"28","46","0.0019917829765028405","0.9117647058823529","0.17504222192193586"
"foitenleitner","Foitenleitner","MALE","false","2","92","677",,"28","46","0.0019917829765028405","0.9117647058823529","0.17504222192193586"
"nusser","Nusser","MALE","false","2","106","744",,"28","46","0.0019917829765028405","0.9117647058823529","0.17504222192193586"
"alle_2","Alle (II. Akt)","UNKNOWN","true","1","2","9",,"23","23","0","0.7948717948717948","0.1473361113215833"
"alle_3","Alle (III. Akt)","UNKNOWN","true","1","2","9",,"23","23","0","0.7948717948717948","0.1479820165647268"
"gendarm","Gendarm","MALE","false","1","1","0",,"23","23","0","0.7948717948717948","0.1479820165647268"
