id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"datterich","Datterich","MALE","false","23","231","6377",,"20","49","0.5244736842105263","1","0.4000363370981685"
"bennelbaecher","Bennelbächer","MALE","false","7","38","771",,"14","33","0.08552631578947369","0.7692307692307693","0.35160529803507273"
"spirwes","Spirwes","MALE","false","7","48","667",,"10","28","0.021929824561403504","0.6666666666666666","0.28890557709430664"
"lisette","Lisette","FEMALE","false","10","46","529",,"10","26","0.02412280701754385","0.6666666666666666","0.25456881888505634"
"knerz","Knerz","MALE","false","5","19","212",,"9","19","0.014473684210526316","0.6451612903225806","0.22714513239776113"
"junge","Ein kleiner Junge","MALE","false","1","1","16",,"5","5","0","0.5714285714285714","0.16444541145699496"
"erster_handlanger","Erster Handlanger","MALE","false","1","11","229",,"6","6","0","0.5882352941176471","0.16995588304916204"
"zweiter_handlanger","Zweiter Handlanger","MALE","false","1","2","55",,"6","6","0","0.5882352941176471","0.16995588304916204"
"dritter_handlanger","Dritter Handlanger","MALE","false","1","1","19",,"6","6","0","0.5882352941176471","0.16995588304916204"
"schmidt","Schmidt","MALE","false","11","107","1292",,"10","32","0.017894736842105262","0.6666666666666666","0.2812850163093665"
"dummbach","Dummbach","MALE","false","15","92","2298",,"9","41","0.00736842105263158","0.6451612903225806","0.2564657541383744"
"marie","Marie","FEMALE","false","20","82","1459",,"9","39","0.00736842105263158","0.6451612903225806","0.2564657541383744"
"frau_dummbach","Frau Dummbach","FEMALE","false","11","41","554",,"9","37","0.00736842105263158","0.6451612903225806","0.2564657541383744"
"der_geiger","Der Geiger","MALE","false","1","5","62",,"7","7","0","0.6060606060606061","0.22590806201108077"
"steifschaechter","Steifschächter","MALE","false","1","11","131",,"1","1","0","0.5128205128205128","0.043214656240759076"
"wirthsjunge","Wirthsjunge","MALE","false","1","4","53",,"1","1","0","0.5128205128205128","0.043214656240759076"
"bengler","Bengler","MALE","false","3","22","606",,"4","5","0","0.5555555555555556","0.13323592748795596"
"evchen","Evchen","FEMALE","false","3","22","293",,"5","6","0","0.5714285714285714","0.15671572439812065"
"knippelius","Knippelius","MALE","false","5","42","824",,"5","13","0","0.5714285714285714","0.15671572439812065"
"erster","Erster Polizeidiener","MALE","false","2","3","26",,"2","3","0","0.5263157894736842","0.04844838661812713"
"zweiter","Zweiter Polizeidiener","MALE","false","2","4","30",,"2","3","0","0.5263157894736842","0.04844838661812713"
