id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kaethchen","Käthchen","FEMALE","false","12","51","878",,"7","29","0.006535947712418301","0.6206896551724138","0.14895773233028847"
"karl","Karl","MALE","false","8","34","481",,"8","22","0.0067538126361655765","0.6428571428571429","0.17744494498235094"
"redlich","Redlich","MALE","false","21","123","2512",,"16","54","0.0968409586056645","0.9","0.31701754549983446"
"staberl","Staberl","MALE","false","28","181","6531",,"18","57","0.17309368191721133","1","0.33220806927923296"
"therese","Therese","FEMALE","false","19","80","1193",,"7","28","0.006535947712418301","0.6206896551724138","0.14820028122720266"
"mueller","Müller","MALE","false","13","67","1069",,"14","35","0.04651416122004356","0.8181818181818182","0.299598094034731"
"hans","Hans","MALE","false","7","41","623",,"15","26","0.08159041394335514","0.8571428571428571","0.30392813948090397"
"toloysky","Toloysky","MALE","false","10","36","430",,"16","38","0.10501089324618737","0.9","0.31318753759299045"
"ferdinand","Ferdinand","MALE","false","1","3","29",,"4","4","0","0.5625","0.08431444056907736"
"alle_mehrere_1-15","Alle/Mehrere (I/15)","UNKNOWN","true","1","4","9",,"10","10","0","0.6923076923076923","0.25157649924673037"
"ein_buerger","Ein Bürger","MALE","false","2","2","4",,"10","12","0","0.6923076923076923","0.25157649924673037"
"ein_anderer","Ein anderer","MALE","false","1","1","4",,"10","10","0","0.6923076923076923","0.25157649924673037"
"ein_dritter","Ein dritter","MALE","false","1","1","5",,"10","10","0","0.6923076923076923","0.25157649924673037"
"ein_vierter_buerger","Ein vierter Bürger","MALE","false","1","1","8",,"10","10","0","0.6923076923076923","0.25157649924673037"
"die_vier_tiroler","Die vier Tiroler","MALE","false","1","1","91",,"10","10","0","0.6923076923076923","0.25157649924673037"
"kommissaer","Kommissär","MALE","false","1","5","127",,"4","4","0","0.5625","0.1124337769692315"
"erste_buergerin","Erste Bürgerin","FEMALE","false","2","6","79",,"4","7","0","0.5625","0.09284806536327245"
"zweite_buergerin","Zweite Bürgerin","FEMALE","false","2","1","38",,"4","7","0","0.5625","0.09284806536327245"
"alle_und_chor_3-10_und_3-12","Alle/Chor (III)","UNKNOWN","true","2","5","72",,"5","7","0","0.5806451612903226","0.12862836249604573"
