id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"just","Just","MALE","false","13","126","2138",,"6","16","0.03787878787878788","0.6666666666666666","0.30558112578422464"
"der_wirt","Der Wirt","MALE","false","10","108","2487",,"6","21","0.01515151515151515","0.6666666666666666","0.3145892340505549"
"von_tellheim","Major von Tellheim","MALE","false","29","264","5277",,"11","44","0.3585858585858587","0.9230769230769231","0.4268763553871188"
"die_dame","Eine Dame in Trauer","FEMALE","false","2","12","289",,"1","2","0","0.5","0.06653051825816156"
"der_bediente","Der Bediente","MALE","false","1","8","125",,"2","2","0","0.5217391304347826","0.11415667160922222"
"paul_werner","Paul Werner","MALE","false","13","121","2685",,"5","17","0","0.631578947368421","0.29018833268840555"
"das_fraeulein","Minna von Barnhelm","FEMALE","false","25","251","5471",,"10","48","0.17676767676767674","0.8571428571428571","0.4196374294194473"
"franziska","Franziska","FEMALE","false","32","197","2941",,"9","54","0.12373737373737373","0.8","0.39523652805729803"
"riccaut","Riccaut","MALE","false","1","33","1109",,"2","2","0","0.5","0.12700157355033828"
"der_feldjaeger","Der Feldjäger","MALE","false","1","4","70",,"3","3","0","0.5714285714285714","0.19353209172714073"
"der_eine_bediente","Der eine Bediente","MALE","false","1","1","6",,"4","4","0","0.6","0.22926395702721258"
"der_andere_bediente","Der andere Bediente","MALE","false","1","1","4",,"4","4","0","0.6","0.22926395702721258"
"der_graf","Graf von Bruchsall","MALE","false","1","8","155",,"3","3","0","0.5714285714285714","0.18096287784411666"
