id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"major","Major","MALE","false","20","185","1677",,"8","49","0.01098901098901099","0.7","0.24651321669969192"
"frau_buergermeister","Frau Bürgermeister","FEMALE","false","20","193","1704",,"9","54","0.049450549450549455","0.7368421052631579","0.25346140391261857"
"suschen","Suschen","FEMALE","false","9","47","290",,"8","31","0.01098901098901099","0.7","0.24651321669969192"
"beringer","Beringer","MALE","false","8","101","907",,"7","23","0","0.6666666666666666","0.23407681623613827"
"buergermeister","Bürgermeister","MALE","false","29","333","3283",,"14","76","0.2305075876504448","1","0.37072455545227395"
"stelzer","Stelzer","MALE","false","8","55","654",,"12","43","0.07116692830978547","0.875","0.3513399677757936"
"schweigel","Schweigel","MALE","false","11","111","1629",,"10","38","0.038199895342752484","0.7777777777777778","0.3068032833449667"
"heitzinger","Heitzinger","MALE","false","2","25","233",,"7","11","0.003663003663003663","0.6666666666666666","0.2202394688096059"
"kiermayer","Kiermayer","MALE","false","4","46","439",,"8","21","0.0052328623757195184","0.7","0.25319781926158036"
"gruber","Gruber","MALE","false","4","30","250",,"8","21","0.0052328623757195184","0.7","0.25319781926158036"
"marie","Marie","FEMALE","false","7","12","62",,"11","26","0.05494505494505494","0.8235294117647058","0.3292969477354508"
"hartl","Hartl","MALE","false","1","22","203",,"2","2","0","0.5384615384615384","0.0694211986576293"
"frieda","Frieda","FEMALE","false","3","40","614",,"4","9","0","0.5833333333333334","0.1242551404860686"
"gschwendtner","Gschwendtner","MALE","false","3","20","175",,"7","16","0.0015698587127158557","0.6666666666666666","0.2224907724396331"
"lindlacher","Lindlacher","MALE","false","3","17","127",,"7","16","0.0015698587127158557","0.6666666666666666","0.2224907724396331"
